Created as New Dataset,Sample 114 By Administrator Date Thursday, July 30 2020
cm-1,A,
4000,0.2105,
3998,0.1954,
3996,0.1842,
3994,0.1768,
3992,0.1724,
3990,0.1706,
3988,0.1706,
3986,0.1722,
3984,0.1751,
3982,0.1792,
3980,0.1848,
3978,0.1922,
3976,0.202,
3974,0.2145,
3972,0.23,
3970,0.2479,
3968,0.2662,
3966,0.2821,
3964,0.2934,
3962,0.299,
3960,0.2989,
3958,0.2946,
3956,0.2886,
3954,0.2826,
3952,0.277,
3950,0.2714,
3948,0.2655,
3946,0.2598,
3944,0.2544,
3942,0.2494,
3940,0.2446,
3938,0.2392,
3936,0.2327,
3934,0.2242,
3932,0.214,
3930,0.2034,
3928,0.1938,
3926,0.1858,
3924,0.1798,
3922,0.176,
3920,0.1743,
3918,0.1746,
3916,0.1764,
3914,0.1787,
3912,0.1809,
3910,0.1823,
3908,0.1826,
3906,0.1818,
3904,0.1803,
3902,0.1786,
3900,0.178,
3898,0.1797,
3896,0.1831,
3894,0.1872,
3892,0.1906,
3890,0.1916,
3888,0.1899,
3886,0.1866,
3884,0.1836,
3882,0.1814,
3880,0.18,
3878,0.1786,
3876,0.1767,
3874,0.1755,
3872,0.1752,
3870,0.1758,
3868,0.1767,
3866,0.1761,
3864,0.1744,
3862,0.1713,
3860,0.1677,
3858,0.1648,
3856,0.1631,
3854,0.1615,
3852,0.1592,
3850,0.1575,
3848,0.1554,
3846,0.1533,
3844,0.1516,
3842,0.1501,
3840,0.1488,
3838,0.1483,
3836,0.1487,
3834,0.1499,
3832,0.1517,
3830,0.1539,
3828,0.1562,
3826,0.1585,
3824,0.1606,
3822,0.1626,
3820,0.1651,
3818,0.167,
3816,0.1682,
3814,0.1688,
3812,0.1685,
3810,0.1685,
3808,0.1701,
3806,0.1739,
3804,0.1783,
3802,0.1821,
3800,0.1842,
3798,0.1837,
3796,0.1822,
3794,0.1808,
3792,0.1806,
3790,0.1813,
3788,0.1817,
3786,0.1808,
3784,0.1782,
3782,0.1748,
3780,0.1713,
3778,0.1687,
3776,0.1671,
3774,0.1664,
3772,0.1663,
3770,0.167,
3768,0.1687,
3766,0.1716,
3764,0.1762,
3762,0.1823,
3760,0.1907,
3758,0.2002,
3756,0.2073,
3754,0.2095,
3752,0.2052,
3750,0.1948,
3748,0.1843,
3746,0.1759,
3744,0.1685,
3742,0.1644,
3740,0.1629,
3738,0.1638,
3736,0.1671,
3734,0.1731,
3732,0.1796,
3730,0.1854,
3728,0.1894,
3726,0.192,
3724,0.1935,
3722,0.1956,
3720,0.1994,
3718,0.2044,
3716,0.2087,
3714,0.2096,
3712,0.2061,
3710,0.1986,
3708,0.19,
3706,0.1817,
3704,0.1738,
3702,0.1666,
3700,0.1609,
3698,0.1568,
3696,0.1542,
3694,0.1526,
3692,0.1522,
3690,0.1531,
3688,0.1543,
3686,0.1552,
3684,0.1559,
3682,0.1565,
3680,0.1566,
3678,0.1561,
3676,0.1534,
3674,0.1495,
3672,0.1456,
3670,0.1418,
3668,0.1389,
3666,0.1372,
3664,0.1365,
3662,0.1369,
3660,0.1385,
3658,0.1411,
3656,0.1446,
3654,0.1479,
3652,0.1503,
3650,0.1519,
3648,0.1523,
3646,0.1532,
3644,0.1558,
3642,0.1608,
3640,0.1683,
3638,0.176,
3636,0.1807,
3634,0.1801,
3632,0.1754,
3630,0.167,
3628,0.156,
3626,0.147,
3624,0.1403,
3622,0.1354,
3620,0.1316,
3618,0.1283,
3616,0.1256,
3614,0.1234,
3612,0.1214,
3610,0.1196,
3608,0.1183,
3606,0.1177,
3604,0.1175,
3602,0.1174,
3600,0.1172,
3598,0.1168,
3596,0.1164,
3594,0.1163,
3592,0.1166,
3590,0.1173,
3588,0.1187,
3586,0.1206,
3584,0.1216,
3582,0.1218,
3580,0.122,
3578,0.1225,
3576,0.1236,
3574,0.1254,
3572,0.1281,
3570,0.1318,
3568,0.1361,
3566,0.1394,
3564,0.1396,
3562,0.1372,
3560,0.1334,
3558,0.1294,
3556,0.1261,
3554,0.1237,
3552,0.122,
3550,0.1209,
3548,0.1205,
3546,0.1206,
3544,0.1206,
3542,0.1202,
3540,0.1195,
3538,0.1189,
3536,0.1182,
3534,0.1174,
3532,0.1167,
3530,0.1161,
3528,0.1157,
3526,0.1154,
3524,0.1154,
3522,0.1154,
3520,0.1158,
3518,0.1164,
3516,0.1174,
3514,0.1185,
3512,0.12,
3510,0.1218,
3508,0.1241,
3506,0.126,
3504,0.1274,
3502,0.1278,
3500,0.1277,
3498,0.1279,
3496,0.1284,
3494,0.1286,
3492,0.1286,
3490,0.1285,
3488,0.1287,
3486,0.1294,
3484,0.1303,
3482,0.1316,
3480,0.1331,
3478,0.1346,
3476,0.1366,
3474,0.1393,
3472,0.143,
3470,0.148,
3468,0.154,
3466,0.1608,
3464,0.1683,
3462,0.1762,
3460,0.1839,
3458,0.1915,
3456,0.1995,
3454,0.2084,
3452,0.2178,
3450,0.2267,
3448,0.2342,
3446,0.2393,
3444,0.2424,
3442,0.2441,
3440,0.2444,
3438,0.2416,
3436,0.2344,
3434,0.2235,
3432,0.2115,
3430,0.2005,
3428,0.1908,
3426,0.1821,
3424,0.1747,
3422,0.1685,
3420,0.1635,
3418,0.1594,
3416,0.1561,
3414,0.1534,
3412,0.151,
3410,0.149,
3408,0.1475,
3406,0.1466,
3404,0.1466,
3402,0.1472,
3400,0.1477,
3398,0.1474,
3396,0.1469,
3394,0.1464,
3392,0.1463,
3390,0.1464,
3388,0.1466,
3386,0.1473,
3384,0.1486,
3382,0.1503,
3380,0.1519,
3378,0.1527,
3376,0.1528,
3374,0.1527,
3372,0.1531,
3370,0.1546,
3368,0.1573,
3366,0.1613,
3364,0.1668,
3362,0.1732,
3360,0.1794,
3358,0.1836,
3356,0.1848,
3354,0.1827,
3352,0.1782,
3350,0.1727,
3348,0.1679,
3346,0.1653,
3344,0.1657,
3342,0.1692,
3340,0.1752,
3338,0.1814,
3336,0.185,
3334,0.1848,
3332,0.182,
3330,0.179,
3328,0.178,
3326,0.1803,
3324,0.1855,
3322,0.1922,
3320,0.198,
3318,0.2008,
3316,0.2003,
3314,0.1978,
3312,0.1946,
3310,0.1915,
3308,0.1887,
3306,0.1863,
3304,0.1846,
3302,0.1841,
3300,0.1849,
3298,0.1861,
3296,0.1862,
3294,0.1849,
3292,0.1824,
3290,0.1794,
3288,0.1769,
3286,0.1755,
3284,0.1756,
3282,0.1768,
3280,0.1781,
3278,0.1784,
3276,0.1767,
3274,0.1732,
3272,0.1684,
3270,0.163,
3268,0.1576,
3266,0.153,
3264,0.1495,
3262,0.1468,
3260,0.1447,
3258,0.1429,
3256,0.1414,
3254,0.1401,
3252,0.1389,
3250,0.138,
3248,0.1372,
3246,0.1366,
3244,0.1367,
3242,0.1374,
3240,0.1388,
3238,0.1403,
3236,0.1417,
3234,0.1426,
3232,0.1429,
3230,0.1425,
3228,0.1415,
3226,0.1399,
3224,0.1381,
3222,0.1362,
3220,0.1346,
3218,0.1334,
3216,0.1327,
3214,0.1325,
3212,0.1329,
3210,0.1336,
3208,0.1345,
3206,0.1355,
3204,0.1367,
3202,0.1381,
3200,0.1396,
3198,0.141,
3196,0.1428,
3194,0.1448,
3192,0.1468,
3190,0.1492,
3188,0.1521,
3186,0.1559,
3184,0.1608,
3182,0.1668,
3180,0.1743,
3178,0.1836,
3176,0.1949,
3174,0.2084,
3172,0.2239,
3170,0.2409,
3168,0.2583,
3166,0.2746,
3164,0.2884,
3162,0.2994,
3160,0.3086,
3158,0.3166,
3156,0.3226,
3154,0.3244,
3152,0.3193,
3150,0.3069,
3148,0.2896,
3146,0.271,
3144,0.2534,
3142,0.238,
3140,0.225,
3138,0.214,
3136,0.205,
3134,0.1981,
3132,0.193,
3130,0.1893,
3128,0.1864,
3126,0.1837,
3124,0.181,
3122,0.1784,
3120,0.1763,
3118,0.175,
3116,0.1742,
3114,0.1734,
3112,0.1726,
3110,0.1726,
3108,0.174,
3106,0.1773,
3104,0.1825,
3102,0.1894,
3100,0.1971,
3098,0.2053,
3096,0.2127,
3094,0.2171,
3092,0.217,
3090,0.2124,
3088,0.2051,
3086,0.1971,
3084,0.1895,
3082,0.1825,
3080,0.1762,
3078,0.171,
3076,0.1669,
3074,0.1644,
3072,0.1632,
3070,0.1629,
3068,0.163,
3066,0.1636,
3064,0.1649,
3062,0.1672,
3060,0.1701,
3058,0.1734,
3056,0.1768,
3054,0.1802,
3052,0.1837,
3050,0.1875,
3048,0.1917,
3046,0.1964,
3044,0.2016,
3042,0.2074,
3040,0.2144,
3038,0.2225,
3036,0.2316,
3034,0.2411,
3032,0.2511,
3030,0.262,
3028,0.2741,
3026,0.2885,
3024,0.3053,
3022,0.3243,
3020,0.3445,
3018,0.3657,
3016,0.3876,
3014,0.4081,
3012,0.4252,
3010,0.4397,
3008,0.4549,
3006,0.4734,
3004,0.4967,
3002,0.5251,
3000,0.5589,
2998,0.5976,
2996,0.6417,
2994,0.692,
2992,0.7491,
2990,0.8122,
2988,0.881,
2986,0.9559,
2984,1.0385,
2982,1.1306,
2980,1.2331,
2978,1.3464,
2976,1.4713,
2974,1.6094,
2972,1.7628,
2970,1.9344,
2968,2.1267,
2966,2.3401,
2964,2.5675,
2962,2.7837,
2960,2.9337,
2958,3.0197,
2956,3.0714,
2954,3.1609,
2952,3.2279,
2950,3.2762,
2948,3.3607,
2946,3.4815,
2944,3.51,
2942,3.4803,
2940,3.4455,
2938,3.4982,
2936,3.5499,
2934,3.6434,
2932,3.7379,
2930,3.9014,
2928,3.9588,
2926,4.1435,
2924,4.257,
2922,4.3156,
2920,4.2979,
2918,4.316,
2916,4.3013,
2914,4.2915,
2912,4.4338,
2910,4.5598,
2908,4.4625,
2906,4.2417,
2904,4.2355,
2902,4.2345,
2900,4.2809,
2898,4.2527,
2896,4.2904,
2894,4.2635,
2892,4.3446,
2890,4.3592,
2888,4.3928,
2886,4.453,
2884,4.7967,
2882,5.3386,
2880,4.8425,
2878,4.8475,
2876,4.7815,
2874,4.8841,
2872,4.1617,
2870,3.9344,
2868,3.7848,
2866,3.7176,
2864,3.6025,
2862,3.5609,
2860,3.5135,
2858,3.4578,
2856,3.3651,
2854,3.31,
2852,3.2597,
2850,3.2667,
2848,3.255,
2846,3.2089,
2844,3.1585,
2842,3.1745,
2840,3.2336,
2838,3.2389,
2836,3.1003,
2834,2.8711,
2832,2.5479,
2830,2.23,
2828,1.953,
2826,1.7257,
2824,1.5478,
2822,1.4204,
2820,1.3411,
2818,1.2881,
2816,1.2201,
2814,1.1236,
2812,1.0243,
2810,0.9465,
2808,0.899,
2806,0.8849,
2804,0.9067,
2802,0.9675,
2800,1.0722,
2798,1.2263,
2796,1.419,
2794,1.5811,
2792,1.5809,
2790,1.4118,
2788,1.1993,
2786,1.0187,
2784,0.8865,
2782,0.7972,
2780,0.7378,
2778,0.692,
2776,0.6418,
2774,0.5791,
2772,0.5116,
2770,0.451,
2768,0.4029,
2766,0.3662,
2764,0.3371,
2762,0.3131,
2760,0.2932,
2758,0.2771,
2756,0.2642,
2754,0.2539,
2752,0.2455,
2750,0.2381,
2748,0.2312,
2746,0.225,
2744,0.2198,
2742,0.2162,
2740,0.2139,
2738,0.2125,
2736,0.2115,
2734,0.2101,
2732,0.2089,
2730,0.2086,
2728,0.2101,
2726,0.2137,
2724,0.2196,
2722,0.228,
2720,0.2403,
2718,0.2586,
2716,0.2827,
2714,0.3064,
2712,0.3209,
2710,0.3264,
2708,0.333,
2706,0.353,
2704,0.3955,
2702,0.4623,
2700,0.5395,
2698,0.6011,
2696,0.6405,
2694,0.6777,
2692,0.7231,
2690,0.7477,
2688,0.7143,
2686,0.6411,
2684,0.5703,
2682,0.5202,
2680,0.4891,
