Time (s),Heat Flow (mJ/s)
0,4.996259
1.00002,4.996353
1.99998,4.99646
3,4.996366
4.00002,4.996304
4.99998,4.995377
6,4.994356
7.00002,4.993504
7.99998,4.992703
9,4.991814
10.00002,4.990905
10.99998,4.989954
12,4.988839
13.00002,4.987612
13.99998,4.986403
15,4.985282
16.00002,4.984167
16.99998,4.982977
18,4.981744
19.00002,4.980554
19.99998,4.979364
21,4.978169
22.00002,4.976979
22.99998,4.975821
24,4.974669
25.00002,4.973511
25.99998,4.972396
27,4.971314
28.00002,4.970255
28.99998,4.969192
30,4.968077
31.00002,4.966882
31.99998,4.965636
33,4.964535
34.00002,4.963476
34.99998,4.962432
36,4.961368
37.00002,4.960235
37.99998,4.959096
39,4.957906
40.00002,4.956862
40.99998,4.955949
42,4.955092
43.00002,4.95441
43.99998,4.953798
45,4.953317
46.00002,4.952992
46.99998,4.952718
48,4.953045
49.00002,4.953373
49.99998,4.953818
51,4.954089
52.00002,4.954416
52.99998,4.954706
54,4.954958
55.00002,4.955254
55.99998,4.955731
57,4.956416
58.00002,4.957006
58.99998,4.95754
60,4.958168
60.19998,4.958876
60.40002,4.959617
60.6,4.960283
60.79998,4.960967
61.00002,4.961632
61.2,4.962486
61.39998,4.964072
61.60002,4.965733
61.8,4.967432
61.99998,4.968967
62.20002,4.970609
62.4,4.972214
62.59998,4.973762
62.80002,4.975216
63,4.976671
63.19998,4.978238
63.40002,4.98003
63.6,4.981935
63.79998,4.983896
64.00002,4.985971
64.2,4.988026
64.39998,4.990105
64.60002,4.992085
64.8,4.994103
64.99998,4.996158
65.20002,4.998363
65.4,5.000531
65.59998,5.002811
65.80002,5.005167
66,5.007653
66.19998,5.010103
66.40002,5.012589
66.6,5.015151
66.79998,5.017957
67.00002,5.020725
67.2,5.023587
67.39998,5.027263
67.60002,5.031027
67.8,5.034546
67.99998,5.037877
68.20002,5.041378
68.4,5.044784
68.59998,5.048134
68.80002,5.051634
69,5.055247
69.19998,5.058784
69.40002,5.062366
69.6,5.065978
69.79998,5.069628
70.00002,5.073372
70.2,5.077003
70.39998,5.080577
70.60002,5.084246
70.8,5.088046
70.99998,5.092315
71.20002,5.096853
71.4,5.101253
71.59998,5.105485
71.80002,5.109754
72,5.114079
72.19998,5.118497
72.40002,5.122973
72.6,5.127491
72.79998,5.131891
73.00002,5.136272
73.2,5.14069
73.39998,5.145184
73.60002,5.149846
73.8,5.154627
73.99998,5.159364
74.20002,5.164083
74.4,5.168801
74.59998,5.173575
74.80002,5.178206
75,5.182961
75.19998,5.187773
75.40002,5.192753
75.6,5.197853
75.79998,5.203002
76.00002,5.208039
76.2,5.213131
76.39998,5.218231
76.60002,5.223323
76.8,5.228434
76.99998,5.233564
77.20002,5.23872
77.4,5.243924
77.59998,5.249148
77.80002,5.254434
78,5.25962
78.19998,5.264749
78.40002,5.269878
78.6,5.275033
78.79998,5.280236
79.00002,5.28559
79.2,5.290858
79.39998,5.296042
79.60002,5.301208
79.8,5.306438
79.99998,5.311866
80.20002,5.317463
80.4,5.323199
80.59998,5.328984
80.80002,5.335144
81,5.341105
81.19998,5.347096
81.40002,5.353105
81.6,5.358991
81.79998,5.364812
82.00002,5.370559
82.2,5.376275
82.39998,5.381927
82.60002,5.387654
82.8,5.393446
82.99998,5.399191
83.20002,5.404899
83.4,5.410578
83.59998,5.416248
83.80002,5.421964
84,5.427728
84.19998,5.433491
84.40002,5.439282
84.6,5.445102
84.79998,5.450884
85.00002,5.456618
85.2,5.462381
85.39998,5.468106
85.60002,5.473821
85.8,5.479509
85.99998,5.485234
86.20002,5.490986
86.4,5.496674
86.59998,5.502369
86.80002,5.508057
87,5.513762
87.19998,5.519477
87.40002,5.525145
87.6,5.530831
87.79998,5.536545
88.00002,5.542213
88.2,5.547889
88.39998,5.553575
88.60002,5.55928
88.8,5.564975
88.99998,5.570661
89.20002,5.576365
89.4,5.582079
89.59998,5.587726
89.80002,5.593393
90,5.599069
90.19998,5.604697
90.40002,5.610373
90.6,5.616001
90.79998,5.62163
91.00002,5.627249
91.2,5.632839
91.39998,5.638392
91.60002,5.643973
91.8,5.649545
91.99998,5.655116
92.20002,5.66066
92.4,5.666231
92.59998,5.671765
92.80002,5.677326
93,5.682841
93.19998,5.688393
93.40002,5.693917
93.6,5.699413
93.79998,5.704861
94.00002,5.7103
94.2,5.715721
94.39998,5.721132
94.60002,5.726533
94.8,5.731944
94.99998,5.737288
95.20002,5.742614
95.4,5.74795
95.59998,5.753313
95.80002,5.758657
96,5.763993
96.19998,5.769299
96.40002,5.774681
96.6,5.780016
96.79998,5.785359
97.00002,5.790703
97.2,5.796057
97.39998,5.801381
97.60002,5.806706
97.8,5.812022
97.99998,5.817327
98.20002,5.822624
98.4,5.827855
98.59998,5.833085
98.80002,5.838315
99,5.843555
99.19998,5.848785
99.40002,5.854025
99.6,5.859349
99.79998,5.864691
100.00002,5.869968
100.2,5.875123
100.39998,5.880296
100.60002,5.885498
100.8,5.890671
100.99998,5.895843
101.20002,5.900914
101.4,5.905918
101.59998,5.910921
101.80002,5.915879
102,5.920845
102.19998,5.925867
102.40002,5.930919
102.6,5.935922
102.79998,5.940925
103.00002,5.945939
103.2,5.95096
103.39998,5.955944
103.60002,5.960958
103.8,5.965998
103.99998,5.970993
104.20002,5.975976
104.4,5.980941
104.59998,5.985935
