Time (s),Heat Flow (mmJ/s)
0,17.9899191
1.00002,18.03269424
1.99998,18.07546937
3,18.11824451
4.00002,18.16101964
4.99998,18.20379478
6,18.24656991
7.00002,18.28934505
7.99998,18.33212018
9,18.37489532
10.00002,18.41767045
10.99998,18.46044559
12,18.50322072
13.00002,18.54599586
13.99998,18.58877099
15,18.63154613
16.00002,18.67432126
16.99998,18.7170964
18,18.75987153
19.00002,18.80264667
19.99998,18.8454218
21,18.88819694
22.00002,18.93097207
22.99998,18.97374721
24,19.01652234
25.00002,19.05929748
25.99998,19.10207261
27,19.14484775
28.00002,19.18762288
28.99998,19.23039802
30,19.27317315
31.00002,19.31594829
31.99998,19.35872342
33,19.40149856
34.00002,19.44427369
34.99998,19.48704883
36,19.52982396
37.00002,19.5725991
37.99998,19.61537423
39,19.65814937
40.00002,19.7009245
40.99998,19.74369964
42,19.78647477
43.00002,19.82924991
43.99998,19.87202505
45,19.91480018
46.00002,19.95757532
46.99998,20.00035045
48,20.04312559
49.00002,20.08590072
49.99998,20.12867586
51,20.17145099
52.00002,20.215451
52.99998,20.244987
54,20.28708
55.00002,20.331104
55.99998,20.375328
57,20.419569
58.00002,20.466394
58.99998,20.51387
60,20.561741
61.00002,20.609216
61.99998,20.656637
63,20.703604
64.00002,20.750253
64.99998,20.789709
66,20.829473
67.00002,20.868558
67.99998,20.907747
69,20.945214
70.00002,20.975178
70.99998,21.002151
72,21.028263
73.00002,21.052992
73.99998,21.074236
75,21.09393
76.00002,21.110485
76.99998,21.124266
78,21.136654
79.00002,21.144343
79.99998,21.149156
81,21.150852
82.00002,21.153517
82.99998,21.155422
84,21.152746
85.00002,21.147879
85.99998,21.141628
87,21.134089
88.00002,21.126753
88.99998,21.11902
90,21.109182
91.00002,21.09595
91.99998,21.084131
93,21.07215
94.00002,21.060678
94.99998,21.047081
96,21.034058
97.00002,21.021088
97.99998,21.007611
99,20.993903
100.00002,20.979696
100.99998,20.965366
102,20.951661
103.00002,20.937888
103.99998,20.923991
105,20.910369
106.00002,20.896697
106.99998,20.883194
108,20.869849
109.00002,20.856485
109.99998,20.843443
111,20.830842
112.00002,20.818164
112.99998,20.805847
114,20.794224
115.00002,20.782728
115.99998,20.772354
117,20.762527
118.00002,20.752613
118.99998,20.742729
120,20.733509
121.00002,20.724201
121.99998,20.714554
123,20.707811
124.00002,20.70168
124.99998,20.69599
126,20.69065
127.00002,20.685613
127.99998,20.68078
129,20.677039
130.00002,20.673911
130.99998,20.671845
132,20.670704
133.00002,20.669865
133.99998,20.670428
135,20.671945
136.00002,20.673763
136.99998,20.6767
138,20.680066
139.00002,20.684161
139.99998,20.68883
141,20.696573
142.00002,20.704773
142.99998,20.713196
144,20.722474
145.00002,20.731081
145.99998,20.742089
147,20.755296
148.00002,20.768014
148.99998,20.78043
150,20.792719
151.00002,20.803781
151.99998,20.814618
153,20.82418
154.00002,20.833392
154.99998,20.835396
156,20.834844
157.00002,20.831131
157.99998,20.823404
159,20.813246
160.00002,20.798774
160.99998,20.783145
162,20.767061
163.00002,20.750862
163.99998,20.734771
165,20.718692
166.00002,20.702838
166.99998,20.687248
168,20.671134
169.00002,20.656489
169.99998,20.646093
171,20.634065
172.00002,20.622417
172.99998,20.611207
174,20.600096
175.00002,20.589811
175.99998,20.580528
177,20.57214
178.00002,20.563821
178.99998,20.556503
180,20.549196
181.00002,20.543918
181.99998,20.53936
183,20.534833
184.00002,20.530975
184.99998,20.527351
186,20.525252
187.00002,20.526173
187.99998,20.528356
189,20.531442
190.00002,20.534751
190.99998,20.539691
192,20.545456
193.00002,20.554239
193.99998,20.563468
195,20.576928
196.00002,20.592222
196.99998,20.609562
198,20.628201
199.00002,20.648771
199.99998,20.670998
201,20.693785
202.00002,20.723024
202.99998,20.759683
204,20.801501
205.00002,20.874993
205.99998,21.056821
207,21.484082
208.00002,22.080884
208.99998,22.731819
210,23.355829
211.00002,23.925519
211.99998,24.417434
213,24.785898
214.00002,24.965896
214.99998,24.955982
216,24.832994
217.00002,24.676717
217.99998,24.508263
219,24.34063
220.00002,24.17336
220.99998,24.008346
222,23.852467
223.00002,23.704029
223.99998,23.560425
225,23.419049
226.00002,23.279001
226.99998,23.153352
228,23.030524
229.00002,22.913659
229.99998,22.798626
231,22.688913
232.00002,22.584831
232.99998,22.483374
234,22.383283
235.00002,22.292426
235.99998,22.205587
237,22.120734
238.00002,22.038347
238.99998,21.960055
240,21.886672
241.00002,21.814074
241.99998,21.74173
243,21.678052
244.00002,21.613706
244.99998,21.552984
246,21.494803
247.00002,21.438119
247.99998,21.385185
249,21.333565
250.00002,21.28257
250.99998,21.236381
252,21.193845
253.00002,21.15177
253.99998,21.110705
255,21.072324
256.00002,21.035341
256.99998,20.999049
258,20.966207
259.00002,20.934673
259.99998,20.904701
261,20.875632
262.00002,20.848414
262.99998,20.82114
264,20.794797
265.00002,20.770461
265.99998,20.749367
267,20.727502
268.00002,20.706345
268.99998,20.685044
270,20.66484
271.00002,20.647316
271.99998,20.629832
273,20.612845
274.00002,20.595983
274.99998,20.579607
276,20.564199
277.00002,20.55003
277.99998,20.536338
279,20.523526
280.00002,20.51089
280.99998,20.498962
282,20.487778
283.00002,20.47914
283.99998,20.469698
285,20.460868
286.00002,20.452078
286.99998,20.445655
288,20.43909
289.00002,20.431895
289.99998,20.424894
291,20.418281
292.00002,20.411873
292.99998,20.40557
294,20.399956
295.00002,20.394516
295.99998,20.389548
297,20.384755
298.00002,20.379962
298.99998,20.375336
300,20.370564
301.00002,20.365617
301.99998,20.360633
303,20.355591
304.00002,20.350356
304.99998,20.34518
306,20.340093
307.00002,20.335053
307.99998,20.33038
309,20.325901
310.00002,20.321635
310.99998,20.317807
312,20.314314
313.00002,20.310996
313.99998,20.308578
315,20.306593
316.00002,20.304879
316.99998,20.303196
318,20.3021
319.00002,20.301004
319.99998,20.299773
321,20.299527
322.00002,20.298965
322.99998,20.298758
324,20.29893
325.00002,20.299148
325.99998,20.29988
327,20.300966
328.00002,20.30249
328.99998,20.304156
330,20.306567
331.00002,20.309153
331.99998,20.312169
333,20.315159
334.00002,20.318021
334.99998,20.320708
336,20.323242
337.00002,20.325343
337.99998,20.325445
339,20.325874
340.00002,20.325976
340.99998,20.325749
342,20.325465
343.00002,20.325251
343.99998,20.325217
345,20.3253
346.00002,20.32544
346.99998,20.325535
348,20.325926
349.00002,20.326414
349.99998,20.327153
351,20.327981
352.00002,20.329452
