Time (s),Heat Flow (J/s)
0,19.947663
1.00002,19.900394
1.99998,19.856976
3,19.816482
4.00002,19.778193
4.99998,19.742668
6,19.711191
7.00002,19.680475
7.99998,19.650462
9,19.622779
10.00002,19.598277
10.99998,19.575636
12,19.553482
13.00002,19.532178
13.99998,19.512609
15,19.494774
16.00002,19.478222
16.99998,19.462448
18,19.44776
19.00002,19.43428
19.99998,19.421107
21,19.408494
22.00002,19.396099
22.99998,19.384281
24,19.37371
25.00002,19.364043
25.99998,19.354809
27,19.345666
28.00002,19.337083
28.99998,19.328645
30,19.320676
31.00002,19.312978
31.99998,19.306383
33,19.299498
34.00002,19.292794
34.99998,19.286398
36,19.280688
37.00002,19.275177
37.99998,19.269846
39,19.26466
40.00002,19.259998
40.99998,19.254884
42,19.251001
43.00002,19.247568
43.99998,19.243828
45,19.240212
46.00002,19.236654
46.99998,19.233131
48,19.229643
49.00002,19.226228
49.99998,19.222975
51,19.219723
52.00002,19.216633
52.99998,19.213814
54,19.211104
55.00002,19.20852
55.99998,19.206387
57,19.204508
58.00002,19.202376
58.99998,19.20028
60,19.198617
60.19998,19.198184
60.40002,19.197732
60.6,19.197208
60.79998,19.196576
61.00002,19.195853
61.2,19.195022
61.39998,19.1941
61.60002,19.193142
61.8,19.192112
61.99998,19.191082
62.20002,19.190034
62.4,19.188968
62.59998,19.187866
62.80002,19.186764
63,19.185662
63.19998,19.184577
63.40002,19.183511
63.6,19.182535
63.79998,19.18165
64.00002,19.180801
64.2,19.179897
64.39998,19.179066
64.60002,19.178271
64.8,19.177494
64.99998,19.176789
65.20002,19.176175
65.4,19.17547
65.59998,19.174527
65.80002,19.173331
66,19.171625
66.19998,19.169717
66.40002,19.168152
66.6,19.165663
66.79998,19.162631
67.00002,19.159781
67.2,19.157201
67.39998,19.154441
67.60002,19.151935
67.8,19.149501
67.99998,19.147122
68.20002,19.144637
68.4,19.14271
68.59998,19.141126
68.80002,19.140737
69,19.142261
69.19998,19.144472
69.40002,19.147839
69.6,19.150374
69.79998,19.153397
70.00002,19.157811
70.2,19.162387
70.39998,19.166385
70.60002,19.171377
70.8,19.176278
70.99998,19.182046
71.20002,19.188554
71.4,19.196092
71.59998,19.203937
71.80002,19.211348
72,19.219589
72.19998,19.228932
72.40002,19.238149
72.6,19.247654
72.79998,19.257719
73.00002,19.267874
73.2,19.278083
73.39998,19.288436
73.60002,19.298516
73.8,19.308416
73.99998,19.318841
74.20002,19.329554
74.4,19.340718
74.59998,19.352442
74.80002,19.36413
75,19.375762
75.19998,19.387431
75.40002,19.399208
75.6,19.411905
75.79998,19.424241
76.00002,19.436631
76.2,19.448894
76.39998,19.461121
76.60002,19.473365
76.8,19.485537
76.99998,19.497691
77.20002,19.509682
77.4,19.521672
77.59998,19.533807
77.80002,19.545941
78,19.558057
78.19998,19.570209
78.40002,19.582345
78.6,19.594388
78.79998,19.60634
79.00002,19.618093
79.2,19.629847
79.39998,19.6416
79.60002,19.653316
79.8,19.664978
79.99998,19.676658
80.20002,19.688248
80.4,19.69971
80.59998,19.710974
80.80002,19.72215
81,19.733323
81.19998,19.74455
81.40002,19.755723
81.6,19.766679
81.79998,19.777454
82.00002,19.788265
82.2,19.79904
82.39998,19.809417
82.60002,19.819688
82.8,19.829885
82.99998,19.8399
83.20002,19.849789
83.4,19.859714
83.59998,19.869642
83.80002,19.879206
84,19.888571
84.19998,19.897899
84.40002,19.907246
84.6,19.916234
84.79998,19.924984
85.00002,19.933753
85.2,19.942521
85.39998,19.950516
85.60002,19.958111
85.8,19.966085
85.99998,19.974059
86.20002,19.981945
86.4,19.989864
86.59998,19.997819
86.80002,20.00581
87,20.013678
87.19998,20.021398
87.40002,20.02901
87.6,20.03666
87.79998,20.044398
88.00002,20.052028
88.2,20.059533
88.39998,20.06691
88.60002,20.073492
88.8,20.079771
88.99998,20.086173
89.20002,20.092864
89.4,20.098745
89.59998,20.104425
89.80002,20.110411
90,20.116347
90.19998,20.122207
90.40002,20.128085
90.6,20.134002
90.79998,20.139952
91.00002,20.145685
91.2,20.151061
91.39998,20.156325
91.60002,20.161535
91.8,20.166911
91.99998,20.172048
92.20002,20.176897
92.4,20.181785
92.59998,20.186508
92.80002,20.191068
93,20.195632
93.19998,20.200065
93.40002,20.204265
93.6,20.208251
93.79998,20.212017
94.00002,20.216036
94.2,20.220004
94.39998,20.223986
94.60002,20.227969
94.8,20.232045
94.99998,20.236064
95.20002,20.240046
95.4,20.243905
95.59998,20.247581
95.80002,20.251149
96,20.254719
96.19998,20.258287
96.40002,20.261909
96.6,20.265425
96.79998,20.268776
97.00002,20.27204
97.2,20.275139
97.39998,20.278237
97.60002,20.281393
97.8,20.284311
97.99998,20.287301
98.20002,20.290313
98.4,20.293213
98.59998,20.295953
98.80002,20.298835
99,20.301772
99.19998,20.304762
99.40002,20.307665
99.6,20.310421
99.79998,20.312927
100.00002,20.315358
100.2,20.317861
100.39998,20.320223
100.60002,20.322528
100.8,20.324905
100.99998,20.327304
101.20002,20.329627
101.4,20.331968
101.59998,20.33442
101.80002,20.336779
102,20.339069
102.19998,20.341194
102.40002,20.343372
102.6,20.345608
102.79998,20.347895
103.00002,20.350164
103.2,20.352328
103.39998,20.354164
103.60002,20.355748
103.8,20.357299
103.99998,20.358829
104.20002,20.360431
104.4,20.362072
104.59998,20.363692
104.80002,20.36533
105,20.366953
105.19998,20.368609
105.40002,20.370247
105.6,20.371888
105.79998,20.37349
106.00002,20.375038
106.2,20.376535
106.39998,20.377993
106.60002,20.379451
106.8,20.38093
106.99998,20.382443
107.20002,20.384063
107.4,20.385668
107.59998,20.387324
107.80002,20.388945
108,20.390406
108.19998,20.391702
108.40002,20.392926
108.6,20.394134
108.79998,20.395232
109.00002,20.39633
109.2,20.397413
109.39998,20.398511
109.60002,20.399519
109.8,20.400583
109.99998,20.401663
110.20002,20.402725
110.4,20.403736
110.59998,20.404762
110.80002,20.405788
111,20.406835
111.19998,20.407879
111.40002,20.408869
111.6,20.409805
111.79998,20.410798
112.00002,20.411716
112.2,20.412616
112.39998,20.413519
112.60002,20.414437
112.8,20.415356
112.99998,20.416259
113.20002,20.417159
113.4,20.418023
113.59998,20.418908
113.80002,20.419827
114,20.420745
114.19998,20.421666
114.40002,20.422567
114.6,20.423467
114.79998,20.424335
115.00002,20.425163
115.2,20.425992
115.39998,20.426787
115.60002,20.427598
115.8,20.428408
115.99998,20.429186
116.20002,20.429996
116.4,20.430825
116.59998,20.431657
116.80002,20.43254
117,20.433369
117.19998,20.434164
117.40002,20.434885
117.6,20.43557
117.79998,20.436185
118.00002,20.436798
118.2,20.437393
118.39998,20.437973
118.60002,20.438496
118.8,20.439055
118.99998,20.439635
119.20002,20.44014
119.4,20.440663
119.59998,20.441225
119.80002,20.44182
120,20.442415
120.19998,20.443031
120.40002,20.443591
120.6,20.444132
120.79998,20.444676
121.00002,20.445199
121.2,20.445705
121.39998,20.446213
121.60002,20.446719
121.8,20.447188
121.99998,20.447696
122.20002,20.448184
122.4,20.448672
122.59998,20.449216
122.80002,20.449722
123,20.450246
123.19998,20.450755
123.40002,20.451225
123.6,20.451713
123.79998,20.452167
124.00002,20.452619
124.2,20.453089
124.39998,20.453562
124.60002,20.453996
124.8,20.454431
124.99998,20.454885
125.20002,20.45532
125.4,20.455736
125.59998,20.456119
125.80002,20.456499
126,20.456898
126.19998,20.457299
126.40002,20.457733
126.6,20.458186
126.79998,20.458693
127.00002,20.459202
127.2,20.459565
127.39998,20.459822
127.60002,20.460005
127.8,20.460242
127.99998,20.460571
128.20002,20.460934
128.4,20.461243
128.59998,20.461572
128.80002,20.461918
129,20.462263
129.19998,20.462628
129.40002,20.46301
129.6,20.463373
129.79998,20.463757
130.00002,20.464138
130.2,20.46452
130.39998,20.464885
130.60002,20.465231
130.8,20.465577
130.99998,20.465888
131.20002,20.46618
131.4,20.466436
131.59998,20.466694
131.80002,20.466932
132,20.467224
132.19998,20.467536
132.40002,20.467864
132.6,20.468174
132.79998,20.468468
133.00002,20.468724
133.2,20.468873
133.39998,20.469021
133.60002,20.469207
133.8,20.469392
133.99998,20.469486
134.20002,20.469564
134.4,20.469587
134.59998,20.469627
134.80002,20.46967
135,20.469674
135.19998,20.469663
135.40002,20.469704
135.6,20.469781
135.79998,20.469913
136.00002,20.470026
136.2,20.470175
136.39998,20.470324
136.60002,20.470511
136.8,20.470696
136.99998,20.470882
137.20002,20.471033
137.4,20.471146
137.59998,20.471295
137.80002,20.471428
138,20.471578
138.19998,20.471709
138.40002,20.471843
138.6,20.471938
138.79998,20.472016
139.00002,20.472095
139.2,20.472137
139.39998,20.472179
139.60002,20.47224
139.8,20.472318
139.99998,20.472432
140.20002,20.472512
140.4,20.472626
140.59998,20.472686
140.80002,20.472766
141,20.472862
141.19998,20.472977
