Time (s),Heat Flow (mJ/s)
0,19.937601
1.00002,19.877289
1.99998,19.818798
3,19.767263
4.00002,19.716166
4.99998,19.669872
6,19.62721
7.00002,19.586192
7.99998,19.548065
9,19.514206
10.00002,19.480072
10.99998,19.447005
12,19.41981
13.00002,19.392362
13.99998,19.365077
15,19.342598
16.00002,19.320987
16.99998,19.299918
18,19.279734
19.00002,19.261881
19.99998,19.245149
21,19.230007
22.00002,19.215009
22.99998,19.200969
24,19.18785
25.00002,19.174912
25.99998,19.162354
27,19.149416
28.00002,19.139261
28.99998,19.129052
30,19.119113
31.00002,19.109539
31.99998,19.100468
33,19.093439
34.00002,19.085868
34.99998,19.078495
36,19.071285
37.00002,19.064491
37.99998,19.057914
39,19.052095
40.00002,19.04644
40.99998,19.04091
42,19.035688
43.00002,19.030719
43.99998,19.025786
45,19.021214
46.00002,19.016516
46.99998,19.011673
48,19.007138
49.00002,19.002313
49.99998,18.999025
51,18.995483
52.00002,18.992032
52.99998,18.988635
54,18.985744
55.00002,18.982581
55.99998,18.979781
57,18.976962
58.00002,18.974305
58.99998,18.971956
60,18.969372
61.00002,18.968776
61.2,18.968324
61.39998,18.967891
61.60002,18.967403
61.8,18.966879
61.99998,18.966228
62.20002,18.965487
62.4,18.964602
62.59998,18.963464
62.80002,18.962271
63,18.961115
63.19998,18.959994
63.40002,18.958946
63.6,18.957898
63.79998,18.956832
64.00002,18.955766
64.2,18.954826
64.39998,18.953814
64.60002,18.952821
64.8,18.951755
64.99998,18.95067
65.20002,18.949496
65.4,18.948375
65.59998,18.947382
65.80002,18.946641
66,18.946081
66.19998,18.945557
66.40002,18.944796
66.6,18.943798
66.79998,18.942274
67.00002,18.939736
67.2,18.9364
67.39998,18.933224
67.60002,18.93142
67.8,18.929417
67.99998,18.927125
68.20002,18.925013
68.4,18.922686
68.59998,18.920052
68.80002,18.917636
69,18.915527
69.19998,18.913529
69.40002,18.911402
69.6,18.909349
69.79998,18.907692
70.00002,18.906742
70.2,18.906693
70.39998,18.907637
70.60002,18.90972
70.8,18.911495
70.99998,18.914156
71.20002,18.919237
71.4,18.924751
71.59998,18.929543
71.80002,18.934623
72,18.942305
72.19998,18.949318
72.40002,18.956313
72.6,18.964536
72.79998,18.971476
73.00002,18.978488
73.2,18.986999
73.39998,18.996666
73.60002,19.007615
73.8,19.019575
73.99998,19.031372
74.20002,19.042339
74.4,19.055399
74.59998,19.067557
74.80002,19.079551
75,19.092521
75.19998,19.10475
75.40002,19.117303
75.6,19.130235
75.79998,19.14324
76.00002,19.155323
76.2,19.168633
76.39998,19.182684
76.60002,19.196337
76.8,19.210405
76.99998,19.224924
77.20002,19.240291
77.4,19.255478
77.59998,19.270411
77.80002,19.284763
78,19.298811
78.19998,19.312861
78.40002,19.327414
78.6,19.341837
78.79998,19.356193
79.00002,19.370618
79.2,19.385061
79.39998,19.399576
79.60002,19.413891
79.8,19.428261
79.99998,19.442594
80.20002,19.456873
80.4,19.471187
80.59998,19.485303
80.80002,19.499382
81,19.513587
81.19998,19.527846
81.40002,19.542032
81.6,19.5562
81.79998,19.570277
82.00002,19.584246
82.2,19.59807
82.39998,19.61159
82.60002,19.625215
82.8,19.63902
82.99998,19.65241
83.20002,19.665113
83.4,19.67778
83.59998,19.689851
83.80002,19.701634
84,19.713888
84.19998,19.726319
84.40002,19.738696
84.6,19.751145
84.79998,19.763468
85.00002,19.775573
85.2,19.787934
85.39998,19.800256
85.60002,19.81218
85.8,19.823725
85.99998,19.835161
86.20002,19.845771
86.4,19.856178
86.59998,19.866225
86.80002,19.876469
87,19.886605
87.19998,19.896817
87.40002,19.906881
87.6,19.916962
87.79998,19.927115
88.00002,19.937254
88.2,19.947389
88.39998,19.957542
88.60002,19.967481
88.8,19.977219
88.99998,19.986974
89.20002,19.995539
89.4,20.00324
89.59998,20.011516
89.80002,20.019863
90,20.028358
90.19998,20.036561
90.40002,20.044601
90.6,20.0525
90.79998,20.06036
91.00002,20.068003
91.2,20.075862
91.39998,20.083418
91.60002,20.090502
91.8,20.097423
91.99998,20.104581
92.20002,20.111863
92.4,20.119144
92.59998,20.126429
92.80002,20.133151
93,20.139548
93.19998,20.145895
93.40002,20.152093
93.6,20.158273
93.79998,20.164602
94.00002,20.171016
94.2,20.177525
94.39998,20.184029
94.60002,20.19039
94.8,20.196447
94.99998,20.202266
95.20002,20.208229
95.4,20.214232
95.59998,20.219961
95.80002,20.225076
96,20.22978
96.19998,20.234625
96.40002,20.239632
96.6,20.244769
96.79998,20.249956
97.00002,20.255071
97.2,20.260027
97.39998,20.264854
97.60002,20.269356
97.8,20.273662
97.99998,20.278056
98.20002,20.282363
98.4,20.286449
98.59998,20.290572
98.80002,20.294699
99,20.298839
99.19998,20.30298
99.40002,20.306998
99.6,20.310598
99.79998,20.314018
100.00002,20.317531
100.2,20.321076
100.39998,20.324622
100.60002,20.328135
100.8,20.331644
100.99998,20.33519
101.20002,20.338865
101.4,20.342555
101.59998,20.345938
101.80002,20.348712
102,20.351392
102.19998,20.35413
102.40002,20.35681
102.6,20.359472
102.79998,20.362191
103.00002,20.364979
103.2,20.367804
103.39998,20.3707
103.60002,20.373636
103.8,20.376208
103.99998,20.378729
104.20002,20.381283
104.4,20.383765
104.59998,20.386106
104.80002,20.388426
105,20.390781
105.19998,20.39323
105.40002,20.395712
105.6,20.398068
105.79998,20.400229
106.00002,20.402368
106.2,20.404529
106.39998,20.406578
106.60002,20.408537
106.8,20.410605
106.99998,20.412675
107.20002,20.414671
107.4,20.416705
107.59998,20.418773
107.80002,20.420786
108,20.422803
108.19998,20.424744
108.40002,20.426685
108.6,20.428612
108.79998,20.430517
109.00002,20.432459
109.2,20.434512
109.39998,20.436435
109.60002,20.438341
109.8,20.440282
109.99998,20.442299
110.20002,20.444403
110.4,20.446438
110.59998,20.448163
110.80002,20.449708
111,20.451094
111.19998,20.452477
111.40002,20.453878
111.6,20.455283
111.79998,20.456702
112.00002,20.458103
112.2,20.459507
112.39998,20.460891
112.60002,20.46222
112.8,20.463552
112.99998,20.464791
113.20002,20.466031
113.4,20.467273
113.59998,20.46853
113.80002,20.46977
114,20.471048
114.19998,20.472287
114.40002,20.473545
114.6,20.474787
114.79998,20.476027
115.00002,20.477248
115.2,20.478455
115.39998,20.479623
115.60002,20.480808
115.8,20.481997
115.99998,20.483183
116.20002,20.484368
116.4,20.485575
116.59998,20.486743
116.80002,20.487929
117,20.489118
117.19998,20.490286
117.40002,20.491418
117.6,20.492535
117.79998,20.493613
118.00002,20.494709
118.2,20.495772
118.39998,20.496814
118.60002,20.497856
118.8,20.498919
118.99998,20.500015
119.20002,20.501129
119.4,20.50219
119.59998,20.503253
119.80002,20.504277
120,20.505266
120.19998,20.506239
120.40002,20.507137
120.6,20.508018
120.79998,20.508883
121.00002,20.509782
121.2,20.51068
121.39998,20.511582
121.60002,20.512462
121.8,20.513235
121.99998,20.514011
122.20002,20.514747
122.4,20.515466
122.59998,20.516149
122.80002,20.516798
123,20.517391
123.19998,20.517987
123.40002,20.51858
123.6,20.519191
123.79998,20.519804
124.00002,20.520415
124.2,20.521009
124.39998,20.521604
124.60002,20.522162
124.8,20.522719
124.99998,20.523279
125.20002,20.523872
125.4,20.524448
125.59998,20.525041
125.80002,20.525619
126,20.526195
126.19998,20.526753
126.40002,20.527295
126.6,20.527817
126.79998,20.528338
127.00002,20.528863
127.2,20.529385
127.39998,20.529925
127.60002,20.530449
127.8,20.530953
127.99998,20.531475
128.20002,20.532018
128.4,20.532576
128.59998,20.533099
128.80002,20.533641
129,20.534182
129.19998,20.534722
129.40002,20.535229
129.6,20.53577
129.79998,20.536274
130.00002,20.536781
130.2,20.537304
130.39998,20.537809
130.60002,20.538334
130.8,20.538875
130.99998,20.53938
131.20002,20.539905
131.4,20.540428
131.59998,20.540934
131.80002,20.541439
132,20.541928
132.19998,20.542434
132.40002,20.542921
132.6,20.543393
132.79998,20.543862
133.00002,20.544316
133.2,20.544749
133.39998,20.545183
133.60002,20.545601
133.8,20.546017
133.99998,20.546414
134.20002,20.54685
134.4,20.547284
134.59998,20.5477
134.80002,20.548098
135,20.548498
135.19998,20.54886
135.40002,20.549205
135.6,20.549549
135.79998,20.549913
136.00002,20.550239
136.2,20.550514
136.39998,20.550714
136.60002,20.550843
136.8,20.550991
136.99998,20.551156
137.20002,20.551447
137.4,20.551758
137.59998,20.552066
137.80002,20.552321
138,20.552524
138.19998,20.552599
138.40002,20.55262
138.6,20.552587
138.79998,20.552628
139.00002,20.552829
139.2,20.553228
139.39998,20.554188
139.60002,20.555271
139.8,20.556031
139.99998,20.556595
140.20002,20.55703
140.4,20.557502
140.59998,20.557957
140.80002,20.558285
141,20.558703
141.19998,20.559177
141.40002,20.559775
141.6,20.560337
141.79998,20.560721
142.00002,20.560833
142.2,20.561035
142.39998,20.561257
142.60002,20.561369
142.8,20.561463
142.99998,20.561542
143.20002,20.561618
143.4,20.561712
143.59998,20.561917
143.80002,20.56212
144,20.562358
144.19998,20.562617
144.40002,20.562802
144.6,20.562968
144.79998,20.563101
145.00002,20.563232
145.2,20.563363
145.39998,20.56346
145.60002,20.563591
145.8,20.563722
145.99998,20.563855
146.20002,20.564005
146.4,20.564118
