Time (sec),Heat Flow (mJ/s)
0,8.829032655
1.00002,8.827182024
1.99998,8.825331393
3,8.823480762
4.00002,8.821630131
4.99998,8.8197795
6,8.817928869
7.00002,8.816078238
7.99998,8.814227607
9,8.812376976
10.00002,8.810526345
10.99998,8.808675714
12,8.806825083
13.00002,8.804974452
13.99998,8.803123821
15,8.80127319
16.00002,8.79942256
16.99998,8.797571929
18,8.795721298
19.00002,8.793870667
19.99998,8.792020036
21,8.790169405
22.00002,8.788318774
22.99998,8.786468143
24,8.784617512
25.00002,8.782766881
25.99998,8.78091625
27,8.779065619
28.00002,8.777214988
28.99998,8.775364357
30,8.773513726
31.00002,8.771663095
31.99998,8.769812464
33,8.767961833
34.00002,8.766111202
34.99998,8.764260571
36,8.76240994
37.00002,8.76055931
37.99998,8.758708679
39,8.756858048
40.00002,8.755007417
40.99998,8.753156786
42,8.751306155
43.00002,8.749455524
43.99998,8.747604893
45,8.745754262
46.00002,8.743903631
46.99998,8.742053
48,8.740202369
49.00002,8.738351738
49.99998,8.736501107
51,8.734650476
52.00002,8.732799845
52.99998,8.730949214
54,8.729098583
55.00002,8.727247952
55.99998,8.725397321
57,8.72354669
58.00002,8.72169606
58.99998,8.719845429
60,8.717994798
60.19998,8.716144167
60.40002,8.714293536
60.6,8.712442905
60.79998,8.710592274
61.00002,8.708741643
61.2,8.706891012
61.39998,8.705040381
61.60002,8.70318975
61.8,8.701339119
61.99998,8.699488488
62.20002,8.697637857
62.4,8.695787226
62.59998,8.693936595
62.80002,8.692085964
63,8.690235333
63.19998,8.688384702
63.40002,8.686534071
63.6,8.68468344
63.79998,8.68283281
64.00002,8.680982179
64.2,8.679131548
64.39998,8.677280917
64.60002,8.675430286
64.8,8.673579655
64.99998,8.671729024
65.20002,8.669878393
65.4,8.668027762
65.59998,8.666177131
65.80002,8.6643265
66,8.662475869
66.19998,8.660625238
66.40002,8.658774607
66.6,8.656923976
66.79998,8.655073345
67.00002,8.653222714
67.2,8.651372083
67.39998,8.649521452
67.60002,8.647670821
67.8,8.64582019
67.99998,8.64396956
68.20002,8.642118929
68.4,8.640268298
68.59998,8.638417667
68.80002,8.636567036
69,8.634716405
