Time     ,Unsubtracted Heat Flow
0.2,19.84599646
0.4,19.84571191
0.6,19.84542736
0.8,19.84514281
1,19.84485826
1.2,19.84457371
1.4,19.84428916
1.6,19.84400461
1.8,19.84372006
2,19.84343551
2.2,19.84315096
2.4,19.84286641
2.6,19.84258186
2.8,19.84229731
3,19.841594
3.2,19.841594
3.4,19.841561
3.6,19.841428
3.8,19.841197
4,19.840865
4.2,19.840435
4.4,19.839888
4.6,19.839309
4.8,19.838679
5,19.838034
5.2,19.837371
5.4,19.836742
5.6,19.836129
5.8,19.835516
6,19.83492
6.2,19.834374
6.4,19.833844
6.6,19.83333
6.8,19.8328
7,19.83232
7.2,19.831823
7.4,19.83136
7.6,19.830913
7.8,19.830565
8,19.830267
8.2,19.830018
8.4,19.841594
8.6,19.841594
8.8,19.841561
9,19.841428
9.2,19.841197
9.4,19.840865
9.6,19.840435
9.8,19.839888
10,19.839309
10.2,19.838679
10.4,19.838034
10.6,19.837371
10.8,19.836742
11,19.836129
11.2,19.835516
11.4,19.83492
11.6,19.834374
11.8,19.833844
12,19.83333
12.2,19.8328
12.4,19.83232
12.6,19.831823
12.8,19.83136
13,19.830913
13.2,19.830565
13.4,19.830267
13.6,19.830018
13.8,19.829919
14,19.829685
14.2,19.829169
14.4,19.828435
14.6,19.827037
14.8,19.825622
15,19.823475
15.2,19.821644
15.4,19.818124
15.6,19.814471
15.8,19.810074
16,19.805893
16.2,19.802507
16.4,19.797548
16.6,19.790056
16.8,19.781091
17,19.772541
17.2,19.764189
17.4,19.757063
17.6,19.748894
17.8,19.741072
18,19.733068
18.2,19.72528
18.4,19.717492
18.6,19.709373
18.8,19.701586
19,19.693997
19.2,19.685979
19.4,19.678159
19.6,19.670902
19.8,19.664043
20,19.657299
20.2,19.651136
20.4,19.645485
20.6,19.639753
20.8,19.634616
21,19.62986
21.2,19.625253
21.4,19.62058
21.6,19.616106
21.8,19.612294
22,19.609525
22.2,19.606375
22.4,19.60445
22.6,19.603022
22.8,19.601014
23,19.598841
23.2,19.596867
23.4,19.594843
23.6,19.592935
23.8,19.591044
24,19.58897
24.2,19.586996
24.4,19.585171
24.6,19.584008
24.8,19.58412
25,19.58567
25.2,19.58684
25.4,19.587399
25.6,19.587642
25.8,19.588415
26,19.589651
26.2,19.59059
26.4,19.591529
26.6,19.592583
26.8,19.593571
27,19.594476
27.2,19.595332
27.4,19.596287
27.6,19.597374
27.8,19.599057
28,19.601303
28.2,19.603333
28.4,19.605264
28.6,19.607476
28.8,19.609986
29,19.612148
29.2,19.614228
29.4,19.616456
29.6,19.618851
29.8,19.621162
30,19.623523
30.2,19.625949
30.4,19.628327
30.6,19.63077
30.8,19.633312
31,19.635888
31.2,19.638463
31.4,19.641022
31.6,19.643532
31.8,19.646008
32,19.648517
32.2,19.651026
32.4,19.653551
32.6,19.656077
32.8,19.658619
33,19.661144
33.2,19.66367
33.4,19.666178
33.6,19.668654
33.8,19.67108
34,19.673506
34.2,19.675948
34.4,19.678441
34.6,19.680883
34.8,19.683325
35,19.685801
35.2,19.688276
35.4,19.690702
35.6,19.693127
35.8,19.695487
36,19.697847
36.2,19.700173
36.4,19.702499
36.6,19.704776
36.8,19.707102
37,19.709411
37.2,19.711754
37.4,19.714047
37.6,19.716373
37.8,19.718599
38,19.720777
38.2,19.722937
38.4,19.725015
38.6,19.726994
38.8,19.728989
39,19.730984
39.2,19.732979
39.4,19.734974
39.6,19.736903
39.8,19.738749
40,19.740496
40.2,19.742392
40.4,19.744238
40.6,19.746018
40.8,19.747749
41,19.749462
41.2,19.751159
41.4,19.752807
41.6,19.754388
41.8,19.755969
42,19.757601
42.2,19.759232
42.4,19.760796
42.6,19.762295
42.8,19.763794
43,19.765259
43.2,19.766725
43.4,19.768174
43.6,19.769656
43.8,19.771171
44,19.772537
44.2,19.773903
44.4,19.775254
44.6,19.776553
44.8,19.77782
45,19.779038
45.2,19.780173
45.4,19.78134
45.6,19.782525
45.8,19.783643
46,19.784745
46.2,19.785847
46.4,19.786965
46.6,19.787902
46.8,19.788689
47,19.789444
47.2,19.790182
47.4,19.790837
47.6,19.791459
47.8,19.792099
48,19.792804
48.2,19.793542
48.4,19.79428
48.6,19.794935
48.8,19.795359
49,19.795668
49.2,19.795943
49.4,19.796252
49.6,19.79666
49.8,19.797034
50,19.797442
50.2,19.797882
50.4,19.798356
50.6,19.798862
50.8,19.799419
51,19.799959
51.2,19.800449
51.4,19.800923
51.6,19.801413
51.8,19.801904
52,19.80241
52.2,19.802867
52.4,19.803325
52.6,19.803749
52.8,19.80419
53,19.804598
53.2,19.805022
53.4,19.805413
53.6,19.805788
53.8,19.806179
54,19.806586
54.2,19.806994
54.4,19.807336
54.6,19.84798831
54.8,19.84770376
55,19.84741921
55.2,19.84713466
55.4,19.84685011
55.6,19.84656556
55.8,19.84628101
56,19.84599646
56.2,19.84571191
56.4,19.84542736
56.6,19.84514281
56.8,19.84485826
57,19.84457371
57.2,19.84428916
57.4,19.84400461
57.6,19.84372006
57.8,19.84343551
58,19.84315096
58.2,19.84286641
58.4,19.84258186
58.6,19.84229731
58.8,19.841594
59,19.841594
59.2,19.841561
59.4,19.841428
59.6,19.841197
59.8,19.840865
60,19.840435
60.2,19.839888
60.4,19.839309
60.6,19.838679
60.8,19.838034
61,19.837371
61.2,19.836742
61.4,19.836129
61.60002,19.835516
61.8,19.83492
61.99998,19.834374
62.20002,19.833844
62.4,19.83333
62.59998,19.8328
62.80002,19.83232
63,19.831823
63.19998,19.83136
63.40002,19.830913
63.6,19.830565
63.79998,19.830267
64.00002,19.830018
64.2,19.841594
64.39998,19.841594
64.60002,19.841561
64.8,19.841428
64.99998,19.841197
65.20002,19.840865
65.4,19.840435
65.59998,19.839888
65.80002,19.839309
66,19.838679
66.19998,19.838034
66.40002,19.837371
66.6,19.836742
66.79998,19.836129
67.00002,19.835516
67.2,19.83492
67.39998,19.834374
67.60002,19.833844
67.8,19.83333
67.99998,19.8328
68.20002,19.83232
68.4,19.831823
68.59998,19.83136
68.80002,19.830913
69,19.830565
69.19998,19.830267
69.40002,19.830018
69.6,19.829919
69.79998,19.829685
70.00002,19.829169
70.2,19.828435
70.39998,19.827037
70.60002,19.825622
70.8,19.823475
70.99998,19.821644
71.20002,19.818124
71.4,19.814471
71.59998,19.810074
71.80002,19.805893
72,19.802507
72.19998,19.797548
72.40002,19.790056
72.6,19.781091
72.79998,19.772541
73.00002,19.764189
73.2,19.757063
73.39998,19.748894
73.60002,19.741072
73.8,19.733068
73.99998,19.72528
74.20002,19.717492
74.4,19.709373
74.59998,19.701586
74.80002,19.693997
75,19.685979
75.19998,19.678159
75.40002,19.670902
75.6,19.664043
75.79998,19.657299
76.00002,19.651136
76.2,19.645485
76.39998,19.639753
76.60002,19.634616
76.8,19.62986
76.99998,19.625253
77.20002,19.62058
77.4,19.616106
77.59998,19.612294
77.80002,19.609525
78,19.606375
78.19998,19.60445
78.40002,19.603022
78.6,19.601014
78.79998,19.598841
79.00002,19.596867
79.2,19.594843
79.39998,19.592935
79.60002,19.591044
79.8,19.58897
79.99998,19.586996
80.20002,19.585171
80.4,19.584008
80.59998,19.58412
80.80002,19.58567
81,19.58684
81.19998,19.587399
81.40002,19.587642
81.6,19.588415
81.79998,19.589651
82.00002,19.59059
82.2,19.591529
82.39998,19.592583
82.60002,19.593571
82.8,19.594476
82.99998,19.595332
83.20002,19.596287
83.4,19.597374
83.59998,19.599057
83.80002,19.601303
84,19.603333
84.19998,19.605264
84.40002,19.607476
84.6,19.609986
84.79998,19.612148
85.00002,19.614228
85.2,19.616456
85.39998,19.618851
85.60002,19.621162
85.8,19.623523
85.99998,19.625949
86.20002,19.628327
86.4,19.63077
86.59998,19.633312
86.80002,19.635888
87,19.638463
87.19998,19.641022
87.40002,19.643532
87.6,19.646008
87.79998,19.648517
88.00002,19.651026
88.2,19.653551
88.39998,19.656077
88.60002,19.658619
88.8,19.661144
88.99998,19.66367
89.20002,19.666178
89.4,19.668654
89.59998,19.67108
89.80002,19.673506
90,19.675948
90.19998,19.678441
90.40002,19.680883
90.6,19.683325
90.79998,19.685801
91.00002,19.688276
91.2,19.690702
91.39998,19.693127
91.60002,19.695487
91.8,19.697847
91.99998,19.700173
92.20002,19.702499
92.4,19.704776
92.59998,19.707102
92.80002,19.709411
93,19.711754
93.19998,19.714047
93.40002,19.716373
93.6,19.718599
93.79998,19.720777
94.00002,19.722937
94.2,19.725015
94.39998,19.726994
94.60002,19.728989
94.8,19.730984
94.99998,19.732979
95.20002,19.734974
95.4,19.736903
95.59998,19.738749
95.80002,19.740496
96,19.742392
96.19998,19.744238
96.40002,19.746018
96.6,19.747749
96.79998,19.749462
97.00002,19.751159
97.2,19.752807
97.39998,19.754388
97.60002,19.755969
97.8,19.757601
97.99998,19.759232
98.20002,19.760796
98.4,19.762295
98.59998,19.763794
98.80002,19.765259
99,19.766725
99.19998,19.768174
99.40002,19.769656
99.6,19.771171
99.79998,19.772537
100.00002,19.773903
100.2,19.775254
100.39998,19.776553
100.60002,19.77782
100.8,19.779038
100.99998,19.780173
101.20002,19.78134
101.4,19.782525
101.59998,19.783643
101.80002,19.784745
102,19.785847
102.19998,19.786965
102.40002,19.787902
102.6,19.788689
102.79998,19.789444
103.00002,19.790182
103.2,19.790837
103.39998,19.791459
103.60002,19.792099
103.8,19.792804
103.99998,19.793542
104.20002,19.79428
104.4,19.794935
104.59998,19.795359
104.80002,19.795668
105,19.795943
105.19998,19.796252
105.40002,19.79666
105.6,19.797034
105.79998,19.797442
106.00002,19.797882
106.2,19.798356
106.39998,19.798862
106.60002,19.799419
106.8,19.799959
106.99998,19.800449
107.20002,19.800923
107.4,19.801413
107.59998,19.801904
107.80002,19.80241
108,19.802867
108.19998,19.803325
108.40002,19.803749
108.6,19.80419
108.79998,19.804598
109.00002,19.805022
109.2,19.805413
109.39998,19.805788
109.60002,19.806179
109.8,19.806586
109.99998,19.806994
110.20002,19.807336
110.4,19.807694
110.59998,19.808003
110.80002,19.808295
111,19.808603
111.19998,19.808929
111.40002,19.809221
111.6,19.809446
111.79998,19.80959
112.00002,19.80975
112.2,19.809943
112.39998,19.810087
112.60002,19.810263
112.8,19.81039
112.99998,19.8105
113.20002,19.810595
113.4,19.810672
113.59998,19.81075
113.80002,19.810827
114,19.810921
114.19998,19.811016
114.40002,19.811093
114.6,19.81122
114.79998,19.811347
115.00002,19.811458
115.2,19.811535
115.39998,19.811613
115.60002,19.81169
115.8,19.811784
115.99998,19.811846
116.20002,19.811907
116.4,19.811951
116.59998,19.812012
116.80002,19.812041
117,19.812085
117.19998,19.81213
117.40002,19.812158
117.6,19.81217
117.79998,19.812198
118.00002,19.81221
118.2,19.812238
118.39998,19.81225
118.60002,19.812262
118.8,19.812273
118.99998,19.812269
119.20002,19.812231
119.4,19.812209
119.59998,19.812205
119.80002,19.812184
120,19.812179
120.19998,19.812191
120.40002,19.81217
120.6,19.812148
120.79998,19.812111
121.00002,19.812073
121.2,19.812052
121.39998,19.812031
121.60002,19.812027
121.8,19.812005
121.99998,19.811984
122.20002,19.81198
122.4,19.811959
122.59998,19.811938
122.80002,19.811901
123,19.811846
123.19998,19.811776
123.40002,19.811706
123.6,19.811635
123.79998,19.811581
124.00002,19.811494
124.2,19.811457
124.39998,19.811369
124.60002,19.811266
124.8,19.811179
124.99998,19.811092
125.20002,19.810989
125.4,19.810853
125.59998,19.810716
125.80002,19.810563
126,19.810427
126.19998,19.810274
126.40002,19.810122
126.6,19.809985
126.79998,19.809832
127.00002,19.809696
127.2,19.80951
127.39998,19.809358
127.60002,19.809189
127.8,19.809036
127.99998,19.80885
128.20002,19.808714
128.4,19.808578
128.59998,19.808458
128.80002,19.808322
129,19.808202
129.19998,19.808066
129.40002,19.807964
129.6,19.807844
129.79998,19.807741
130.00002,19.807654
130.2,19.807518
130.39998,19.807415
130.60002,19.807296
130.8,19.80716
130.99998,19.80704
131.20002,19.806905
131.4,19.806785
131.59998,19.806665
131.80002,19.806546
132,19.80641
132.19998,19.806258
132.40002,19.806122
132.6,19.805986
132.79998,19.80585
133.00002,19.805714
133.2,19.805563
133.39998,19.805394
133.60002,19.805192
133.8,19.805007
133.99998,19.804821
134.20002,19.804652
134.4,19.804435
134.59998,19.804216
134.80002,19.804015
135,19.803846
135.19998,19.803677
135.40002,19.803558
135.6,19.803439
135.79998,19.80332
136.00002,19.803168
136.2,19.802999
136.39998,19.802814
136.60002,19.802596
136.8,19.802395
136.99998,19.802177
137.20002,19.801959
137.4,19.801724
137.59998,19.801473
137.80002,19.801255
138,19.801021
138.19998,19.800803
138.40002,19.800601
138.6,19.8004
138.79998,19.800215
139.00002,19.800047
139.2,19.799862
139.39998,19.799644
139.60002,19.799426
139.8,19.799209
139.99998,19.798991
140.20002,19.798773
140.4,19.798572
140.59998,19.798387
140.80002,19.798203
141,19.798051
141.19998,19.797883
141.40002,19.797731
141.6,19.79758
141.79998,19.797444
142.00002,19.797326
142.2,19.797207
142.39998,19.797089
142.60002,19.796986
142.8,19.796852
142.99998,19.796716
143.20002,19.796598
143.4,19.796479
143.59998,19.796311
143.80002,19.796143
144,19.795976
144.19998,19.795824
144.40002,19.795689
144.6,19.795538
144.79998,19.79537
145.00002,19.795202
145.2,19.795051
145.39998,19.794883
145.60002,19.794698
145.8,19.794514
145.99998,19.79428
146.20002,19.794046
146.4,19.793813
146.59998,19.793612
146.80002,19.793427
147,19.793227
147.19998,19.793042
147.40002,19.792842
147.6,19.792641
147.79998,19.79244
148.00002,19.792256
148.2,19.792105
148.39998,19.791954
148.60002,19.791803
148.8,19.791652
148.99998,19.791484
149.20002,19.791316
149.4,19.791165
149.59998,19.790981
149.80002,19.790797
150,19.790646
150.19998,19.790479
150.40002,19.790328
150.6,19.79016
150.79998,19.789976
151.00002,19.789792
151.2,19.789576
151.39998,19.789375
151.60002,19.789174
151.8,19.788974
151.99998,19.78879
152.20002,19.788606
152.4,19.788406
152.59998,19.788222
152.80002,19.788022
153,19.787822
153.19998,19.787638
153.40002,19.787437
153.6,19.787221
153.79998,19.787037
154.00002,19.786853
154.2,19.786653
154.39998,19.786469
154.60002,19.786253
154.8,19.786053
154.99998,19.785852
155.20002,19.785652
155.4,19.785452
155.59998,19.785236
155.80002,19.785068
156,19.784901
156.19998,19.784734
156.40002,19.784567
156.6,19.784417
156.79998,19.784266
157.00002,19.784115
157.2,19.783949
157.39998,19.783782
157.60002,19.783631
157.8,19.783497
157.99998,19.783363
158.20002,19.783213
158.4,19.783046
158.59998,19.782879
158.80002,19.782745
159,19.782578
159.19998,19.782395
159.40002,19.782244
159.6,19.782111
159.79998,19.781993
160.00002,19.781876
160.2,19.781792
160.39998,19.781674
160.60002,19.78159
160.8,19.781456
160.99998,19.781339
161.20002,19.781238
161.4,19.781121
161.59998,19.780971
161.80002,19.78082
162,19.780654
162.19998,19.780503
162.40002,19.780353
162.6,19.780203
162.79998,19.780037
163.00002,19.77987
163.2,19.77972
163.39998,19.779586
163.60002,19.779436
163.8,19.779286
163.99998,19.77912
164.20002,19.778953
164.4,19.77877
164.59998,19.778587
164.80002,19.778387
165,19.778188
165.19998,19.778022
165.40002,19.777839
165.6,19.777639
165.79998,19.777456
166.00002,19.777273
166.2,19.777107
166.39998,19.776924
166.60002,19.776758
166.8,19.776625
166.99998,19.776475
167.20002,19.776325
167.4,19.776191
167.59998,19.776058
167.80002,19.775925
168,19.775792
168.19998,19.775642
168.40002,19.775508
168.6,19.775342
168.79998,19.775193
169.00002,19.775059
169.2,19.774926
169.39998,19.774809
169.60002,19.774709
169.8,19.774609
169.99998,19.774525
170.20002,19.774442
170.4,19.774375
170.59998,19.774291
170.80002,19.774224
171,19.77414
171.19998,19.774056
171.40002,19.773956
171.6,19.77384
171.79998,19.773723
172.00002,19.773557
172.2,19.773408
172.39998,19.773275
172.60002,19.773142
172.8,19.773009
172.99998,19.772859
173.20002,19.77271
173.4,19.772544
173.59998,19.772444
173.80002,19.772295
174,19.772162
174.19998,19.772062
174.40002,19.771962
174.6,19.771846
174.79998,19.771696
175.00002,19.77158
175.2,19.771447
175.39998,19.771314
175.60002,19.771198
175.8,19.771082
175.99998,19.770932
176.20002,19.7708
176.4,19.7707
176.59998,19.770617
176.80002,19.770484
177,19.770384
177.19998,19.770251
177.40002,19.770119
177.6,19.769986
177.79998,19.769837
178.00002,19.769688
178.2,19.769539
178.39998,19.769406
178.60002,19.76924
178.8,19.769091
178.99998,19.768942
179.20002,19.76881
179.4,19.768677
179.59998,19.768545
179.80002,19.768379
180,19.76823
180.19998,19.768081
180.40002,19.767932
180.6,19.767767
180.79998,19.767618
181.00002,19.767452
181.2,19.767303
181.39998,19.767138
181.60002,19.767006
181.8,19.766873
181.99998,19.766741
182.20002,19.766625
182.4,19.766493
182.59998,19.76636
182.80002,19.766244
183,19.766112
183.19998,19.765996
183.40002,19.765864
183.6,19.765732
183.79998,19.765566
184.00002,19.765401
184.2,19.765252
184.39998,19.765104
