Wavelength (nm),Intensity (a.u.)
450,425.258
450.5,404.761094
451,383.721762
451.5,361.730688
452,338.380783
452.5,314.117933
453,289.127763
453.5,264.034645
454,239.328198
454.5,215.484425
455,192.751055
455.5,171.492169
456,151.850158
456.5,133.627037
457,117.013503
457.5,102.028754
458,88.583244
458.5,76.691735
459,66.028501
459.5,56.414011
460,48.02677
460.5,40.844013
461,34.685876
461.5,29.505666
462,25.354989
462.5,22.057202
463,19.601753
463.5,17.800715
464,16.552222
464.5,15.758086
465,15.400229
465.5,15.422505
466,15.760139
466.5,16.38531
467,17.251045
467.5,18.308203
468,19.541576
468.5,20.911181
469,22.407936
469.5,24.0214
470,25.758034
470.5,27.643378
471,29.68643
471.5,31.883587
472,34.248467
472.5,36.78654
473,39.496647
473.5,42.359831
474,45.388672
474.5,48.592819
475,52.060384
475.5,55.728301
476,59.646445
476.5,63.813788
477,68.246655
477.5,72.987442
478,77.997495
478.5,83.249932
479,88.71294
479.5,94.436391
480,100.29262
480.5,106.35766
481,112.62606
481.5,119.106495
482,125.920678
482.5,133.195586
483,140.789629
483.5,148.878196
484,157.498945
484.5,166.470289
485,175.84028
485.5,185.530632
486,195.411148
486.5,205.459954
487,215.75409
487.5,226.061971
488,236.476678
488.5,246.984386
489,257.545426
489.5,268.236991
490,279.052816
490.5,290.01632
491,301.112889
491.5,312.425362
492,323.933906
492.5,335.667151
493,347.563388
493.5,359.704058
494,372.02313
494.5,384.512181
495,397.166351
495.5,409.92304
496,422.681066
496.5,435.528065
497,448.471486
497.5,461.339232
498,474.320559
498.5,487.166655
499,499.915444
499.5,512.495753
500,524.793621
500.5,536.573696
501,548.081686
501.5,559.305424
502,570.315476
502.5,581.417928
503,592.423237
503.5,603.447369
504,614.558945
504.5,625.74099
505,636.733434
505.5,647.599331
506,658.177352
506.5,668.528115
507,678.777253
507.5,688.817524
508,698.499099
508.5,707.677827
509,716.515364
509.5,724.717859
510,732.47313
510.5,739.768492
511,746.521535
511.5,752.928985
512,759.25127
512.5,765.545785
513,771.438547
513.5,777.197742
514,782.680964
514.5,788.005292
515,793.078228
515.5,797.711991
516,802.053288
516.5,806.142799
517,810.268591
517.5,814.022385
518,817.405088
518.5,820.376386
519,823.086256
519.5,825.481766
520,827.527399
520.5,829.331518
521,830.792894
521.5,832.04446
522,832.90539
522.5,833.19211
523,833.086139
523.5,832.483941
524,831.409172
524.5,829.86308
525,828.073257
525.5,826.159717
526,824.121364
526.5,822.017805
527,819.726193
527.5,817.589173
528,815.079254
528.5,812.044385
529,808.368093
529.5,804.271307
530,799.834637
530.5,795.187192
531,790.21879
531.5,785.076607
532,780.286579
532.5,775.693437
533,771.152627
533.5,766.227516
534,761.076448
534.5,755.674229
535,750.177579
535.5,744.376112
536,738.407411
536.5,732.519776
537,726.750961
537.5,721.080555
538,715.046619
538.5,708.749785
539,702.035854
539.5,695.067345
540,687.510266
540.5,679.878031
541,672.153036
