Wavelength (nm),Intensity (a.u.)
350,586.579
350.5,596.819333
351,606.916782
351.5,616.574259
352,625.402056
352.5,633.552818
353,641.126378
353.5,648.540097
354,655.629017
354.5,662.619195
355,669.547718
355.5,676.429467
356,683.317278
356.5,690.075892
357,696.905843
357.5,703.607811
358,710.236943
358.5,716.433251
359,722.281754
359.5,727.748392
360,732.749412
360.5,737.421273
361,741.760043
361.5,746.053568
362,750.289513
362.5,754.708058
363,759.011163
363.5,763.109498
364,766.923881
364.5,770.460076
365,773.456693
365.5,775.835213
366,777.496991
366.5,778.685525
367,779.732081
367.5,780.753212
368,781.521908
368.5,782.12371
369,782.621589
369.5,782.909145
370,782.883833
370.5,782.365892
371,781.295826
371.5,779.93497
372,778.491407
372.5,776.794223
373,774.854055
373.5,772.620523
374,770.103383
374.5,767.314331
375,764.106496
375.5,760.550752
376,756.662898
376.5,752.585832
377,748.313447
377.5,743.772745
378,738.786994
378.5,733.470041
379,727.932048
379.5,722.279892
380,716.4492
380.5,710.425634
381,704.269984
381.5,697.963264
382,691.445084
382.5,684.313658
383,676.615987
383.5,668.752992
384,660.616652
384.5,652.254786
385,643.8018
385.5,635.463073
386,627.23399
386.5,619.311197
387,611.426471
387.5,603.47997
388,595.921811
388.5,588.643667
389,581.561176
389.5,574.625567
390,568.206774
390.5,561.846496
391,555.706903
391.5,549.919433
392,544.117404
392.5,538.775326
393,533.74992
393.5,529.005116
394,524.44724
394.5,520.659398
395,517.389522
395.5,514.401415
396,511.945887
396.5,509.831246
397,508.265509
397.5,507.090175
398,506.190363
398.5,505.467857
399,505.395487
399.5,505.740196
400,506.434712
400.5,507.511948
401,508.978481
401.5,510.904217
402,513.175229
402.5,515.865738
403,518.848396
403.5,522.269457
404,525.924336
404.5,529.963659
405,534.070009
405.5,538.461386
406,542.998029
406.5,547.565585
407,552.171919
407.5,556.849954
408,561.682418
408.5,566.617743
409,571.737257
409.5,576.789618
410,582.163972
410.5,587.776603
411,593.34201
411.5,598.850293
412,604.387845
412.5,609.51722
413,614.313899
413.5,618.969413
414,623.252126
414.5,627.505564
415,631.91891
415.5,636.364773
416,641.059638
416.5,646.048246
417,650.956943
417.5,655.691532
418,660.39238
418.5,664.825208
419,669.118093
419.5,673.213165
420,677.024111
420.5,680.884805
421,684.78047
421.5,688.470208
422,691.902081
422.5,695.355644
423,698.763463
423.5,702.476384
424,706.242236
424.5,710.076986
425,714.246816
425.5,718.728805
426,723.228406
426.5,727.744512
427,732.125926
427.5,736.261269
428,740.463811
428.5,744.552912
429,748.56401
429.5,752.295377
430,756.282698
430.5,760.331195
431,764.552805
431.5,768.839745
432,773.029102
432.5,777.270547
433,781.578173
433.5,785.83069
434,789.520837
434.5,793.161547
435,796.548025
435.5,799.849165
436,803.11504
436.5,806.091895
437,808.889524
437.5,811.878253
438,814.812432
438.5,817.299433
439,819.573285
439.5,821.701002
440,823.675081
440.5,825.694892
441,827.567755
441.5,829.259627
442,830.949315
442.5,832.242745
443,833.193658
443.5,833.663185
444,833.76286
444.5,833.537094
445,833.036119
445.5,832.446455
446,831.854795
446.5,831.140721
447,829.965015
447.5,828.646387
448,827.056584
448.5,825.184033
449,822.99474
449.5,820.451521
450,817.731152
450.5,815.232994
451,812.657114
451.5,809.682825
452,806.445203
452.5,803.114445
453,799.844854
453.5,796.421248
454,792.895089
454.5,788.942847
455,784.956654
455.5,780.863186
456,776.692791
456.5,772.252644
457,767.817068
457.5,763.731115
458,759.727671
458.5,756.011494
459,752.050657
459.5,748.072159
460,744.008075
460.5,739.832394
461,735.2141
461.5,730.324917
462,725.463028
462.5,720.464512
463,715.363222
463.5,709.877183
464,704.244767
464.5,698.662181
465,692.899941
465.5,686.798051
466,680.680591
466.5,674.625637
467,668.598174
467.5,662.491787
468,655.989027
468.5,649.225763
469,642.520559
469.5,635.644995
470,628.35004
470.5,620.715843
471,612.705112
471.5,604.370501
472,596.097788
472.5,587.463613
473,578.607484
473.5,569.627255
474,560.690391
474.5,551.770277
475,542.869301
475.5,533.813387
476,524.493608
476.5,515.447766
477,506.206037
477.5,496.943871
478,487.421391
478.5,477.881181
479,468.412051
479.5,459.038744
480,449.748393
480.5,440.300584
481,431.043955
481.5,421.774482
482,412.721997
482.5,403.60601
483,394.364224
483.5,385.181293
484,376.029512
484.5,367.068913
485,358.17609
485.5,349.431201
486,340.730475
486.5,332.187866
487,323.693792
487.5,314.947462
488,306.046242
488.5,296.8248
489,287.423007
489.5,277.859814
490,268.062563
490.5,258.069426
491,248.102437
491.5,238.352789
492,228.748285
492.5,219.482536
493,210.493858
493.5,201.789133
494,193.538868
494.5,185.683303
495,178.120486
495.5,170.693918
496,163.466629
496.5,156.419326
497,149.512629
497.5,142.712924
498,136.014129
498.5,129.56282
499,123.334086
499.5,117.267212
500,111.202
