Wavelength (nm),Intensity,
475,4.46774,
475.5,5.5358,
476,6.60386,
476.5,7.67192,
477,8.73998,
477.5,9.80804,
478,10.8761,
478.5,11.94416,
479,13.01222,
479.5,14.08028,
480,15.14834,
480.5,16.2164,
481,17.28446,
481.5,18.35252,
482,19.42058,
482.5,20.48864,119.009306
483,21.5567,
483.5,22.62476,
484,23.69282,
484.5,24.76088,
485,25.882112,
485.5,27.065066,
486,28.360048,
486.5,29.71775,
487,31.130987,
487.5,32.51962,
488,33.858641,
488.5,35.101407,
489,36.297884,
489.5,37.491725,
490,38.68565,
490.5,39.994477,
491,41.418874,
491.5,42.951221,
492,44.511596,
492.5,46.125017,
493,47.641882,
493.5,49.189378,
494,50.765363,
494.5,52.361123,
495,54.02495,
495.5,55.725915,
496,57.504684,
496.5,59.257336,
497,61.009384,
497.5,62.591651,
498,64.141823,
498.5,65.633236,
499,67.101745,
499.5,68.638499,
500,70.185144,
500.5,71.761117,
501,73.460157,
501.5,75.22013,
502,76.926638,
502.5,78.690195,
503,80.347132,
503.5,81.950542,
504,83.508324,
504.5,84.897123,
505,86.097707,
505.5,87.286044,
506,88.531808,
506.5,89.844396,
507,91.312261,
507.5,92.801204,
508,94.347209,
508.5,95.974893,
509,97.534454,
509.5,98.871492,
510,100.077244,
510.5,101.304109,
511,102.433131,
511.5,103.540683,
512,104.608246,
512.5,105.612885,
513,106.656987,
513.5,107.641658,
514,108.479382,
514.5,109.181836,
515,109.960459,
515.5,110.736822,
516,111.581134,
516.5,112.459294,
517,113.293836,
517.5,114.169141,
518,115.030266,
518.5,115.789873,
519,116.461092,
519.5,117.089664,
520,117.589258,
520.5,118.075548,
521,118.480695,
521.5,118.735308,
522,118.897178,
522.5,118.954681,
523,119.001062,
523.5,119.009306,
524,118.960168,
524.5,118.817073,
525,118.786629,
525.5,118.69877,
526,118.462965,
526.5,118.085123,
527,117.59715,
527.5,117.092315,
528,116.507645,
528.5,115.935301,
529,115.331634,
529.5,114.836788,
530,114.377927,
530.5,113.813798,
531,113.118797,
531.5,112.307396,
532,111.434333,
532.5,110.390483,
533,109.263331,
533.5,108.078858,
534,106.926022,
534.5,105.766106,
535,104.484666,
535.5,103.147215,
536,101.765115,
536.5,100.330951,
537,98.799723,
537.5,97.226538,
538,95.703233,
538.5,94.30982,
539,93.00943,
539.5,91.723029,
540,90.510493,
540.5,89.370232,
541,88.188461,
541.5,86.922534,
542,85.503868,
542.5,84.055466,
543,82.671968,
543.5,81.280839,
544,79.880327,
544.5,78.474694,
545,77.205722,
545.5,75.902149,
546,74.669671,
546.5,73.390052,
547,72.170272,
547.5,71.050325,
548,69.943787,
548.5,68.917314,
549,67.924629,
549.5,67.075189,
550,66.169294,
550.5,65.326922,
551,64.481328,
551.5,63.699957,
552,62.964722,
552.5,62.181548,
553,61.38423,
553.5,60.553866,
554,59.732934,
554.5,58.788314,
555,57.817173,
555.5,56.868291,
556,55.975222,
556.5,55.146484,
557,54.345677,
557.5,53.581278,
558,52.843604,
558.5,52.134389,
559,51.418426,
559.5,50.697148,
560,50.034521,
560.5,49.386824,
561,48.798281,
561.5,48.267384,
562,47.774532,
562.5,47.236997,
563,46.658538,
563.5,46.035531,
564,45.374256,
564.5,44.735916,
565,44.050759,
565.5,43.341583,
566,42.665393,
566.5,42.019589,
567,41.382547,
567.5,40.733438,
568,40.098497,
568.5,39.481795,
569,38.932565,
569.5,38.404145,
570,37.852332,
570.5,37.317936,
571,36.797664,
571.5,36.30995,
572,35.77615,
572.5,35.208714,
573,34.638725,
573.5,34.073777,
574,33.522413,
574.5,32.948242,
575,32.363946,
575.5,31.762836,
576,31.194855,
576.5,30.616187,
577,30.03548,
577.5,29.510626,
578,29.037933,
578.5,28.63049,
579,28.240951,
579.5,27.863487,
580,27.51475,
580.5,27.199685,
581,26.839052,
581.5,26.434585,
582,25.996429,
582.5,25.526135,
583,25.038119,
583.5,24.536508,
584,24.014183,
584.5,23.516502,
585,23.059071,
585.5,22.619495,
586,22.227947,
586.5,21.856919,
587,21.492922,
587.5,21.145634,
588,20.826102,
588.5,20.50243,
589,20.175161,
589.5,19.819008,
590,19.437382,
590.5,19.082025,
591,18.735515,
591.5,18.369515,
592,17.976941,
592.5,17.599895,
593,17.241072,
593.5,16.898911,
594,16.565413,
594.5,16.228285,
595,15.934969,
595.5,15.687138,
596,15.452605,
596.5,15.223859,
597,14.992922,
597.5,14.742587,
598,14.440212,
598.5,14.089784,
599,13.644952,
599.5,13.148372,
600,12.605174,
600.5,12.033,
