Wavelength (nm),Intensity (a.u.)
475,22.641
475.5,23.705387
476,24.923971
476.5,26.225877
477,27.719846
477.5,29.494094
478,31.488693
478.5,33.570744
479,35.917058
479.5,38.277956
480,40.723477
480.5,43.206965
481,45.730166
481.5,48.262235
482,50.913012
482.5,53.71541
483,56.564022
483.5,59.667008
484,62.970342
484.5,66.43255
485,69.984203
485.5,73.731019
486,77.587254
486.5,81.590504
487,85.715204
487.5,89.800629
488,94.013215
488.5,98.351469
489,102.733548
489.5,106.955274
490,111.149202
490.5,115.34387
491,119.660273
491.5,124.153848
492,128.674344
492.5,133.419766
493,138.5133
493.5,143.859591
494,149.373962
494.5,154.844355
495,160.285283
495.5,165.760602
496,171.083769
496.5,176.261839
497,181.32904
497.5,186.309984
498,191.36942
498.5,196.612426
499,201.782757
499.5,207.026705
500,212.48351
500.5,217.840887
501,223.204613
501.5,228.58782
502,233.834275
502.5,239.08167
503,244.36953
503.5,249.354282
504,254.14114
504.5,258.910366
505,263.414619
505.5,267.75822
506,271.971749
506.5,276.093979
507,280.204863
507.5,284.308503
508,288.424908
508.5,292.486215
509,296.599932
509.5,300.688063
510,304.74804
510.5,308.641278
511,312.464911
511.5,315.89406
512,319.173561
512.5,322.407185
513,325.599936
513.5,328.611574
514,331.542293
514.5,334.358892
515,337.115245
515.5,339.914893
516,342.480015
516.5,344.833998
517,346.946066
517.5,349.016242
518,350.752192
518.5,352.268594
519,353.378743
519.5,354.076271
520,354.406948
520.5,354.585764
521,354.591431
521.5,354.518375
522,354.691299
522.5,354.751169
523,354.911731
523.5,355.265788
524,355.263298
524.5,355.042323
525,354.788875
525.5,354.375355
526,353.786553
526.5,353.279066
527,352.652525
527.5,351.709663
528,350.976293
528.5,349.839318
529,348.468508
529.5,346.795485
530,344.718669
530.5,342.382132
531,339.924836
531.5,337.475394
532,334.81177
532.5,332.368728
533,329.834141
533.5,327.430548
534,324.897837
534.5,322.264558
535,319.552354
535.5,316.582576
536,313.645215
536.5,310.568221
537,307.489623
537.5,304.293887
538,301.200858
538.5,298.093663
539,294.917863
539.5,291.696901
540,288.507759
540.5,285.36603
541,282.364608
541.5,279.47537
542,276.557561
542.5,273.610926
543,270.715183
543.5,267.852553
544,264.570198
544.5,261.144632
545,257.506796
545.5,253.7879
546,250.084974
546.5,246.391583
547,242.668913
547.5,239.126122
548,235.971753
548.5,232.7935
549,229.708145
549.5,226.546175
550,223.252873
550.5,219.9553
551,216.576004
551.5,213.122922
552,209.675193
552.5,206.477366
553,203.516562
553.5,200.760185
554,198.085717
554.5,195.406355
555,192.891928
555.5,190.199896
556,187.497499
556.5,184.578945
557,181.487155
557.5,178.377789
558,175.284657
558.5,172.353681
559,169.444058
559.5,166.755699
560,164.087596
560.5,161.682744
561,159.352829
561.5,157.086235
562,154.895188
562.5,152.676185
563,150.61476
563.5,148.477328
564,146.206452
564.5,143.702862
565,141.244271
565.5,138.786468
566,136.301918
566.5,133.912386
567,131.561498
567.5,129.577231
568,127.806375
568.5,126.138783
569,124.437001
569.5,122.808105
570,121.208872
570.5,119.556113
571,117.830178
571.5,116.023262
572,114.36276
572.5,112.732005
573,111.064879
573.5,109.310353
574,107.521465
574.5,105.634678
575,103.677459
575.5,101.687183
576,99.639264
576.5,97.716829
577,95.885471
577.5,94.23805
578,92.742627
578.5,91.431776
579,90.173993
579.5,88.855997
580,87.56472
580.5,86.136799
581,84.579388
581.5,82.962649
582,81.315131
582.5,79.684761
583,78.200415
583.5,76.823693
584,75.534394
584.5,74.28828
585,73.10153
585.5,71.828586
586,70.531489
586.5,69.162258
587,67.732082
587.5,66.309822
588,64.916173
588.5,63.657768
589,62.480308
589.5,61.41013
590,60.379968
590.5,59.398628
591,58.372679
591.5,57.287953
592,56.208789
592.5,55.10616
593,54.062723
593.5,53.019857
594,52.049495
594.5,51.158172
595,50.306622
595.5,49.443369
596,48.563413
596.5,47.778653
597,47.109844
597.5,46.30086
598,45.226742
598.5,43.776146
599,41.962114
599.5,39.693461
600,37.019767
600.5,33.977
