Wavelength (nm),Intensity (a.u.)
485,43.51924683
485.5,45.24746233
486,46.97567783
486.5,48.70389333
487,50.43210883
487.5,52.16032433
488,53.88853983
488.5,55.61675533
489,57.34497083
489.5,59.07318633
490,60.779295
490.5,62.573831
491,64.235726
491.5,65.828616
492,67.46202
492.5,69.193558
493,71.002748
493.5,72.884116
494,74.755975
494.5,76.653303
495,78.647762
495.5,80.648458
496,82.503773
496.5,84.327772
497,86.225801
497.5,88.097639
498,90.061566
498.5,91.975925
499,93.899054
499.5,95.833673
500,97.774211
500.5,99.529961
501,101.185875
501.5,102.913253
502,104.623552
502.5,106.530442
503,108.421672
503.5,110.378155
504,112.33375
504.5,114.306234
505,116.191023
505.5,117.896923
506,119.466204
506.5,120.905104
507,122.447273
507.5,124.009086
508,125.664543
508.5,127.34913
509,129.071878
509.5,130.80527
510,132.451794
510.5,133.884373
511,135.122121
511.5,136.224993
512,137.291694
512.5,138.406187
513,139.423264
513.5,140.451258
514,141.526605
514.5,142.689275
515,143.794291
515.5,144.84595
516,145.763226
516.5,146.631397
517,147.548105
517.5,148.333491
518,149.041374
518.5,149.690259
519,150.317098
519.5,150.8446
520,151.285182
520.5,151.651792
521,151.974415
521.5,152.32775
522,152.662708
522.5,152.890871
523,153.105389
523.5,153.236452
524,153.241724
524.5,153.043454
525,152.692368
525.5,152.19769
526,151.637279
526.5,151.16774
527,150.712704
527.5,150.344806
528,149.964056
528.5,149.607475
529,149.19232
529.5,148.661425
530,147.884599
530.5,146.858496
531,145.771753
531.5,144.611233
532,143.399465
532.5,142.052562
533,140.665328
533.5,139.32253
534,137.999827
534.5,136.592929
535,135.04328
535.5,133.493154
536,131.965608
536.5,130.459739
537,128.880729
537.5,127.22124
538,125.6056
538.5,124.019588
539,122.419408
539.5,120.763285
540,119.111825
540.5,117.441089
541,115.807673
541.5,114.096718
542,112.317417
542.5,110.58329
543,108.814775
543.5,107.071275
544,105.342827
544.5,103.675058
545,102.063166
545.5,100.540711
546,99.044308
546.5,97.544476
547,96.106626
547.5,94.591584
548,93.02968
548.5,91.413526
549,89.79432
549.5,88.221272
550,86.735955
550.5,85.318551
551,83.963929
551.5,82.716801
552,81.505137
552.5,80.353189
553,79.164598
553.5,77.960623
554,76.77664
554.5,75.61415
555,74.454914
555.5,73.283751
556,72.166692
556.5,71.056028
557,69.967687
557.5,68.832022
558,67.713011
558.5,66.626978
559,65.665589
559.5,64.76584
560,63.876746
560.5,63.064651
561,62.257398
561.5,61.492945
562,60.710964
562.5,59.926442
563,59.117222
563.5,58.332454
564,57.569993
564.5,56.76727
565,55.965157
565.5,55.137075
566,54.317983
566.5,53.537793
567,52.772272
567.5,51.994302
568,51.225292
568.5,50.534099
569,49.924468
569.5,49.350926
570,48.77075
570.5,48.191652
571,47.65475
571.5,47.079551
572,46.422393
572.5,45.678692
573,44.912683
573.5,44.17502
574,43.429069
574.5,42.686724
575,41.960715
575.5,41.34122
576,40.822639
576.5,40.321369
577,39.794076
577.5,39.252853
578,38.719615
578.5,38.174229
579,37.586358
579.5,36.9134
580,36.238526
580.5,35.616103
581,35.026155
581.5,34.447994
582,33.88439
582.5,33.378169
583,32.920999
583.5,32.482017
584,31.98742
584.5,31.446635
585,30.897877
585.5,30.370179
586,29.860742
586.5,29.342475
587,28.856609
587.5,28.409974
588,27.987484
588.5,27.562706
589,27.130399
589.5,26.676798
590,26.182458
590.5,25.713481
591,25.210624
591.5,24.717564
592,24.231548
592.5,23.766942
593,23.337556
593.5,22.924542
594,22.528043
594.5,22.107744
595,21.727346
595.5,21.381192
596,21.036923
596.5,20.665271
597,20.28567
597.5,19.904598
598,19.563498
598.5,19.257087
599,18.97658
599.5,18.729242
600,18.552095
600.5,18.413
