Wavelength (nm),Intensity (a.u.),
485,2.930598368,
485.5,2.990406498,
486,3.051435202,
486.5,3.11370939,
487,3.17725448,
487.5,3.242096408,
488,3.308261641,
488.5,3.375777184,
489,3.444670596,
489.5,3.514969996,
490,3.586704078,
490.5,3.65990212,
491,3.734594,
491.5,5.919721,
492,8.184691,
492.5,10.598224,
493,13.004419,
493.5,15.427522,
494,18.011765,
494.5,20.511371,
495,22.898749,
495.5,25.418788,
496,27.883503,
496.5,30.300465,
497,32.820519,
497.5,35.245565,
498,37.531689,
498.5,39.944626,41.90087484
499,42.324116,
499.5,44.667096,
500,47.105481,
500.5,49.509652,
501,51.869394,
501.5,54.310838,
502,56.739396,
502.5,58.962639,
503,61.137282,
503.5,63.280108,
504,65.378901,
504.5,67.44648,
505,69.501215,
505.5,71.534311,
506,73.546726,
506.5,75.588078,
507,77.700551,
507.5,79.826893,
508,81.9185,
508.5,83.915164,
509,85.767498,
509.5,87.595538,
510,89.455285,
510.5,91.133063,
511,92.567969,
511.5,94.117441,
512,95.803687,
512.5,97.496183,
513,99.024164,
513.5,100.376499,
514,101.628044,
514.5,102.98006,
515,104.273133,
515.5,105.256228,
516,106.244285,
516.5,107.254648,
517,108.222903,
517.5,108.949811,
518,109.461705,
518.5,109.763112,
519,110.102893,
519.5,110.51321,
520,110.821199,
520.5,111.230177,
521,111.822284,
521.5,112.646515,
522,113.486773,
522.5,114.241047,
523,114.898934,
523.5,115.461821,
524,115.857412,
524.5,115.901985,
525,115.700098,
525.5,115.307245,
526,114.870663,
526.5,114.378486,
527,113.77508,
527.5,113.127152,
528,112.666428,
528.5,112.29078,
529,111.900626,
529.5,111.541178,
530,111.199391,
530.5,110.825642,
531,110.406068,
531.5,109.854378,
532,109.016289,
532.5,108.111183,
533,107.026406,
533.5,105.822101,
534,104.592254,
534.5,103.464784,
535,102.40621,
535.5,101.557054,
536,100.949081,
536.5,100.39875,
537,99.941714,
537.5,99.411631,
538,98.844845,
538.5,97.996687,
539,97.026537,
539.5,95.826455,
540,94.428334,
540.5,92.975171,
541,91.504272,
541.5,90.056833,
542,88.61011,
542.5,87.391565,
543,86.16116,
543.5,85.037588,
544,83.903661,
544.5,82.733093,
545,81.605893,
545.5,80.506362,
546,79.39386,
546.5,78.316248,
547,77.378073,
547.5,76.392933,
548,75.393344,
548.5,74.321621,
549,73.20411,
549.5,72.102349,
550,70.996779,
550.5,69.828857,
551,68.708826,
551.5,67.714301,
552,66.816737,
552.5,65.893288,
553,64.916499,
553.5,63.906225,
554,62.936625,
554.5,61.986991,
555,60.893366,
555.5,59.732405,
556,58.583189,
556.5,57.564137,
557,56.510101,
557.5,55.509224,
558,54.539791,
558.5,53.679514,
559,52.962513,
559.5,52.290541,
560,51.665565,
560.5,50.94865,
561,50.294094,
561.5,49.557716,
562,48.813518,
562.5,47.997004,
563,47.078349,
563.5,46.206498,
564,45.366962,
564.5,44.615269,
565,43.795779,
565.5,43.030075,
566,42.322646,
566.5,41.632417,
567,41.003299,
567.5,40.30135,
568,39.577015,
568.5,38.871731,
569,38.162978,
569.5,37.400224,
570,36.660156,
570.5,35.950977,
571,35.247549,
571.5,34.565985,
572,33.864313,
572.5,33.172013,
573,32.55538,
573.5,31.923008,
574,31.307162,
574.5,30.774246,
575,30.284575,
575.5,29.858644,
576,29.371754,
576.5,28.892644,
577,28.37637,
577.5,27.814451,
578,27.146634,
578.5,26.425258,
579,25.710367,
579.5,24.955127,
580,24.27511,
580.5,23.644081,
581,23.148371,
581.5,22.790694,
582,22.453261,
582.5,22.118299,
583,21.786381,
583.5,21.456391,
584,21.064936,
584.5,20.639431,
585,20.196389,
585.5,19.799166,
586,19.473832,
586.5,19.129114,
587,18.763964,
587.5,18.342998,
588,17.886563,
588.5,17.364261,
589,16.814879,
589.5,16.241416,
590,15.691431,
590.5,15.234678,
591,14.82299,
591.5,14.476149,
592,14.118181,
592.5,13.777865,
593,13.421208,
593.5,13.122781,
594,12.816349,
594.5,12.536396,
595,12.283038,
595.5,12.005778,
596,11.752888,
596.5,11.476485,
597,11.169033,
597.5,10.838161,
598,10.491315,
598.5,10.05764,
599,9.59638,
599.5,9.077685,
600,8.495214,
600.5,7.917,
