Wavelength (nm),Intensity
475,0.147847
475.5,0.147847
476,0.147847
476.5,1.240802
477,2.333757
477.5,3.426712
478,4.519667
478.5,5.612622
479,6.705577
479.5,7.798532
480,8.891487
480.5,9.984442
481,11.077397
481.5,12.170352
482,13.263307
482.5,14.356262
483,15.449217
483.5,16.542172
484,17.635127
484.5,18.728082
485,19.821037
485.5,20.935337
486,22.078208
486.5,23.254924
487,24.463379
487.5,25.676076
488,26.931844
488.5,28.175021
489,29.411434
489.5,30.663287
490,31.930996
490.5,33.214232
491,34.533686
491.5,35.874258
492,37.236341
492.5,38.648354
493,39.998657
493.5,41.317983
494,42.6049
494.5,43.938197
495,45.291995
495.5,46.705318
496,48.149178
496.5,49.637585
497,51.18363
497.5,52.706732
498,54.232313
498.5,55.710844
499,57.186651
499.5,58.630215
500,60.070647
500.5,61.439477
501,62.843923
501.5,64.210148
502,65.579396
502.5,67.024562
503,68.359392
503.5,69.767627
504,71.189
504.5,72.643141
505,74.042112
505.5,75.470548
506,76.786967
506.5,78.037319
507,79.330511
507.5,80.495838
508,81.660189
508.5,82.821434
509,84.011972
509.5,85.221691
510,86.420971
510.5,87.499616
511,88.501897
511.5,89.499244
512,90.350965
512.5,91.124001
513,91.810923
513.5,92.474174
514,93.272514
514.5,94.121814
515,94.952854
515.5,95.853837
516,96.749961
516.5,97.655515
517,98.529582
517.5,99.347174
518,100.080669
518.5,100.817467
519,101.446921
519.5,101.933719
520,102.365
520.5,102.736894
521,103.097556
521.5,103.385062
522,103.582404
522.5,103.725175
523,103.854498
523.5,103.877616
524,103.851259
524.5,103.725057
525,103.552785
525.5,103.524915
526,103.472548
526.5,103.301596
527,103.079294
527.5,102.798617
528,102.440412
528.5,102.009121
529,101.379653
529.5,100.589643
530,99.856148
530.5,99.13087
531,98.357109
531.5,97.556479
532,96.666356
532.5,95.792998
533,94.913093
533.5,93.943011
534,92.880283
534.5,91.787987
535,90.609918
535.5,89.415148
536,88.208051
536.5,86.924633
537,85.710096
537.5,84.490022
538,83.20364
538.5,81.957599
539,80.7461
539.5,79.483897
540,78.227675
540.5,77.024813
541,75.813132
541.5,74.676736
542,73.573292
542.5,72.399167
543,71.172819
543.5,70.043308
544,68.912514
544.5,67.772675
545,66.691977
545.5,65.583114
546,64.550311
546.5,63.568222
547,62.620164
547.5,61.598069
548,60.669682
548.5,59.745315
549,58.843354
549.5,58.036249
550,57.216487
550.5,56.459276
551,55.744784
551.5,55.111266
552,54.383876
552.5,53.684573
553,52.920636
553.5,52.115679
554,51.317755
554.5,50.482974
555,49.672744
555.5,48.904587
556,48.18606
556.5,47.474566
557,46.832234
557.5,46.210183
558,45.60755
558.5,45.006242
559,44.406276
559.5,43.850615
560,43.337232
560.5,42.76783
561,42.155413
561.5,41.510805
562,40.853577
562.5,40.217888
563,39.598708
563.5,38.9736
564,38.40009
564.5,37.917861
565,37.436464
565.5,36.969586
566,36.495958
566.5,35.998121
567,35.529083
567.5,35.110045
568,34.627002
568.5,34.115539
569,33.621163
569.5,33.126619
570,32.610592
570.5,32.111359
571,31.572812
571.5,31.042181
572,30.595345
572.5,30.161914
573,29.737498
573.5,29.309134
574,28.890942
574.5,28.449316
575,28.029379
575.5,27.546006
576,27.019737
576.5,26.488772
577,25.958977
577.5,25.451387
578,24.968888
578.5,24.49271
579,24.060685
579.5,23.733037
580,23.416019
580.5,23.079225
581,22.765082
581.5,22.479016
582,22.198824
582.5,21.929882
583,21.604226
583.5,21.240763
584,20.883957
584.5,20.50778
585,20.077913
585.5,19.657785
586,19.278488
586.5,18.908383
587,18.575786
587.5,18.250842
588,17.89358
588.5,17.547815
589,17.205748
589.5,16.831581
590,16.461939
590.5,16.132717
591,15.800946
591.5,15.490081
592,15.213045
592.5,14.915785
593,14.61217
593.5,14.300092
594,13.999729
594.5,13.703899
595,13.425072
595.5,13.148843
596,12.898846
596.5,12.683567
597,12.481014
597.5,12.277664
598,12.039279
598.5,11.768699
599,11.46656
599.5,11.138461
600,10.750776
600.5,10.324
