Wavelength (nm),Intensity
475,5.156644
475.5,7.17829
476,9.199936
476.5,11.221582
477,13.243228
477.5,15.264874
478,17.28652
478.5,19.308166
479,21.329812
479.5,23.351458
480,25.373104
480.5,27.39475
481,29.416396
481.5,31.438042
482,33.459688
482.5,35.481334
483,37.50298
483.5,39.524626
484,41.546272
484.5,43.567918
485,45.736038
485.5,47.994174
486,50.406368
486.5,52.914389
487,55.514876
487.5,58.259704
488,61.076098
488.5,63.787954
489,66.458617
489.5,69.167193
490,71.836258
490.5,74.495604
491,77.209173
491.5,79.974407
492,82.832988
492.5,85.828024
493,88.833565
493.5,91.854247
494,94.913887
494.5,97.935602
495,100.934524
495.5,103.997121
496,107.108579
496.5,110.265084
497,113.461213
497.5,116.702539
498,119.973454
498.5,123.325128
499,126.655645
499.5,129.957727
500,133.222481
500.5,136.447555
501,139.741563
501.5,142.938734
502,146.057033
502.5,149.071108
503,152.019305
503.5,154.84823
504,157.598807
504.5,160.235563
505,162.734756
505.5,165.357446
506,167.962399
506.5,170.57618
507,173.206138
507.5,175.863691
508,178.538988
508.5,181.226501
509,183.818442
509.5,186.234158
510,188.652045
510.5,191.004121
511,193.317848
511.5,195.639969
512,197.900897
512.5,200.092664
513,202.231539
513.5,204.179659
514,205.947281
514.5,207.582427
515,208.978881
515.5,210.244407
516,211.494971
516.5,212.725308
517,213.932647
517.5,215.15884
518,216.244707
518.5,217.380188
519,218.41219
519.5,219.261943
520,219.97158
520.5,220.679198
521,221.309334
521.5,221.876544
522,222.366725
522.5,222.644386
523,222.93237
523.5,223.083909
524,223.1354
524.5,223.010498
525,222.795132
525.5,222.347688
526,221.869507
526.5,221.235985
527,220.401974
527.5,219.514811
528,218.541377
528.5,217.528217
529,216.466746
529.5,215.385311
530,214.069705
530.5,212.725513
531,211.240002
531.5,209.620988
532,207.842993
532.5,206.070097
533,204.30725
533.5,202.618928
534,201.001689
534.5,199.292122
535,197.51447
535.5,195.549041
536,193.368544
536.5,190.951477
537,188.460913
537.5,185.797537
538,183.0941
538.5,180.4747
539,177.949939
539.5,175.508586
540,173.177067
540.5,170.952314
541,168.743739
541.5,166.646502
542,164.47473
542.5,162.302688
543,160.21371
543.5,158.050306
544,155.819671
544.5,153.622434
545,151.454822
545.5,149.185305
546,147.028013
546.5,144.844275
547,142.686819
547.5,140.623148
548,138.469071
548.5,136.265942
549,134.141578
549.5,132.095276
550,130.021937
550.5,128.091328
551,126.228176
551.5,124.497461
552,122.90201
552.5,121.260651
553,119.645484
553.5,118.065153
554,116.462223
554.5,114.766485
555,113.037506
555.5,111.35088
556,109.724533
556.5,108.157049
557,106.528727
557.5,104.926531
558,103.338791
558.5,101.8009
559,100.309808
559.5,98.845771
560,97.499906
560.5,96.235223
561,95.146771
561.5,94.102966
562,93.057463
562.5,91.938911
563,90.815716
563.5,89.650263
564,88.300517
564.5,86.855958
565,85.307648
565.5,83.745618
566,82.25556
566.5,80.739691
567,79.238267
567.5,77.851415
568,76.641814
568.5,75.469482
569,74.376869
569.5,73.354477
570,72.350772
570.5,71.483388
571,70.593935
571.5,69.637078
572,68.640216
572.5,67.674831
573,66.608144
573.5,65.493854
574,64.399069
574.5,63.276246
575,62.207792
575.5,61.166146
576,60.139467
576.5,59.13784
577,58.187395
577.5,57.202907
578,56.215181
578.5,55.252786
579,54.325533
579.5,53.415113
580,52.562601
580.5,51.771913
581,51.011392
581.5,50.247991
582,49.456704
582.5,48.642038
583,47.845879
583.5,47.05527
584,46.234057
584.5,45.411574
585,44.614492
585.5,43.844142
586,43.063673
586.5,42.256774
587,41.440239
587.5,40.660067
588,39.872733
588.5,39.067067
589,38.262905
589.5,37.496297
590,36.782913
590.5,36.103555
591,35.42776
591.5,34.741643
592,34.06121
592.5,33.382673
593,32.713685
593.5,32.058978
594,31.42181
594.5,30.823368
595,30.242868
595.5,29.648813
596,29.058871
596.5,28.469492
597,27.889062
597.5,27.336494
598,26.756374
598.5,26.156191
599,25.585505
599.5,25.021911
600,24.432267
600.5,23.843
