Wavelength (nm),Intensity,,
475,117.314,,
475.5,106.62647,,
476,96.065132,,
476.5,85.926671,,
477,76.51484,,
477.5,68.100135,,
478,60.906154,,
478.5,55.025015,,
479,50.545232,,
479.5,47.527134,,
480,45.750348,,
480.5,44.949035,,
481,44.915993,,
481.5,45.421862,,
482,46.337248,,
482.5,47.548995,,
483,48.907808,,
483.5,50.401642,,
484,52.052344,,205.726042
484.5,53.830235,,
485,55.727273,,
485.5,57.738616,,
486,59.785434,,
486.5,61.892284,,
487,64.053663,,
487.5,66.247032,,
488,68.485529,,
488.5,70.729487,,
489,72.980187,,
489.5,75.278737,,
490,77.639935,,
490.5,80.022613,,
491,82.448955,,
491.5,84.877222,,
492,87.327998,,
492.5,89.89286,,
493,92.48532,,
493.5,95.104107,,
494,97.839548,,
494.5,100.653633,,
495,103.550784,,
495.5,106.54106,,
496,109.54513,,
496.5,112.514118,,
497,115.521185,,
497.5,118.409156,,
498,121.177358,,
498.5,123.894928,,
499,126.56531,,
499.5,129.209874,,
500,131.852402,,
500.5,134.493741,,
501,137.202685,,
501.5,140.091474,,
502,142.921506,,
502.5,145.709348,,
503,148.486487,,
503.5,151.181466,,
504,153.806898,,
504.5,156.335387,,
505,158.69173,,
505.5,161.002456,,
506,163.381955,,
506.5,165.654925,,
507,167.872805,,
507.5,170.147398,,
508,172.394389,,
508.5,174.585285,,
509,176.763651,,
509.5,178.875592,,
510,180.953053,,
510.5,182.969568,,
511,184.860941,,
511.5,186.618312,,
512,188.363346,,
512.5,190.008813,,
513,191.469588,,
513.5,192.853602,,
514,194.171753,,
514.5,195.483163,,
515,196.733074,,
515.5,197.907377,,
516,199.011556,,
516.5,199.994435,,
517,200.927904,,
517.5,201.729915,,
518,202.436973,,
518.5,203.040747,,
519,203.621612,,
519.5,204.171519,,
520,204.622125,,
520.5,205.013328,,
521,205.306304,,
521.5,205.529435,,
522,205.652736,,
522.5,205.726042,,
523,205.656513,,
523.5,205.557796,,
524,205.439215,,
524.5,205.169802,,
525,204.770596,,
525.5,204.201999,,
526,203.543175,,
526.5,202.875364,,
527,202.209538,,
527.5,201.442993,,
528,200.726944,,
528.5,200.101886,,
529,199.483,,
529.5,198.773511,,
530,197.895717,,
530.5,196.87235,,
531,195.749894,,
531.5,194.546807,,
532,193.073136,,
532.5,191.52622,,
533,189.988013,,
533.5,188.52556,,
534,187.151742,,
534.5,185.812969,,
535,184.496167,,
535.5,183.25134,,
536,182.024568,,
536.5,180.644556,,
537,179.18432,,
537.5,177.670695,,
538,176.153925,,
538.5,174.528566,,
539,172.82899,,
539.5,171.099722,,
540,169.414126,,
540.5,167.690469,,
541,165.780725,,
541.5,163.795923,,
542,161.830185,,
542.5,159.864298,,
543,157.828516,,
543.5,155.755308,,
544,153.673831,,
544.5,151.670947,,
545,149.648391,,
545.5,147.584157,,
546,145.495267,,
546.5,143.524063,,
547,141.590608,,
547.5,139.649097,,
548,137.679918,,
548.5,135.75625,,
549,133.888562,,
549.5,131.992236,,
550,130.080525,,
550.5,128.182755,,
551,126.370036,,
551.5,124.496594,,
552,122.572026,,
552.5,120.610833,,
553,118.678083,,
553.5,116.779169,,
554,114.825752,,
554.5,112.933068,,
555,111.145788,,
555.5,109.403482,,
556,107.643657,,
556.5,105.865324,,
557,104.067212,,
557.5,102.29982,,
558,100.563769,,
558.5,98.824991,,
559,97.142257,,
559.5,95.588796,,
560,94.046092,,
560.5,92.540934,,
561,91.066223,,
561.5,89.601411,,
562,88.155001,,
562.5,86.729076,,
563,85.318896,,
563.5,83.981926,,
564,82.742945,,
564.5,81.523358,,
565,80.375661,,
565.5,79.249512,,
566,78.122279,,
566.5,76.94901,,
567,75.749703,,
567.5,74.540827,,
568,73.321786,,
568.5,72.091697,,
569,70.864003,,
569.5,69.717923,,
570,68.605966,,
570.5,67.577662,,
571,66.559317,,
571.5,65.576478,,
572,64.597674,,
572.5,63.606131,,
573,62.577832,,
573.5,61.503299,,
574,60.431416,,
574.5,59.342456,,
575,58.298254,,
575.5,57.255398,,
576,56.264659,,
576.5,55.327976,,
577,54.435202,,
577.5,53.602282,,
578,52.769879,,
578.5,51.916797,,
579,51.052319,,
579.5,50.183853,,
580,49.302086,,
580.5,48.440129,,
581,47.581074,,
581.5,46.73054,,
582,45.930885,,
582.5,45.167837,,
583,44.415313,,
583.5,43.69404,,
584,42.99886,,
584.5,42.318346,,
585,41.669128,,
585.5,41.019613,,
586,40.359782,,
586.5,39.710175,,
587,39.048134,,
587.5,38.351611,,
588,37.610294,,
588.5,36.859644,,
589,36.107736,,
589.5,35.403635,,
590,34.718914,,
590.5,34.044919,,
591,33.430459,,
591.5,32.853825,,
592,32.312442,,
592.5,31.751415,,
593,31.207144,,
593.5,30.667064,,
594,30.140561,,
594.5,29.620013,,
595,29.071327,,
595.5,28.513439,,
596,27.943022,,
596.5,27.395327,,
597,26.808731,,
597.5,26.207078,,
598,25.600168,,
598.5,24.959779,,
599,24.311625,,
599.5,23.662103,,
600,22.996001,,
