Wavelength,Intensity
475,49.366
475.5,50.059889
476,50.729922
476.5,51.512261
477,52.297448
477.5,53.142172
478,54.050802
478.5,54.997652
479,56.038696
479.5,57.268543
480,58.668128
480.5,60.184241
481,61.91492
481.5,63.722637
482,65.617677
482.5,67.609768
483,69.567381
483.5,71.540956
484,73.714486
484.5,75.987544
485,78.506557
485.5,81.191682
486,84.044245
486.5,86.977294
487,90.026419
487.5,93.106345
488,96.123332
488.5,99.165084
489,102.178882
489.5,105.312539
490,108.472826
490.5,111.629767
491,114.841129
491.5,118.025402
492,121.271278
492.5,124.615168
493,128.064855
493.5,131.528733
494,135.1378
494.5,138.933731
495,142.807693
495.5,146.844057
496,150.758407
496.5,154.507382
497,158.278643
497.5,162.045049
498,165.872892
498.5,169.647931
499,173.546321
499.5,177.47812
500,181.54219
500.5,185.701794
501,189.467034
501.5,192.967066
502,196.189653
502.5,199.412786
503,202.418095
503.5,205.362435
504,208.44725
504.5,211.55752
505,215.260238
505.5,219.022886
506,222.823356
506.5,226.389002
507,230.196266
507.5,233.850007
508,237.374972
508.5,240.955884
509,244.237202
509.5,247.545733
510,250.616498
510.5,253.456545
511,255.943021
511.5,258.311898
512,260.445083
512.5,262.343446
513,264.356556
513.5,266.307627
514,268.403088
514.5,270.389825
515,272.240149
515.5,274.069264
516,275.907029
516.5,277.751923
517,279.390945
517.5,280.910363
518,282.345822
518.5,283.931648
519,285.143966
519.5,286.005067
520,286.830298
520.5,287.434682
521,288.046612
521.5,288.705201
522,289.357359
522.5,289.881513
523,290.539502
523.5,290.868243
524,290.939363
524.5,290.959422
525,290.629085
525.5,290.049566
526,289.403067
526.5,288.833495
527,288.266366
527.5,287.76602
528,286.881596
528.5,285.828669
529,285.024418
529.5,283.894218
530,282.296154
530.5,280.25588
531,278.314869
531.5,276.361464
532,274.413995
532.5,272.144975
533,269.757129
533.5,267.622896
534,265.470091
534.5,263.191982
535,260.645521
535.5,258.26581
536,255.948858
536.5,253.766666
537,251.605731
537.5,249.225378
538,246.831712
538.5,244.290424
539,241.541406
539.5,238.377158
540,235.111454
540.5,231.629661
541,228.113431
541.5,224.786375
542,221.703759
542.5,218.814145
543,216.091489
543.5,213.573184
544,211.015531
544.5,208.631056
545,206.14144
545.5,203.451841
546,200.643096
546.5,197.840189
547,195.024868
547.5,192.098783
548,189.19408
548.5,186.113614
549,183.220816
549.5,180.367831
550,177.429433
550.5,174.425436
551,171.634196
551.5,169.019881
552,166.404893
552.5,163.774641
553,161.124455
553.5,158.652718
554,156.26029
554.5,153.827404
555,151.428973
555.5,149.241376
556,147.192708
556.5,145.260661
557,143.333415
557.5,141.410845
558,139.59009
558.5,137.704262
559,135.820393
559.5,133.89406
560,131.930098
560.5,129.924326
561,127.864329
561.5,125.777857
562,123.698701
562.5,121.645816
563,119.524424
563.5,117.618481
564,115.822137
564.5,114.167821
565,112.626143
565.5,111.128547
566,109.781907
566.5,108.417321
567,107.056838
567.5,105.678146
568,104.367717
568.5,102.925571
569,101.293629
569.5,99.635339
570,97.976326
570.5,96.346473
571,94.625962
571.5,92.870016
572,91.30623
572.5,89.959824
573,88.671784
573.5,87.397756
574,86.16481
574.5,84.979029
575,83.897574
575.5,82.667631
576,81.269203
576.5,79.898023
577,78.599709
577.5,77.344425
578,76.118772
578.5,74.821034
579,73.652726
579.5,72.545176
580,71.427752
580.5,70.198405
581,68.959289
581.5,67.727091
582,66.536175
582.5,65.389667
583,64.176514
583.5,63.12406
584,62.09584
584.5,61.036885
585,60.002453
585.5,58.936973
586,57.846286
586.5,56.83983
587,55.926229
587.5,54.925588
588,54.030578
588.5,53.064794
589,52.095786
589.5,51.166535
590,50.207456
590.5,49.170161
591,48.145834
591.5,47.193521
592,46.335243
592.5,45.521148
593,44.697191
593.5,43.911839
594,43.243277
594.5,42.551542
595,41.854579
595.5,41.071353
596,40.308253
596.5,39.657743
597,38.980673
597.5,38.245815
598,37.451827
598.5,36.669912
599,35.74391
599.5,34.752075
600,33.633937
600.5,32.436
