Wavelength (nm),Intensity,,87.66566
475,4.558,,
475.5,4.37179,,
476,4.299666,,
476.5,4.347964,,
477,4.510319,,
477.5,4.796712,,
478,5.208207,,
478.5,5.705329,,
479,6.26547,,
479.5,6.779677,,
480,7.303126,,
480.5,7.849821,,
481,8.474578,,
481.5,9.141702,,
482,9.853586,,
482.5,10.667096,,
483,11.547927,,
483.5,12.493965,,
484,13.429719,,
484.5,14.386052,,
485,15.304907,,
485.5,16.234944,,
486,17.094195,,
486.5,17.919492,,
487,18.794032,,
487.5,19.739946,,
488,20.786946,,
488.5,21.873304,,
489,23.091511,,
489.5,24.32928,,
490,25.643913,,
490.5,26.858897,,
491,28.03738,,
491.5,29.179258,,
492,30.310618,,
492.5,31.413559,,
493,32.435854,,
493.5,33.527019,,
494,34.608539,,
494.5,35.772272,,
495,36.870884,,
495.5,38.024178,,
496,39.12794,,
496.5,40.323457,,
497,41.579125,,
497.5,42.85394,,
498,44.282506,,
498.5,45.722933,,
499,47.220769,,
499.5,48.733146,,
500,50.37854,,
500.5,51.922525,,
501,53.466777,,
501.5,54.89033,,
502,56.217158,,
502.5,57.522412,,
503,58.757135,,
503.5,59.819236,,
504,60.776188,,
504.5,61.831202,,
505,62.873302,,
505.5,63.992259,,
506,65.06678,,
506.5,66.14559,,
507,67.246059,,
507.5,68.435564,,
508,69.584856,,
508.5,70.633453,,
509,71.665081,,
509.5,72.7096,,
510,73.935189,,
510.5,75.156491,,
511,76.29828,,
511.5,77.281245,,
512,78.289491,,
512.5,79.256313,,
513,80.10805,,
513.5,80.755468,,
514,81.22623,,
514.5,81.75661,,
515,82.34371,,
515.5,82.871338,,
516,83.27446,,
516.5,83.726243,,
517,84.118626,,
517.5,84.493368,,
518,84.776788,,
518.5,84.932633,,
519,85.126266,,
519.5,85.405943,,
520,85.663372,,
520.5,85.899113,,
521,86.267154,,
521.5,86.550117,,
522,86.917545,,
522.5,87.281512,,
523,87.519641,,
523.5,87.66566,,
524,87.653426,,
524.5,87.531716,,
525,87.280048,,
525.5,87.054444,,
526,86.669894,,
526.5,86.248477,,
527,85.95465,,
527.5,85.742777,,
528,85.591738,,
528.5,85.414317,,
529,85.203252,,
529.5,84.992831,,
530,84.787373,,
530.5,84.454208,,
531,83.90969,,
531.5,83.44396,,
532,82.845342,,
532.5,82.138082,,
533,81.291015,,
533.5,80.297977,,
534,79.274857,,
534.5,78.210993,,
535,77.293284,,
535.5,76.32988,,
536,75.612539,,
536.5,74.926553,,
537,74.292974,,
537.5,73.822828,,
538,73.35834,,
538.5,72.919777,,
539,72.29449,,
539.5,71.610912,,
540,70.88128,,
540.5,70.272221,,
541,69.572077,,
541.5,68.780585,,
542,68.030595,,
542.5,67.27959,,
543,66.602184,,
543.5,65.807456,,
544,64.870559,,
544.5,63.866206,,
545,62.868621,,
545.5,61.821069,,
546,60.672467,,
546.5,59.602044,,
547,58.572523,,
547.5,57.655787,,
548,56.880566,,
548.5,56.174708,,
549,55.537926,,
549.5,55.053166,,
550,54.517257,,
550.5,53.909331,,
551,53.319453,,
551.5,52.676128,,
552,51.815492,,
552.5,50.806493,,
553,49.73321,,
553.5,48.649774,,
554,47.704564,,
554.5,46.722015,,
555,45.755307,,
555.5,44.927079,,
556,44.377538,,
556.5,43.833486,,
557,43.230475,,
557.5,42.610384,,
558,42.039831,,
558.5,41.576036,,
559,41.094327,,
559.5,40.574684,,
560,39.995265,,
560.5,39.557917,,
561,39.124939,,
561.5,38.583412,,
562,37.969105,,
562.5,37.352419,,
563,36.684862,,
563.5,36.035487,,
564,35.372155,,
564.5,34.653852,,
565,34.01496,,
565.5,33.454762,,
566,32.884246,,
566.5,32.356301,,
567,31.877216,,
567.5,31.387384,,
568,31.000573,,
568.5,30.669598,,
569,30.361131,,
569.5,30.057788,,
570,29.765729,,
570.5,29.414294,,
571,29.044585,,
571.5,28.602978,,
572,28.094069,,
572.5,27.569952,,
573,27.029235,,
573.5,26.549656,,
574,26.092221,,
574.5,25.598274,,
575,25.129702,,
575.5,24.707442,,
576,24.250132,,
576.5,23.782019,,
577,23.330772,,
577.5,22.917929,,
578,22.596934,,
578.5,22.326529,,
579,22.069505,,
579.5,21.808102,,
580,21.501128,,
580.5,21.111063,,
581,20.642186,,
581.5,20.138176,,
582,19.665051,,
582.5,19.248453,,
583,18.921013,,
583.5,18.695499,,
584,18.547637,,
584.5,18.415045,,
585,18.25385,,
585.5,17.998604,,
586,17.67849,,
586.5,17.334529,,
587,16.964262,,
587.5,16.571322,,
588,16.225119,,
588.5,15.94046,,
589,15.724324,,
589.5,15.51369,,
590,15.280956,,
590.5,15.021472,,
591,14.733752,,
591.5,14.396859,,
592,14.043706,,
592.5,13.63852,,
593,13.256555,,
593.5,12.957819,,
594,12.699059,,
594.5,12.449199,,
595,12.223063,,
595.5,12.017967,,
596,11.832415,,
596.5,11.854991,,
597,12.019743,,
597.5,12.093738,,
598,11.865255,,
598.5,11.1217,,
599,9.707189,,
599.5,7.585162,,
600,4.821852,,
600.5,1.566,,
