wavelength (nm),intensity,
480,16.039,
480.5,16.811929,
481,17.53497,
481.5,18.189076,
482,18.787251,
482.5,19.31672,
483,19.834349,86.174267
483.5,20.340862,
484,20.879178,
484.5,21.470754,
485,22.132817,
485.5,22.827238,
486,23.552102,
486.5,24.28496,
487,25.013657,
487.5,25.776243,
488,26.567609,
488.5,27.383287,
489,28.208395,
489.5,29.059878,
490,29.924743,
490.5,30.807389,
491,31.686126,
491.5,32.541081,
492,33.401921,
492.5,34.276707,
493,35.173278,
493.5,36.104645,
494,37.073256,
494.5,38.07881,
495,39.103153,
495.5,40.150931,
496,41.1953,
496.5,42.240709,
497,43.281962,
497.5,44.332235,
498,45.389714,
498.5,46.46222,
499,47.559839,
499.5,48.661301,
500,49.772836,
500.5,50.886638,
501,52.000403,
501.5,53.092871,
502,54.206672,
502.5,55.32313,
503,56.430279,
503.5,57.49662,
504,58.508029,
504.5,59.461553,
505,60.376157,
505.5,61.278409,
506,62.176599,
506.5,63.158995,
507,64.22486,
507.5,65.356182,
508,66.531537,
508.5,67.67308,
509,68.747313,
509.5,69.736494,
510,70.652103,
510.5,71.493637,
511,72.304174,
511.5,73.114544,
512,73.930085,
512.5,74.77464,
513,75.579368,
513.5,76.355214,
514,77.106102,
514.5,77.815876,
515,78.498599,
515.5,79.161891,
516,79.8375,
516.5,80.493829,
517,81.13883,
517.5,81.747786,
518,82.332168,
518.5,82.896856,
519,83.410229,
519.5,83.881589,
520,84.312203,
520.5,84.713565,
521,85.060429,
521.5,85.334483,
522,85.569767,
522.5,85.765011,
523,85.924711,
523.5,86.038013,
524,86.114109,
524.5,86.153792,
525,86.174267,
525.5,86.129064,
526,85.979043,
526.5,85.762193,
527,85.473899,
527.5,85.12732,
528,84.689564,
528.5,84.169661,
529,83.615593,
529.5,83.041194,
530,82.430962,
530.5,81.757209,
531,81.029745,
531.5,80.223135,
532,79.398196,
532.5,78.543615,
533,77.643546,
533.5,76.755046,
534,75.899378,
534.5,75.087852,
535,74.311129,
535.5,73.542983,
536,72.708375,
536.5,71.854142,
537,70.970195,
537.5,70.010705,
538,69.041837,
538.5,68.078747,
539,67.108162,
539.5,66.160824,
540,65.25595,
540.5,64.35525,
541,63.467845,
541.5,62.577679,
542,61.661536,
542.5,60.755596,
543,59.868901,
543.5,58.970004,
544,58.052022,
544.5,57.144868,
545,56.254888,
545.5,55.406449,
546,54.54908,
546.5,53.685417,
547,52.848818,
547.5,52.045808,
548,51.263107,
548.5,50.474612,
549,49.686185,
549.5,48.905881,
550,48.194216,
550.5,47.482965,
551,46.776889,
551.5,46.119958,
552,45.485108,
552.5,44.858459,
553,44.206789,
553.5,43.530583,
554,42.824219,
554.5,42.137952,
555,41.428455,
555.5,40.681808,
556,39.975192,
556.5,39.301508,
557,38.674296,
557.5,38.085883,
558,37.547883,
558.5,37.045831,
559,36.584743,
559.5,36.142648,
560,35.656102,
560.5,35.14722,
561,34.604896,
561.5,34.058196,
562,33.483142,
562.5,32.911289,
563,32.366563,
563.5,31.867596,
564,31.431825,
564.5,31.036298,
565,30.649472,
565.5,30.25894,
566,29.876871,
566.5,29.4765,
567,29.061795,
567.5,28.623233,
568,28.178991,
568.5,27.724873,
569,27.282454,
569.5,26.828768,
570,26.383351,
570.5,25.960583,
571,25.564326,
571.5,25.191966,
572,24.833494,
572.5,24.500561,
573,24.162547,
573.5,23.835989,
574,23.500969,
574.5,23.176622,
575,22.844742,
575.5,22.515902,
576,22.177838,
576.5,21.839556,
577,21.509083,
577.5,21.164399,
578,20.804415,
578.5,20.430623,
579,20.073903,
579.5,19.734046,
580,19.424003,
580.5,19.140128,
581,18.888467,
581.5,18.651524,
582,18.41466,
582.5,18.161942,
583,17.883539,
583.5,17.582903,
584,17.259555,
584.5,16.918987,
585,16.576918,
585.5,16.254666,
586,15.94521,
586.5,15.666518,
587,15.392303,
587.5,15.143972,
588,14.907362,
588.5,14.675339,
589,14.435029,
589.5,14.192517,
590,13.955766,
590.5,13.706885,
591,13.467376,
591.5,13.202147,
592,12.935739,
592.5,12.671477,
593,12.407931,
593.5,12.148173,
594,11.902707,
594.5,11.678996,
595,11.460696,
595.5,11.280625,
596,11.102545,
596.5,10.927802,
597,10.76135,
597.5,10.575341,
598,10.363517,
598.5,10.13314,
599,9.884612,
599.5,9.600619,
600,9.312999,
