Wavelength (nm),Intensity,
475,18.752,
475.5,19.58999,
476,20.525141,
476.5,21.591375,
477,22.842125,
477.5,24.249825,
478,25.846361,
478.5,27.523762,
479,29.234645,
479.5,30.948325,
480,32.678353,
480.5,34.485123,
481,36.353856,276.832864
481.5,38.311822,
482,40.414456,
482.5,42.692842,
483,45.132643,
483.5,47.687022,
484,50.31591,
484.5,52.998043,
485,55.783673,
485.5,58.620696,
486,61.473743,
486.5,64.41273,
487,67.422479,
487.5,70.544714,
488,73.759786,
488.5,77.071085,
489,80.424744,
489.5,83.868235,
490,87.339002,
490.5,90.798881,
491,94.291917,
491.5,97.778744,
492,101.290888,
492.5,104.832551,
493,108.471795,
493.5,112.171006,
494,116.039199,
494.5,120.027064,
495,124.04358,
495.5,128.145886,
496,132.284004,
496.5,136.454219,
497,140.542536,
497.5,144.588101,
498,148.543985,
498.5,152.504114,
499,156.539418,
499.5,160.518457,
500,164.513614,
500.5,168.545932,
501,172.647079,
501.5,176.687989,
502,180.673448,
502.5,184.482137,
503,188.135209,
503.5,191.776133,
504,195.323645,
504.5,198.809662,
505,202.300624,
505.5,205.891671,
506,209.493175,
506.5,213.170868,
507,216.852591,
507.5,220.422616,
508,223.957971,
508.5,227.428788,
509,230.80713,
509.5,234.061042,
510,237.219524,
510.5,240.226275,
511,243.070764,
511.5,245.818447,
512,248.375001,
512.5,250.73307,
513,252.945055,
513.5,255.096893,
514,257.132841,
514.5,259.126457,
515,261.116811,
515.5,263.022238,
516,264.94686,
516.5,266.804516,
517,268.518802,
517.5,269.999253,
518,271.372512,
518.5,272.49128,
519,273.430991,
519.5,274.206941,
520,274.810176,
520.5,275.35368,
521,275.82471,
521.5,276.260867,
522,276.54373,
522.5,276.767091,
523,276.832864,
523.5,276.818024,
524,276.642139,
524.5,276.341712,
525,275.981096,
525.5,275.514378,
526,275.066797,
526.5,274.506956,
527,273.891622,
527.5,273.134818,
528,272.316861,
528.5,271.25228,
529,269.986968,
529.5,268.604896,
530,267.082431,
530.5,265.504836,
531,263.856214,
531.5,262.191956,
532,260.402955,
532.5,258.591853,
533,256.592134,
533.5,254.48347,
534,252.321843,
534.5,250.120776,
535,247.907097,
535.5,245.667269,
536,243.451312,
536.5,241.141335,
537,238.821308,
537.5,236.384734,
538,233.851281,
538.5,231.307809,
539,228.738866,
539.5,226.148057,
540,223.555049,
540.5,221.022289,
541,218.462906,
541.5,215.887042,
542,213.276046,
542.5,210.680947,
543,208.133225,
543.5,205.654413,
544,203.165175,
544.5,200.673076,
545,198.215816,
545.5,195.680184,
546,192.997705,
546.5,190.213116,
547,187.431309,
547.5,184.647519,
548,182.000452,
548.5,179.357722,
549,176.735579,
549.5,174.310903,
550,171.968647,
550.5,169.593442,
551,167.118179,
551.5,164.667093,
552,162.14114,
552.5,159.69693,
553,157.166405,
553.5,154.583782,
554,152.088695,
554.5,149.746948,
555,147.461507,
555.5,145.207542,
556,142.991514,
556.5,140.805575,
557,138.772493,
557.5,136.759058,
558,134.784442,
558.5,132.777914,
559,130.877069,
559.5,129.067847,
560,127.30059,
560.5,125.447,
561,123.584955,
561.5,121.762552,
562,119.913219,
562.5,118.113096,
563,116.246923,
563.5,114.413124,
564,112.673692,
564.5,111.042684,
565,109.365957,
565.5,107.714763,
566,106.044025,
566.5,104.35822,
567,102.742662,
567.5,101.131538,
568,99.546648,
568.5,98.058941,
569,96.644595,
569.5,95.261263,
570,93.919733,
570.5,92.542752,
571,91.130975,
571.5,89.730241,
572,88.323971,
572.5,86.900111,
573,85.521059,
573.5,84.174688,
574,82.889536,
574.5,81.625125,
575,80.341473,
575.5,79.055079,
576,77.803727,
576.5,76.580109,
577,75.333917,
577.5,74.104295,
578,72.90476,
578.5,71.724076,
579,70.53182,
579.5,69.321126,
580,68.104779,
580.5,66.957809,
581,65.876174,
581.5,64.830741,
582,63.791796,
582.5,62.799934,
583,61.821599,
583.5,60.81478,
584,59.758655,
584.5,58.642963,
585,57.535266,
585.5,56.435593,
586,55.395347,
586.5,54.368031,
587,53.385764,
587.5,52.436236,
588,51.481136,
588.5,50.516947,
589,49.539168,
589.5,48.574143,
590,47.604925,
590.5,46.669482,
591,45.731813,
591.5,44.822791,
592,43.93867,
592.5,43.063138,
593,42.182059,
593.5,41.346029,
594,40.537807,
594.5,39.766994,
595,39.036687,
595.5,38.318089,
596,37.668319,
596.5,37.067662,
597,36.484469,
597.5,35.849191,
598,35.104971,
598.5,34.204607,
599,33.123596,
599.5,31.849859,
600,30.391992,
600.5,28.833,
