Wavelength (nm),Intensity
475,5.72
475.5,5.746107
476,5.807845
476.5,5.927119
477,6.113736
477.5,6.382698
478,6.706069
478.5,7.061096
479,7.444709
479.5,7.831209
480,8.221593
480.5,8.606859
481,9.003468
481.5,9.402588
482,9.855762
482.5,10.34234
483,10.863506
483.5,11.415426
484,12.022397
484.5,12.666139
485,13.318674
485.5,14.003892
486,14.668687
486.5,15.372891
487,16.06167
487.5,16.752789
488,17.420248
488.5,18.11336
489,18.790404
489.5,19.471328
490,20.194195
490.5,20.913451
491,21.687162
491.5,22.481281
492,23.312427
492.5,24.156528
493,25.053324
493.5,25.95212
494,26.847896
494.5,27.765954
495,28.655539
495.5,29.537284
496,30.411398
496.5,31.298253
497,32.173771
497.5,33.083903
498,34.019477
498.5,34.967755
499,35.943926
499.5,36.916589
500,37.876548
500.5,38.810283
501,39.733546
501.5,40.608544
502,41.455368
502.5,42.298866
503,43.135014
503.5,43.974118
504,44.808859
504.5,45.635327
505,46.46163
505.5,47.305707
506,48.135674
506.5,48.973312
507,49.817142
507.5,50.631601
508,51.421603
508.5,52.169898
509,52.858613
509.5,53.534079
510,54.212122
510.5,54.879541
511,55.551724
511.5,56.22171
512,56.840432
512.5,57.440614
513,57.998026
513.5,58.478454
514,58.89154
514.5,59.304124
515,59.687502
515.5,60.064111
516,60.439876
516.5,60.800651
517,61.153985
517.5,61.497275
518,61.809451
518.5,62.063578
519,62.313081
519.5,62.556154
520,62.778455
520.5,62.91945
521,63.022452
521.5,63.064314
522,63.066899
522.5,63.046591
523,63.006008
523.5,62.955997
524,62.952785
524.5,62.964646
525,62.917194
525.5,62.871898
526,62.76597
526.5,62.607377
527,62.392588
527.5,62.138654
528,61.821856
528.5,61.502147
529,61.161194
529.5,60.795033
530,60.434068
530.5,60.075547
531,59.71087
531.5,59.334006
532,58.945539
532.5,58.566673
533,58.210601
533.5,57.849294
534,57.47032
534.5,57.040784
535,56.60938
535.5,56.150292
536,55.654627
536.5,55.088965
537,54.522869
537.5,53.940185
538,53.402614
538.5,52.906177
539,52.349086
539.5,51.844078
540,51.324188
540.5,50.807262
541,50.226204
541.5,49.624177
542,48.968449
542.5,48.338665
543,47.713409
543.5,47.007016
544,46.350467
544.5,45.685728
545,45.057253
545.5,44.428399
546,43.837729
546.5,43.265624
547,42.71964
547.5,42.20256
548,41.634342
548.5,41.067277
549,40.480289
549.5,39.8974
550,39.302275
550.5,38.702166
551,38.115139
551.5,37.526341
552,36.962257
552.5,36.377899
553,35.78193
553.5,35.195573
554,34.623044
554.5,34.060472
555,33.512963
555.5,32.970179
556,32.434361
556.5,31.931914
557,31.446946
557.5,30.991861
558,30.570979
558.5,30.176947
559,29.796883
559.5,29.421326
560,29.021564
560.5,28.599091
561,28.168722
561.5,27.720322
562,27.277166
562.5,26.850177
563,26.451335
563.5,26.072855
564,25.704077
564.5,25.341497
565,24.948435
565.5,24.54339
566,24.13356
566.5,23.733016
567,23.348014
567.5,22.972217
568,22.636035
568.5,22.314493
569,22.036301
569.5,21.7376
570,21.429141
570.5,21.12071
571,20.822967
571.5,20.537087
572,20.227935
572.5,19.935667
573,19.657489
573.5,19.409153
574,19.152907
574.5,18.880417
575,18.588461
575.5,18.29806
576,18.030669
576.5,17.747747
577,17.444075
577.5,17.143968
578,16.861272
578.5,16.59321
579,16.319933
579.5,16.045237
580,15.799235
580.5,15.565449
581,15.351403
581.5,15.112914
582,14.875693
582.5,14.651879
583,14.41836
583.5,14.170532
584,13.913932
584.5,13.675604
585,13.430756
585.5,13.197873
586,12.955107
586.5,12.716867
587,12.498188
587.5,12.280215
588,12.055505
588.5,11.827484
589,11.61545
589.5,11.401414
590,11.186009
590.5,10.972687
591,10.767978
591.5,10.578466
592,10.388468
592.5,10.19993
593,10.016323
593.5,9.829955
594,9.64319
594.5,9.44756
595,9.252264
595.5,9.060623
596,8.874833
596.5,8.697528
597,8.529253
597.5,8.365536
598,8.178759
598.5,7.959297
599,7.696891
599.5,7.391871
600,7.04553
600.5,6.672999
