cm-1,A
3999.45146,0.08569
3998.96932,0.08572
3998.48717,0.08576
3998.00502,0.08579
3997.52287,0.08582
3997.04071,0.08586
3996.55856,0.08586
3996.07641,0.08572
3995.59426,0.0855
3995.11211,0.08546
3994.62995,0.08567
3994.1478,0.08591
3993.66565,0.08603
3993.1835,0.08607
3992.70135,0.08611
3992.21919,0.08614
3991.73704,0.08603
3991.25489,0.08583
3990.77274,0.08575
3990.29058,0.08589
3989.80843,0.0861
3989.32628,0.0863
3988.84413,0.08644
3988.36198,0.08653
3987.87982,0.08659
3987.39767,0.08664
3986.91552,0.08665
3986.43337,0.08666
3985.95122,0.08666
3985.46906,0.08667
3984.98691,0.08673
3984.50476,0.08681
3984.02261,0.08685
3983.54046,0.08681
3983.0583,0.0867
3982.57615,0.08665
3982.094,0.08672
3981.61185,0.08684
3981.1297,0.08693
3980.64754,0.08698
3980.16539,0.08702
3979.68324,0.08708
3979.20109,0.08718
3978.71894,0.08727
3978.23678,0.08733
3977.75463,0.08734
3977.27248,0.0872
3976.79033,0.08695
3976.30817,0.0868
3975.82602,0.08684
3975.34387,0.08694
3974.86172,0.08702
3974.37957,0.08708
3973.89741,0.08716
3973.41526,0.08717
3972.93311,0.08709
3972.45096,0.08709
3971.96881,0.08732
3971.48665,0.0876
3971.0045,0.08777
3970.52235,0.08777
3970.0402,0.08754
3969.55805,0.08729
3969.07589,0.08738
3968.59374,0.08769
3968.11159,0.08794
3967.62944,0.08809
3967.14729,0.08818
3966.66513,0.08825
3966.18298,0.08827
3965.70083,0.08824
3965.21868,0.0882
3964.73652,0.0882
3964.25437,0.08826
3963.77222,0.08832
3963.29007,0.08816
3962.80792,0.08755
3962.32576,0.08693
3961.84361,0.08704
3961.36146,0.08769
3960.87931,0.0882
3960.39716,0.08838
3959.915,0.08844
3959.43285,0.0885
3958.9507,0.0885
3958.46855,0.08846
3957.9864,0.08839
3957.50424,0.08826
3957.02209,0.08827
3956.53994,0.0885
3956.05779,0.08871
3955.57564,0.08882
3955.09348,0.08894
3954.61133,0.08899
3954.12918,0.0888
3953.64703,0.08849
3953.16488,0.08841
3952.68272,0.08867
3952.20057,0.08897
3951.71842,0.08899
3951.23627,0.08831
3950.75411,0.08693
3950.27196,0.08608
3949.78981,0.08665
3949.30766,0.08753
3948.82551,0.08746
3948.34335,0.08669
3947.8612,0.0863
3947.37905,0.08698
3946.8969,0.08825
3946.41475,0.0892
3945.93259,0.08958
3945.45044,0.0895
3944.96829,0.08917
3944.48614,0.08886
3944.00399,0.08794
3943.52183,0.08571
3943.03968,0.084
3942.55753,0.08491
3942.07538,0.08725
3941.59323,0.08894
3941.11107,0.08971
3940.62892,0.09002
3940.14677,0.09009
3939.66462,0.09002
3939.18246,0.08987
3938.70031,0.0898
3938.21816,0.08994
3937.73601,0.0902
3937.25386,0.09042
3936.7717,0.09054
3936.28955,0.09055
3935.8074,0.09047
3935.32525,0.09022
3934.8431,0.08975
3934.36094,0.0894
3933.87879,0.08887
3933.39664,0.08686
3932.91449,0.08412
3932.43234,0.08364
3931.95018,0.08571
3931.46803,0.08767
3930.98588,0.08841
3930.50373,0.08853
3930.02158,0.08842
3929.53942,0.08858
3929.05727,0.08933
3928.57512,0.09015
3928.09297,0.09069
3927.61081,0.091
3927.12866,0.09112
3926.64651,0.09067
3926.16436,0.08891
3925.68221,0.08648
3925.20005,0.0855
3924.7179,0.08632
3924.23575,0.08754
3923.7536,0.08868
3923.27145,0.08988
3922.78929,0.09083
3922.30714,0.09132
3921.82499,0.09128
3921.34284,0.08997
3920.86069,0.08711
3920.37853,0.08517
3919.89638,0.08634
3919.41423,0.08889
3918.93208,0.09021
3918.44993,0.08871
3917.96777,0.08482
3917.48562,0.08225
3917.00347,0.08326
3916.52132,0.08611
3916.03917,0.08891
3915.55701,0.09085
3915.07486,0.09177
3914.59271,0.09209
3914.11056,0.0922
3913.6284,0.09226
3913.14625,0.09232
3912.6641,0.09239
3912.18195,0.09246
3911.6998,0.09252
3911.21764,0.09257
3910.73549,0.0926
3910.25334,0.09262
3909.77119,0.09265
3909.28904,0.09268
3908.80688,0.09271
3908.32473,0.0927
3907.84258,0.09254
3907.36043,0.09156
3906.87828,0.08931
3906.39612,0.0872
3905.91397,0.08644
3905.43182,0.08407
3904.94967,0.07801
3904.46752,0.07416
3903.98536,0.07756
3903.50321,0.08302
3903.02106,0.08301
3902.53891,0.07788
3902.05675,0.07535
3901.5746,0.07955
3901.09245,0.0853
3900.6103,0.0859
3900.12815,0.08062
3899.64599,0.07627
3899.16384,0.0785
3898.68169,0.08407
3898.19954,0.0884
3897.71739,0.09101
3897.23523,0.09246
3896.75308,0.09312
3896.27093,0.09337
3895.78878,0.09338
3895.30663,0.09297
3894.82447,0.09218
3894.34232,0.09165
3893.86017,0.09171
3893.37802,0.09165
3892.89587,0.09013
3892.41371,0.08508
3891.93156,0.07789
3891.44941,0.07564
3890.96726,0.08074
3890.48511,0.08738
3890.00295,0.09138
3889.5208,0.09312
3889.03865,0.09375
3888.5565,0.09389
3888.07434,0.09377
3887.59219,0.09277
3887.11004,0.0883
3886.62789,0.07897
3886.14574,0.07123
3885.66358,0.07302
3885.18143,0.08133
3884.69928,0.08795
3884.21713,0.09029
3883.73498,0.09049
3883.25282,0.09102
3882.77067,0.09213
3882.28852,0.09207
3881.80637,0.08931
3881.32422,0.08374
3880.84206,0.07815
3880.35991,0.07764
3879.87776,0.08294
3879.39561,0.08905
3878.91346,0.09265
3878.4313,0.09418
3877.94915,0.0947
3877.467,0.09481
3876.98485,0.09478
3876.50269,0.09469
3876.02054,0.09396
3875.53839,0.09077
3875.05624,0.08488
3874.57409,0.08071
3874.09193,0.08214
3873.60978,0.08703
3873.12763,0.09122
3872.64548,0.09289
3872.16333,0.09233
