Wavenumber (cm-1),% Transmittance
3999.04557,0.80326
3998.5634,0.80343
3998.08124,0.80353
3997.59908,0.80353
3997.11692,0.80352
3996.63476,0.8034
3996.1526,0.80279
3995.67044,0.80186
3995.18828,0.80161
3994.70611,0.80224
3994.22395,0.80291
3993.74179,0.80317
3993.25963,0.80324
3992.77747,0.80331
3992.29531,0.80327
3991.81315,0.80275
3991.33098,0.80195
3990.84882,0.80166
3990.36666,0.80202
3989.8845,0.80264
3989.40234,0.80324
3988.92018,0.8037
3988.43802,0.80396
3987.95586,0.80406
3987.47369,0.80401
3986.99153,0.8039
3986.50937,0.80378
3986.02721,0.80371
3985.54505,0.80372
3985.06289,0.80386
3984.58073,0.80408
3984.09857,0.80406
3983.6164,0.80357
3983.13424,0.80296
3982.65208,0.80274
3982.16992,0.80294
3981.68776,0.8032
3981.2056,0.80336
3980.72344,0.80349
3980.24128,0.80363
3979.75911,0.80378
3979.27695,0.80391
3978.79479,0.80398
3978.31263,0.80406
3977.83047,0.80408
3977.34831,0.80367
3976.86615,0.80284
3976.38399,0.80233
3975.90182,0.80234
3975.41966,0.80245
3974.9375,0.80246
3974.45534,0.80245
3973.97318,0.80257
3973.49102,0.8025
3973.00886,0.80212
3972.5267,0.80215
3972.04453,0.80293
3971.56237,0.80382
3971.08021,0.80427
3970.59805,0.80406
3970.11589,0.80311
3969.63373,0.80221
3969.15157,0.80237
3968.66941,0.80326
3968.18724,0.80398
3967.70508,0.80433
3967.22292,0.80448
3966.74076,0.80457
3966.2586,0.80463
3965.77644,0.80459
3965.29428,0.80445
3964.81212,0.80431
3964.32995,0.80434
3963.84779,0.80447
3963.36563,0.80387
3962.88347,0.8018
3962.40131,0.79975
3961.91915,0.79997
3961.43699,0.80181
3960.95482,0.80323
3960.47266,0.80366
3959.9905,0.80376
3959.50834,0.80384
3959.02618,0.80377
3958.54402,0.80361
3958.06186,0.80332
3957.5797,0.80278
3957.09753,0.80269
3956.61537,0.8033
3956.13321,0.80393
3955.65105,0.80428
3955.16889,0.80456
3954.68673,0.80458
3954.20457,0.80383
3953.72241,0.80265
3953.24024,0.80233
3952.75808,0.80308
3952.27592,0.80394
3951.79376,0.80392
3951.3116,0.80161
3950.82944,0.79693
3950.34728,0.79401
3949.86512,0.79577
