Created as New Dataset,Sample 113 By Administrator Date Wednesday, July 29 2020
cm-1,A
4000.00,0.0732
3998.00,0.0727
3996.00,0.0718
3994.00,0.0708
3992.00,0.0698
3990.00,0.0689
3988.00,0.0683
3986.00,0.0679
3984.00,0.0677
3982.00,0.0676
3980.00,0.0677
3978.00,0.0678
3976.00,0.0678
3974.00,0.0677
3972.00,0.0676
3970.00,0.0673
3968.00,0.0671
3966.00,0.0668
3964.00,0.0667
3962.00,0.0665
3960.00,0.0663
3958.00,0.0661
3956.00,0.0659
3954.00,0.0658
3952.00,0.0658
3950.00,0.0658
3948.00,0.0658
3946.00,0.0659
3944.00,0.0660
3942.00,0.0662
3940.00,0.0664
3938.00,0.0665
3936.00,0.0665
3934.00,0.0665
3932.00,0.0663
3930.00,0.0662
3928.00,0.0661
3926.00,0.0660
3924.00,0.0659
3922.00,0.0657
3920.00,0.0656
3918.00,0.0655
3916.00,0.0653
3914.00,0.0652
3912.00,0.0651
3910.00,0.0650
3908.00,0.0650
3906.00,0.0650
3904.00,0.0651
3902.00,0.0651
3900.00,0.0651
3898.00,0.0650
3896.00,0.0649
3894.00,0.0648
3892.00,0.0648
3890.00,0.0647
3888.00,0.0645
3886.00,0.0644
3884.00,0.0643
3882.00,0.0642
3880.00,0.0642
3878.00,0.0641
3876.00,0.0641
3874.00,0.0640
3872.00,0.0640
3870.00,0.0640
3868.00,0.0639
3866.00,0.0638
3864.00,0.0637
3862.00,0.0637
3860.00,0.0636
3858.00,0.0635
3856.00,0.0635
3854.00,0.0634
3852.00,0.0634
3850.00,0.0635
3848.00,0.0636
3846.00,0.0636
3844.00,0.0637
3842.00,0.0639
3840.00,0.0640
3838.00,0.0641
3836.00,0.0643
3834.00,0.0644
3832.00,0.0645
3830.00,0.0647
3828.00,0.0649
3826.00,0.0651
3824.00,0.0652
3822.00,0.0654
3820.00,0.0655
3818.00,0.0656
3816.00,0.0656
3814.00,0.0657
3812.00,0.0657
3810.00,0.0656
3808.00,0.0656
3806.00,0.0656
3804.00,0.0656
3802.00,0.0655
3800.00,0.0655
3798.00,0.0653
3796.00,0.0651
3794.00,0.0649
3792.00,0.0646
3790.00,0.0642
3788.00,0.0640
3786.00,0.0637
3784.00,0.0635
3782.00,0.0634
3780.00,0.0632
3778.00,0.0632
3776.00,0.0631
3774.00,0.0632
3772.00,0.0633
3770.00,0.0633
3768.00,0.0634
3766.00,0.0635
3764.00,0.0635
3762.00,0.0635
3760.00,0.0633
3758.00,0.0632
3756.00,0.0629
3754.00,0.0627
3752.00,0.0625
3750.00,0.0623
3748.00,0.0621
3746.00,0.0620
3744.00,0.0620
3742.00,0.0620
3740.00,0.0619
3738.00,0.0619
3736.00,0.0619
3734.00,0.0620
3732.00,0.0621
3730.00,0.0623
3728.00,0.0626
3726.00,0.0630
3724.00,0.0634
3722.00,0.0637
3720.00,0.0638
3718.00,0.0637
3716.00,0.0637
3714.00,0.0633
3712.00,0.0628
3710.00,0.0626
3708.00,0.0629
3706.00,0.0634
3704.00,0.0640
3702.00,0.0646
3700.00,0.0649
3698.00,0.0649
3696.00,0.0647
3694.00,0.0644
3692.00,0.0643
3690.00,0.0643
3688.00,0.0645
3686.00,0.0648
3684.00,0.0653
3682.00,0.0658
3680.00,0.0663
3678.00,0.0667
3676.00,0.0669
3674.00,0.0671
3672.00,0.0671
3670.00,0.0671
3668.00,0.0671
3666.00,0.0672
3664.00,0.0675
3662.00,0.0680
3660.00,0.0686
3658.00,0.0694
3656.00,0.0704
3654.00,0.0717
3652.00,0.0729
3650.00,0.0742
3648.00,0.0752
3646.00,0.0754
3644.00,0.0746
3642.00,0.0731
3640.00,0.0712
3638.00,0.0694
3636.00,0.0679
3634.00,0.0669
3632.00,0.0664
3630.00,0.0663
3628.00,0.0667
3626.00,0.0675
3624.00,0.0684
3622.00,0.0693
3620.00,0.0698
3618.00,0.0695
3616.00,0.0688
3614.00,0.0678
3612.00,0.0667
3610.00,0.0656
3608.00,0.0650
3606.00,0.0647
3604.00,0.0646
3602.00,0.0646
3600.00,0.0648
3598.00,0.0650
3596.00,0.0653
3594.00,0.0657
3592.00,0.0659
3590.00,0.0662
3588.00,0.0664
3586.00,0.0666
3584.00,0.0666
3582.00,0.0666
3580.00,0.0666
3578.00,0.0665
3576.00,0.0665
3574.00,0.0664
3572.00,0.0664
3570.00,0.0665
3568.00,0.0665
3566.00,0.0666
3564.00,0.0669
3562.00,0.0671
3560.00,0.0673
3558.00,0.0676
3556.00,0.0678
3554.00,0.0681
3552.00,0.0683
3550.00,0.0686
3548.00,0.0689
3546.00,0.0692
3544.00,0.0695
3542.00,0.0697
3540.00,0.0700
3538.00,0.0703
3536.00,0.0706
3534.00,0.0708
3532.00,0.0710
3530.00,0.0713
3528.00,0.0716
3526.00,0.0719
3524.00,0.0722
3522.00,0.0724
3520.00,0.0727
3518.00,0.0730
3516.00,0.0733
3514.00,0.0735
3512.00,0.0738
3510.00,0.0741
3508.00,0.0744
3506.00,0.0747
3504.00,0.0749
3502.00,0.0752
3500.00,0.0754
3498.00,0.0757
3496.00,0.0760
3494.00,0.0763
3492.00,0.0766
3490.00,0.0770
3488.00,0.0773
3486.00,0.0775
3484.00,0.0778
3482.00,0.0781
3480.00,0.0783
3478.00,0.0785
3476.00,0.0787
3474.00,0.0790
3472.00,0.0792
3470.00,0.0795
3468.00,0.0796
3466.00,0.0797
3464.00,0.0798
3462.00,0.0799
3460.00,0.0800
3458.00,0.0801
3456.00,0.0802
3454.00,0.0803
3452.00,0.0804
3450.00,0.0806
3448.00,0.0808
3446.00,0.0811
3444.00,0.0813
3442.00,0.0814
3440.00,0.0814
3438.00,0.0813
3436.00,0.0810
3434.00,0.0806
3432.00,0.0802
3430.00,0.0799
3428.00,0.0795
3426.00,0.0791
3424.00,0.0788
3422.00,0.0785
3420.00,0.0783
3418.00,0.0781
3416.00,0.0780
3414.00,0.0780
3412.00,0.0779
3410.00,0.0779
3408.00,0.0778
3406.00,0.0778
3404.00,0.0778
3402.00,0.0778
3400.00,0.0777
3398.00,0.0775
3396.00,0.0774
3394.00,0.0774
3392.00,0.0773
3390.00,0.0772
3388.00,0.0771
3386.00,0.0770
3384.00,0.0769
3382.00,0.0768
3380.00,0.0767
3378.00,0.0765
3376.00,0.0763
3374.00,0.0761
3372.00,0.0759
3370.00,0.0757
3368.00,0.0755
3366.00,0.0753
3364.00,0.0751
3362.00,0.0750
3360.00,0.0748
3358.00,0.0747
3356.00,0.0746
3354.00,0.0746
3352.00,0.0746
3350.00,0.0745
3348.00,0.0744
3346.00,0.0744
3344.00,0.0743
3342.00,0.0743
3340.00,0.0742
3338.00,0.0741
3336.00,0.0740
3334.00,0.0739
3332.00,0.0738
3330.00,0.0737
3328.00,0.0737
3326.00,0.0736
3324.00,0.0734
3322.00,0.0733
3320.00,0.0732
3318.00,0.0731
3316.00,0.0730
3314.00,0.0730
3312.00,0.0729
3310.00,0.0729
3308.00,0.0729
3306.00,0.0728
3304.00,0.0727
3302.00,0.0725
3300.00,0.0725
3298.00,0.0725
3296.00,0.0725
3294.00,0.0725
3292.00,0.0724
3290.00,0.0723
3288.00,0.0723
3286.00,0.0723
3284.00,0.0723
3282.00,0.0723
3280.00,0.0723
3278.00,0.0724
