Wavenumber (cm-1),% Transmittance
3999.45147,0.83738
3998.96932,0.83759
3998.48717,0.83793
3998.00502,0.83838
3997.52287,0.83889
3997.04071,0.83931
3996.55856,0.83947
3996.07641,0.83906
3995.59426,0.83834
3995.11211,0.83865
3994.62995,0.8403
3994.1478,0.84203
3993.66565,0.84299
3993.1835,0.84344
3992.70135,0.84395
3992.21919,0.84451
3991.73704,0.84445
3991.25489,0.84376
3990.77274,0.84356
3990.29058,0.84429
3989.80843,0.84538
3989.32628,0.84637
3988.84413,0.84712
3988.36198,0.84767
3987.87982,0.84811
3987.39767,0.84838
3986.91552,0.84846
3986.43337,0.84845
3985.95122,0.84842
3985.46906,0.84843
3984.98691,0.8487
3984.50476,0.84926
3984.02261,0.84951
3983.54046,0.84899
3983.0583,0.848
3982.57615,0.84729
3982.094,0.84733
3981.61185,0.84777
3981.1297,0.84806
3980.64754,0.84803
3980.16539,0.84788
3979.68324,0.8479
3979.20109,0.84809
3978.71894,0.84832
3978.23678,0.84852
3977.75463,0.8484
3977.27248,0.84746
3976.79033,0.84591
3976.30817,0.84487
3975.82602,0.84479
3975.34387,0.84518
3974.86172,0.84542
3974.37957,0.84548
3973.89741,0.84575
3973.41526,0.84578
3972.93311,0.84517
3972.45096,0.84508
3971.96881,0.84626
3971.48665,0.84773
3971.0045,0.84855
3970.52235,0.84842
3970.0402,0.84719
3969.55805,0.84597
3969.07589,0.84635
3968.59374,0.84781
3968.11159,0.8489
3967.62944,0.84945
3967.14729,0.84977
3966.66513,0.84995
3966.18298,0.84998
3965.70083,0.84984
3965.21868,0.84961
3964.73652,0.84951
3964.25437,0.8497
3963.77222,0.85
3963.29007,0.84922
3962.80792,0.84622
3962.32576,0.84318
3961.84361,0.84355
3961.36146,0.84642
3960.87931,0.8485
3960.39716,0.84907
3959.915,0.84928
3959.43285,0.84954
3958.9507,0.84948
3958.46855,0.84922
3957.9864,0.84875
3957.50424,0.84798
3957.02209,0.84793
3956.53994,0.84887
3956.05779,0.84969
3955.57564,0.85018
3955.09348,0.85072
3954.61133,0.85082
3954.12918,0.84968
3953.64703,0.84797
3953.16488,0.84758
3952.68272,0.84877
3952.20057,0.85006
3951.71842,0.85004
3951.23627,0.84689
3950.75411,0.84043
3950.27196,0.83625
3949.78981,0.83866
3949.30766,0.84229
3948.82551,0.84165
3948.34335,0.83827
3947.8612,0.83691
3947.37905,0.84016
3946.8969,0.84539
3946.41475,0.84892
3945.93259,0.85007
3945.45044,0.84927
3944.96829,0.84739
3944.48614,0.84574
3944.00399,0.84189
3943.52183,0.8325
3943.03968,0.82479
3942.55753,0.82878
3942.07538,0.8387
3941.59323,0.84549
3941.11107,0.84841
3940.62892,0.84941
3940.14677,0.84956
3939.66462,0.8491
3939.18246,0.84817
3938.70031,0.84747
3938.21816,0.84779
3937.73601,0.84886
3937.25386,0.84982
3936.7717,0.85032
3936.28955,0.85033
3935.8074,0.84992
3935.32525,0.84863
3934.8431,0.8462
3934.36094,0.84437
3933.87879,0.84281
3933.39664,0.83643
3932.91449,0.82619
3932.43234,0.82373
3931.95018,0.83124
3931.46803,0.83771
3930.98588,0.8395
3930.50373,0.83944
3930.02158,0.83877
3929.53942,0.83956
3929.05727,0.84307
3928.57512,0.84674
3928.09297,0.84903
3927.61081,0.8504
3927.12866,0.85086
3926.64651,0.84901
3926.16436,0.84207
3925.68221,0.83191
3925.20005,0.82705
3924.7179,0.82965
3924.23575,0.83405
3923.7536,0.83876
3923.27145,0.84424
3922.78929,0.84862
3922.30714,0.85078
3921.82499,0.85068
3921.34284,0.84614
3920.86069,0.8361
3920.37853,0.82896
3919.89638,0.83333
3919.41423,0.8423
3918.93208,0.84669
3918.44993,0.84292
3917.96777,0.832
3917.48562,0.82306
3917.00347,0.82399
3916.52132,0.83183
3916.03917,0.84131
3915.55701,0.84838
3915.07486,0.85185
3914.59271,0.85317
3914.11056,0.85367
3913.6284,0.85384
3913.14625,0.85391
3912.6641,0.85416
3912.18195,0.85459
3911.6998,0.85488
3911.21764,0.8549
3910.73549,0.85486
3910.25334,0.85494
3909.77119,0.85495
3909.28904,0.85474
3908.80688,0.85441
3908.32473,0.85405
3907.84258,0.85314
3907.36043,0.84918
3906.87828,0.84003
3906.39612,0.83051
3905.91397,0.82679
3905.43182,0.822
3904.94967,0.80822
3904.46752,0.79853
3903.98536,0.80963
3903.50321,0.823
3903.02106,0.81997
3902.53891,0.80367
3902.05675,0.79761
3901.5746,0.81423
3901.09245,0.83069
3900.6103,0.831
3900.12815,0.81518
3899.64599,0.80021
3899.16384,0.80699
3898.68169,0.82347
3898.19954,0.83582
3897.71739,0.84419
3897.23523,0.84957
3896.75308,0.85244
3896.27093,0.8538
3895.78878,0.85394
3895.30663,0.85201
3894.82447,0.84822
3894.34232,0.84568
3893.86017,0.84577
3893.37802,0.84519
3892.89587,0.83996
3892.41371,0.8266
3891.93156,0.80795
3891.44941,0.80342
3890.96726,0.82031
3890.48511,0.83811
3890.00295,0.8479
3889.5208,0.8522
3889.03865,0.85388
3888.5565,0.85426
3888.07434,0.85361
3887.59219,0.85003
3887.11004,0.83811
3886.62789,0.81412
3886.14574,0.79245
3885.66358,0.80145
3885.18143,0.82515
3884.69928,0.83868
3884.21713,0.84076
3883.73498,0.8388
3883.25282,0.84058
3882.77067,0.84524
3882.28852,0.84521
3881.80637,0.8353
3881.32422,0.81516
3880.84206,0.79394
3880.35991,0.794
3879.87776,0.81673
3879.39561,0.83787
3878.91346,0.84872
3878.4313,0.85313
3877.94915,0.85471
3877.467,0.85506
3876.98485,0.85485
3876.50269,0.85419
3876.02054,0.85136
3875.53839,0.84122
3875.05624,0.82069
3874.57409,0.80199
3874.09193,0.80562
3873.60978,0.82447
3873.12763,0.83961
3872.64548,0.84467
3872.16333,0.8412
3871.68117,0.83243
3871.19902,0.81796
3870.71687,0.79582
3870.23472,0.77559
3869.75257,0.77664
3869.27041,0.79864
3868.78826,0.82395
3868.30611,0.84035
3867.82396,0.84783
3867.34181,0.84957
3866.85965,0.84621
3866.3775,0.83565
3865.89535,0.81599
3865.4132,0.79653
3864.93105,0.79718
3864.44889,0.81338
3863.96674,0.8282
3863.48459,0.83598
3863.00244,0.83428
3862.52028,0.8234
3862.03813,0.81656
3861.55598,0.82585
3861.07383,0.83987
3860.59168,0.84818
3860.10952,0.8515
3859.62737,0.85252
3859.14522,0.85234
3858.66307,0.84889
3858.18092,0.83874
3857.69876,0.82634
3857.21661,0.82398
3856.73446,0.83091
3856.25231,0.83374
3855.77016,0.82496
3855.288,0.80345
3854.80585,0.76683
3854.3237,0.73382
3853.84155,0.74935
3853.3594,0.76912
3852.87724,0.76954
3852.39509,0.76857
3851.91294,0.79068
3851.43079,0.81803
3850.94863,0.8331
3850.46648,0.83686
3849.98433,0.83667
3849.50218,0.83948
3849.02003,0.84509
3848.53787,0.84974
3848.05572,0.85222
3847.57357,0.85316
3847.09142,0.85326
3846.60927,0.85309
3846.12711,0.85236
3845.64496,0.85008
3845.16281,0.84391
3844.68066,0.83024
3844.19851,0.81428
3843.71635,0.81359
3843.2342,0.82756
3842.75205,0.83819
3842.2699,0.83673
3841.78775,0.82352
3841.30559,0.80796
3840.82344,0.80069
3840.34129,0.8025
3839.85914,0.81017
3839.37698,0.81325
3838.89483,0.80166
3838.41268,0.77967
3837.93053,0.77694
3837.44838,0.80183
3836.96622,0.82383
3836.48407,0.83149
3836.00192,0.82332
3835.51977,0.80692
3835.03762,0.80445
3834.55546,0.8206
3834.07331,0.83588
3833.59116,0.84259
3833.10901,0.84007
3832.62686,0.82641
3832.1447,0.80902
3831.66255,0.80904
3831.1804,0.82541
3830.69825,0.83921
3830.2161,0.84603
3829.73394,0.84851
3829.25179,0.84799
3828.76964,0.84535
3828.28749,0.8411
3827.80534,0.83267
3827.32318,0.82116
3826.84103,0.81835
3826.35888,0.82709
3825.87673,0.83634
3825.39457,0.84105
3824.91242,0.84205
3824.43027,0.84106
3823.94812,0.83915
3823.46597,0.83545
3822.98381,0.82548
3822.50166,0.80418
3822.01951,0.77561
3821.53736,0.75569
3821.05521,0.75717
3820.57305,0.779
3820.0909,0.80473
3819.60875,0.82226
3819.1266,0.83106
3818.64445,0.83524
3818.16229,0.8363
3817.68014,0.83056
3817.19799,0.81384
3816.71584,0.78763
3816.23369,0.77532
3815.75153,0.79576
3815.26938,0.82031
3814.78723,0.83523
3814.30508,0.84269
3813.82292,0.84624
3813.34077,0.84796
3812.85862,0.8489
3812.37647,0.84962
3811.89432,0.85019
3811.41216,0.85046
3810.93001,0.85045
3810.44786,0.85022
3809.96571,0.84967
3809.48356,0.84848
3809.0014,0.8455
3808.51925,0.83729
3808.0371,0.81914
3807.55495,0.79392
3807.0728,0.78678
3806.59064,0.80646
3806.10849,0.82654
