Created as New Dataset,Sample 104 By Administrator Date Monday, November 04 2019
cm-1,A
4000.00,0.2136
3998.00,0.1984
3996.00,0.1872
3994.00,0.1799
3992.00,0.1758
3990.00,0.1741
3988.00,0.1745
3986.00,0.1763
3984.00,0.1793
3982.00,0.1836
3980.00,0.1894
3978.00,0.1970
3976.00,0.2070
3974.00,0.2198
3972.00,0.2356
3970.00,0.2538
3968.00,0.2723
3966.00,0.2883
3964.00,0.2996
3962.00,0.3050
3960.00,0.3045
3958.00,0.3000
3956.00,0.2938
3954.00,0.2877
3952.00,0.2821
3950.00,0.2766
3948.00,0.2709
3946.00,0.2651
3944.00,0.2596
3942.00,0.2546
3940.00,0.2495
3938.00,0.2437
3936.00,0.2365
3934.00,0.2276
3932.00,0.2173
3930.00,0.2066
3928.00,0.1968
3926.00,0.1888
3924.00,0.1829
3922.00,0.1792
3920.00,0.1776
3918.00,0.1781
3916.00,0.1800
3914.00,0.1825
3912.00,0.1849
3910.00,0.1864
3908.00,0.1866
3906.00,0.1857
3904.00,0.1841
3902.00,0.1825
3900.00,0.1820
3898.00,0.1838
3896.00,0.1874
3894.00,0.1918
3892.00,0.1952
3890.00,0.1958
3888.00,0.1937
3886.00,0.1904
3884.00,0.1876
3882.00,0.1857
3880.00,0.1847
3878.00,0.1832
3876.00,0.1813
3874.00,0.1802
3872.00,0.1799
3870.00,0.1805
3868.00,0.1813
3866.00,0.1808
3864.00,0.1790
3862.00,0.1758
3860.00,0.1719
3858.00,0.1686
3856.00,0.1660
3854.00,0.1640
3852.00,0.1624
3850.00,0.1609
3848.00,0.1594
3846.00,0.1576
3844.00,0.1558
3842.00,0.1541
3840.00,0.1526
3838.00,0.1520
3836.00,0.1525
3834.00,0.1539
3832.00,0.1559
3830.00,0.1582
3828.00,0.1605
3826.00,0.1630
3824.00,0.1651
3822.00,0.1671
3820.00,0.1695
3818.00,0.1713
3816.00,0.1727
3814.00,0.1733
3812.00,0.1729
3810.00,0.1730
3808.00,0.1745
3806.00,0.1783
3804.00,0.1830
3802.00,0.1871
3800.00,0.1891
3798.00,0.1885
3796.00,0.1870
3794.00,0.1855
3792.00,0.1851
3790.00,0.1858
3788.00,0.1862
3786.00,0.1853
3784.00,0.1827
3782.00,0.1791
3780.00,0.1756
3778.00,0.1730
3776.00,0.1715
3774.00,0.1708
3772.00,0.1708
3770.00,0.1715
3768.00,0.1731
3766.00,0.1761
3764.00,0.1811
3762.00,0.1877
3760.00,0.1964
3758.00,0.2060
3756.00,0.2132
3754.00,0.2151
3752.00,0.2101
3750.00,0.2002
3748.00,0.1898
3746.00,0.1811
3744.00,0.1747
3742.00,0.1713
3740.00,0.1707
3738.00,0.1727
3736.00,0.1768
3734.00,0.1830
3732.00,0.1898
3730.00,0.1965
3728.00,0.2017
3726.00,0.2048
3724.00,0.2066
3722.00,0.2085
3720.00,0.2120
3718.00,0.2166
3716.00,0.2208
3714.00,0.2217
3712.00,0.2179
3710.00,0.2101
3708.00,0.2011
3706.00,0.1930
3704.00,0.1856
3702.00,0.1791
3700.00,0.1739
3698.00,0.1702
3696.00,0.1678
3694.00,0.1665
3692.00,0.1661
3690.00,0.1666
3688.00,0.1677
3686.00,0.1689
3684.00,0.1701
3682.00,0.1709
3680.00,0.1708
3678.00,0.1697
3676.00,0.1670
3674.00,0.1636
3672.00,0.1600
3670.00,0.1572
3668.00,0.1553
3666.00,0.1545
3664.00,0.1552
3662.00,0.1570
3660.00,0.1603
3658.00,0.1649
3656.00,0.1707
3654.00,0.1764
3652.00,0.1808
3650.00,0.1835
3648.00,0.1841
3646.00,0.1841
3644.00,0.1852
3642.00,0.1885
3640.00,0.1940
3638.00,0.1997
3636.00,0.2026
3634.00,0.2004
3632.00,0.1935
3630.00,0.1836
3628.00,0.1730
3626.00,0.1636
3624.00,0.1561
