Created as New Dataset,Sample 116 By Administrator Date Monday, August 24 2020
cm-1,A
4000.00,-0.0016
3998.00,-0.0016
3996.00,-0.0015
3994.00,-0.0016
3992.00,-0.0016
3990.00,-0.0016
3988.00,-0.0017
3986.00,-0.0017
3984.00,-0.0017
3982.00,-0.0017
3980.00,-0.0017
3978.00,-0.0017
3976.00,-0.0017
3974.00,-0.0017
3972.00,-0.0017
3970.00,-0.0017
3968.00,-0.0018
3966.00,-0.0017
3964.00,-0.0017
3962.00,-0.0017
3960.00,-0.0017
3958.00,-0.0017
3956.00,-0.0017
3954.00,-0.0018
3952.00,-0.0018
3950.00,-0.0018
3948.00,-0.0016
3946.00,-0.0017
3944.00,-0.0018
3942.00,-0.0018
3940.00,-0.0017
3938.00,-0.0017
3936.00,-0.0017
3934.00,-0.0017
3932.00,-0.0017
3930.00,-0.0017
3928.00,-0.0018
3926.00,-0.0018
3924.00,-0.0018
3922.00,-0.0017
3920.00,-0.0017
3918.00,-0.0016
3916.00,-0.0016
3914.00,-0.0017
3912.00,-0.0018
3910.00,-0.0018
3908.00,-0.0020
3906.00,-0.0019
3904.00,-0.0016
3902.00,-0.0015
3900.00,-0.0015
3898.00,-0.0016
3896.00,-0.0017
3894.00,-0.0017
3892.00,-0.0017
3890.00,-0.0017
3888.00,-0.0018
3886.00,-0.0018
3884.00,-0.0019
3882.00,-0.0019
3880.00,-0.0018
3878.00,-0.0018
3876.00,-0.0019
3874.00,-0.0020
3872.00,-0.0019
3870.00,-0.0017
3868.00,-0.0017
3866.00,-0.0017
3864.00,-0.0017
3862.00,-0.0017
3860.00,-0.0018
3858.00,-0.0020
3856.00,-0.0022
3854.00,-0.0020
3852.00,-0.0020
3850.00,-0.0018
3848.00,-0.0017
3846.00,-0.0018
3844.00,-0.0019
3842.00,-0.0020
3840.00,-0.0020
3838.00,-0.0019
3836.00,-0.0019
3834.00,-0.0018
3832.00,-0.0018
3830.00,-0.0019
3828.00,-0.0020
3826.00,-0.0022
3824.00,-0.0023
3822.00,-0.0022
3820.00,-0.0022
3818.00,-0.0022
3816.00,-0.0022
3814.00,-0.0023
3812.00,-0.0023
3810.00,-0.0024
3808.00,-0.0024
3806.00,-0.0024
3804.00,-0.0025
3802.00,-0.0025
3800.00,-0.0026
3798.00,-0.0026
3796.00,-0.0025
3794.00,-0.0026
3792.00,-0.0026
3790.00,-0.0026
3788.00,-0.0027
3786.00,-0.0027
3784.00,-0.0027
3782.00,-0.0028
3780.00,-0.0029
3778.00,-0.0029
3776.00,-0.0030
3774.00,-0.0031
3772.00,-0.0031
3770.00,-0.0031
3768.00,-0.0032
3766.00,-0.0033
3764.00,-0.0034
3762.00,-0.0035
3760.00,-0.0035
3758.00,-0.0035
3756.00,-0.0036
3754.00,-0.0038
3752.00,-0.0036
3750.00,-0.0033
3748.00,-0.0036
3746.00,-0.0037
3744.00,-0.0040
3742.00,-0.0042
3740.00,-0.0041
3738.00,-0.0042
3736.00,-0.0042
3734.00,-0.0042
3732.00,-0.0045
3730.00,-0.0047
3728.00,-0.0049
3726.00,-0.0052
3724.00,-0.0054
3722.00,-0.0057
3720.00,-0.0060
3718.00,-0.0063
3716.00,-0.0066
3714.00,-0.0069
3712.00,-0.0073
3710.00,-0.0076
3708.00,-0.0079
3706.00,-0.0084
3704.00,-0.0089
3702.00,-0.0094
3700.00,-0.0101
3698.00,-0.0106
3696.00,-0.0113
3694.00,-0.0120
3692.00,-0.0128
3690.00,-0.0136
3688.00,-0.0149
3686.00,-0.0160
3684.00,-0.0168
3682.00,-0.0177
3680.00,-0.0189
3678.00,-0.0202
3676.00,-0.0216
3674.00,-0.0233
3672.00,-0.0245
3670.00,-0.0263
3668.00,-0.0280
3666.00,-0.0293
3664.00,-0.0308
3662.00,-0.0325
3660.00,-0.0341
3658.00,-0.0357
3656.00,-0.0377
3654.00,-0.0395
3652.00,-0.0410
3650.00,-0.0430
3648.00,-0.0450
3646.00,-0.0467
3644.00,-0.0481
3642.00,-0.0496
3640.00,-0.0513
3638.00,-0.0529
3636.00,-0.0545
3634.00,-0.0562
3632.00,-0.0574
3630.00,-0.0587
3628.00,-0.0607
3626.00,-0.0622
3624.00,-0.0635
3622.00,-0.0649
3620.00,-0.0665
3618.00,-0.0683
3616.00,-0.0697
3614.00,-0.0709
3612.00,-0.0724
3610.00,-0.0738
3608.00,-0.0755
3606.00,-0.0771
3604.00,-0.0785
3602.00,-0.0800
3600.00,-0.0816
3598.00,-0.0831
3596.00,-0.0847
3594.00,-0.0864
3592.00,-0.0878
3590.00,-0.0891
3588.00,-0.0909
3586.00,-0.0928
3584.00,-0.0944
3582.00,-0.0959
3580.00,-0.0975
3578.00,-0.0992
3576.00,-0.1009
3574.00,-0.1026
3572.00,-0.1043
3570.00,-0.1058
3568.00,-0.1076
3566.00,-0.1097
3564.00,-0.1115
3562.00,-0.1131
3560.00,-0.1150
3558.00,-0.1169
3556.00,-0.1188
3554.00,-0.1206
3552.00,-0.1226
3550.00,-0.1245
3548.00,-0.1263
3546.00,-0.1284
3544.00,-0.1304
3542.00,-0.1323
3540.00,-0.1341
3538.00,-0.1361
3536.00,-0.1382
3534.00,-0.1402
3532.00,-0.1420
3530.00,-0.1440
3528.00,-0.1461
3526.00,-0.1482
3524.00,-0.1502
3522.00,-0.1523
3520.00,-0.1543
3518.00,-0.1565
3516.00,-0.1586
3514.00,-0.1606
3512.00,-0.1626
3510.00,-0.1647
3508.00,-0.1668
3506.00,-0.1688
3504.00,-0.1711
3502.00,-0.1734
3500.00,-0.1755
3498.00,-0.1775
3496.00,-0.1797
3494.00,-0.1819
3492.00,-0.1840
3490.00,-0.1861
3488.00,-0.1883
3486.00,-0.1904
3484.00,-0.1924
3482.00,-0.1947
3480.00,-0.1970
3478.00,-0.1992
3476.00,-0.2013
3474.00,-0.2035
3472.00,-0.2059
3470.00,-0.2083
3468.00,-0.2106
3466.00,-0.2128
3464.00,-0.2149
3462.00,-0.2171
3460.00,-0.2195
3458.00,-0.2217
3456.00,-0.2237
3454.00,-0.2260
3452.00,-0.2284
3450.00,-0.2308
3448.00,-0.2332
3446.00,-0.2355
3444.00,-0.2378
3442.00,-0.2401
3440.00,-0.2426
3438.00,-0.2452
3436.00,-0.2476
3434.00,-0.2498
3432.00,-0.2521
3430.00,-0.2544
3428.00,-0.2565
3426.00,-0.2585
3424.00,-0.2607
3422.00,-0.2630
3420.00,-0.2652
3418.00,-0.2674
3416.00,-0.2696
3414.00,-0.2718
3412.00,-0.2738
3410.00,-0.2759
3408.00,-0.2779
3406.00,-0.2800
3404.00,-0.2820
3402.00,-0.2840
3400.00,-0.2858
3398.00,-0.2874
3396.00,-0.2891
3394.00,-0.2909
3392.00,-0.2926
3390.00,-0.2940
3388.00,-0.2953
3386.00,-0.2967
3384.00,-0.2982
3382.00,-0.2996
3380.00,-0.3010
3378.00,-0.3023
3376.00,-0.3034
3374.00,-0.3044
3372.00,-0.3056
3370.00,-0.3069
3368.00,-0.3079
3366.00,-0.3086
3364.00,-0.3092
3362.00,-0.3100
3360.00,-0.3107
3358.00,-0.3112
3356.00,-0.3116
3354.00,-0.3122
3352.00,-0.3129
3350.00,-0.3133
3348.00,-0.3135
3346.00,-0.3139
3344.00,-0.3144
3342.00,-0.3147
3340.00,-0.3150
3338.00,-0.3152
3336.00,-0.3152
3334.00,-0.3152
3332.00,-0.3154
3330.00,-0.3155
3328.00,-0.3157
3326.00,-0.3159
3324.00,-0.3160
3322.00,-0.3159
3320.00,-0.3158
3318.00,-0.3157
3316.00,-0.3158
3314.00,-0.3158
3312.00,-0.3158
3310.00,-0.3159
3308.00,-0.3160
3306.00,-0.3159
3304.00,-0.3158
3302.00,-0.3156
3300.00,-0.3156
3298.00,-0.3156
3296.00,-0.3156
3294.00,-0.3155
3292.00,-0.3154
3290.00,-0.3152
3288.00,-0.3151
3286.00,-0.3152
3284.00,-0.3152
3282.00,-0.3151
3280.00,-0.3149
3278.00,-0.3148
3276.00,-0.3148
3274.00,-0.3148
3272.00,-0.3148
3270.00,-0.3146
3268.00,-0.3142
3266.00,-0.3139
3264.00,-0.3137
3262.00,-0.3134
3260.00,-0.3131
3258.00,-0.3128
3256.00,-0.3125
3254.00,-0.3122
3252.00,-0.3118
3250.00,-0.3114
3248.00,-0.3111
3246.00,-0.3105
3244.00,-0.3098
3242.00,-0.3091
3240.00,-0.3083
3238.00,-0.3075
3236.00,-0.3068
3234.00,-0.3059
3232.00,-0.3048
3230.00,-0.3037
3228.00,-0.3025
3226.00,-0.3013
3224.00,-0.3000
3222.00,-0.2987
3220.00,-0.2973
3218.00,-0.2958
3216.00,-0.2942
3214.00,-0.2926
3212.00,-0.2909
3210.00,-0.2890
3208.00,-0.2871
3206.00,-0.2852
3204.00,-0.2832
3202.00,-0.2811
3200.00,-0.2790
3198.00,-0.2768
3196.00,-0.2745
3194.00,-0.2722
3192.00,-0.2698
3190.00,-0.2676
3188.00,-0.2652
3186.00,-0.2626
3184.00,-0.2599
3182.00,-0.2572
3180.00,-0.2545
3178.00,-0.2518
3176.00,-0.2490
