Created as New Dataset,Sample 105 By Administrator Date Monday, September 21 2020
cm-1,A
4000,0.2136
3998,0.1984
3996,0.1872
3994,0.1799
3992,0.1758
3990,0.1741
3988,0.1745
3986,0.1763
3984,0.1793
3982,0.1836
3980,0.1894
3978,0.197
3976,0.207
3974,0.2198
3972,0.2356
3970,0.2538
3968,0.2723
3966,0.2883
3964,0.2996
3962,0.305
3960,0.3045
3958,0.3
3956,0.2938
3954,0.2877
3952,0.2821
3950,0.2766
3948,0.2709
3946,0.2651
3944,0.2596
3942,0.2546
3940,0.2495
3938,0.2437
3936,0.2365
3934,0.2276
3932,0.2173
3930,0.2066
3928,0.1968
3926,0.1888
3924,0.1829
3922,0.1792
3920,0.1776
3918,0.1781
3916,0.18
3914,0.1825
3912,0.1849
3910,0.1864
3908,0.1866
3906,0.1857
3904,0.1841
3902,0.1825
3900,0.182
3898,0.1838
3896,0.1874
3894,0.1918
3892,0.1952
3890,0.1958
3888,0.1937
3886,0.1904
3884,0.1876
3882,0.1857
3880,0.1847
3878,0.1832
3876,0.1813
3874,0.1802
3872,0.1799
3870,0.1805
3868,0.1813
3866,0.1808
3864,0.179
3862,0.1758
3860,0.1719
3858,0.1686
3856,0.166
3854,0.164
3852,0.1624
3850,0.1609
3848,0.1594
3846,0.1576
3844,0.1558
3842,0.1541
3840,0.1526
3838,0.152
3836,0.1525
3834,0.1539
3832,0.1559
3830,0.1582
3828,0.1605
3826,0.163
3824,0.1651
3822,0.1671
3820,0.1695
3818,0.1713
3816,0.1727
3814,0.1733
3812,0.1729
3810,0.173
3808,0.1745
3806,0.1783
3804,0.183
3802,0.1871
3800,0.1891
3798,0.1885
3796,0.187
3794,0.1855
3792,0.1851
3790,0.1858
3788,0.1862
3786,0.1853
3784,0.1827
3782,0.1791
3780,0.1756
3778,0.173
3776,0.1715
3774,0.1708
3772,0.1708
3770,0.1715
3768,0.1731
3766,0.1761
3764,0.1811
3762,0.1877
3760,0.1964
3758,0.206
3756,0.2132
3754,0.2151
3752,0.2101
3750,0.2002
3748,0.1898
3746,0.1811
3744,0.1747
3742,0.1713
3740,0.1707
3738,0.1727
3736,0.1768
3734,0.183
3732,0.1898
3730,0.1965
3728,0.2017
3726,0.2048
3724,0.2066
3722,0.2085
3720,0.212
3718,0.2166
3716,0.2208
3714,0.2217
3712,0.2179
3710,0.2101
3708,0.2011
3706,0.193
3704,0.1856
3702,0.1791
3700,0.1739
3698,0.1702
3696,0.1678
3694,0.1665
3692,0.1661
3690,0.1666
3688,0.1677
3686,0.1689
3684,0.1701
3682,0.1709
3680,0.1708
3678,0.1697
3676,0.167
3674,0.1636
3672,0.16
3670,0.1572
3668,0.1553
3666,0.1545
3664,0.1552
3662,0.157
3660,0.1603
3658,0.1649
3656,0.1707
3654,0.1764
3652,0.1808
3650,0.1835
3648,0.1841
3646,0.1841
3644,0.1852
3642,0.1885
3640,0.194
3638,0.1997
3636,0.2026
3634,0.2004
3632,0.1935
3630,0.1836
3628,0.173
3626,0.1636
3624,0.1561
3622,0.1503
3620,0.1456
