Path,File,Date Acquired,Sample,Misc
C:\Users\vvannost\Documents\,Pain01.d,9/28/2020 13:52,Mixture, 
TIC: Pain01.d\data.ms,,,,
4.093,7434,,,
4.098,9288,,,
4.104,9832,,,
4.109,12902,,,
4.115,9985,,,
4.12,12413,,,
4.126,13713,,,
4.131,10008,,,
4.137,10620,,,
4.142,10604,,,
4.148,12457,,,
4.153,12994,,,
4.159,10416,,,
4.164,8611,,,
4.17,10707,,,
4.175,13916,,,
4.181,8884,,,
4.186,8918,,,
4.192,9742,,,
4.197,13598,,,
4.203,12612,,,
4.208,9138,,,
4.214,12319,,,
4.219,9956,,,
4.225,9691,,,
4.23,9108,,,
4.236,13752,,,
4.241,10047,,,
4.247,14578,,,
4.252,10692,,,
4.258,13618,,,
4.263,9400,,,
4.269,12688,,,
4.274,19333,,,
4.28,28526,,,
4.285,27157,,,
4.291,22065,,,
4.296,14445,,,
4.302,12122,,,
4.307,11079,,,
4.313,12631,,,
4.318,12775,,,
4.324,12611,,,
4.329,11424,,,
4.335,10972,,,
4.34,10884,,,
4.346,11772,,,
4.351,18585,,,
4.357,13765,,,
4.362,14798,,,
4.368,16838,,,
4.373,15147,,,
4.379,16103,,,
4.384,16034,,,
4.39,14802,,,
4.395,16705,,,
4.401,14144,,,
4.406,15616,,,
4.412,13912,,,
4.417,10654,,,
4.423,14027,,,
4.428,16871,,,
4.434,15500,,,
4.439,14093,,,
4.445,11561,,,
4.45,15281,,,
4.456,15380,,,
4.461,18343,,,
4.467,16684,,,
4.472,18079,,,
4.478,19787,,,
4.483,10346,,,
4.489,14708,,,
4.494,14436,,,
4.5,18301,,,
4.505,16907,,,
4.511,12597,,,
4.516,16587,,,
4.522,16887,,,
4.527,13030,,,
4.533,14542,,,
4.538,16841,,,
4.544,21548,,,
4.549,20038,,,
4.555,17395,,,
4.56,19223,,,
4.566,17599,,,
4.571,14570,,,
4.577,13284,,,
4.582,14993,,,
4.588,16207,,,
4.593,19576,,,
4.599,20910,,,
4.604,18579,,,
4.61,21685,,,
4.615,16265,,,
4.621,15863,,,
4.627,14680,,,
4.632,18723,,,
4.638,16528,,,
4.643,16515,,,
4.649,20632,,,
4.654,20256,,,
4.66,21462,,,
4.665,16603,,,
4.671,20399,,,
4.676,21467,,,
4.682,22683,,,
4.687,19834,,,
4.693,20302,,,
4.698,18662,,,
4.704,17756,,,
4.709,22157,,,
4.715,19755,,,
4.72,25249,,,
4.726,20136,,,
4.731,22816,,,
4.737,20259,,,
4.742,18783,,,
4.748,22904,,,
4.753,18172,,,
4.759,19078,,,
4.764,21913,,,
4.77,17245,,,
4.775,20738,,,
4.781,18988,,,
4.786,23348,,,
4.792,18502,,,
4.797,21475,,,
4.803,17111,,,
4.808,19523,,,
4.814,21483,,,
4.819,19504,,,
4.825,20617,,,
4.83,19097,,,
4.836,21207,,,
4.841,19239,,,
4.847,19859,,,
4.852,22765,,,
4.858,19626,,,
4.863,20487,,,
4.869,20669,,,
4.874,21364,,,
4.88,16332,,,
4.885,19050,,,
4.891,18586,,,
4.896,20440,,,
4.902,19945,,,
4.907,20010,,,
4.913,23466,,,
4.918,21094,,,
4.924,18219,,,
4.929,21168,,,
4.935,18337,,,
4.94,24231,,,
4.946,17396,,,
4.951,20522,,,
4.957,20639,,,
4.962,22423,,,
4.968,21954,,,
4.973,21382,,,
4.979,19571,,,
4.984,21058,,,
4.99,19653,,,
4.995,22671,,,
5.001,19735,,,
5.006,20831,,,
5.012,24558,,,
5.017,26894,,,
5.023,20459,,,
5.028,21140,,,
5.034,20619,,,
5.039,21544,,,
5.045,26148,,,
5.05,22067,,,
5.056,19214,,,
5.061,21640,,,
5.067,21293,,,
5.072,21047,,,
5.078,20210,,,
5.083,17663,,,
5.089,21471,,,
5.094,21378,,,
5.1,23578,,,
5.105,12230,,,
5.111,12036,,,
5.116,9802,,,
5.122,9439,,,
5.127,10032,,,
5.133,9399,,,
5.138,7434,,,
5.144,10951,,,
5.149,9811,,,
5.155,14677,,,
5.16,10894,,,
5.166,8576,,,
5.171,9817,,,
5.177,12230,,,
5.182,12036,,,
