Wavelength (nm),Absorbance (AU)
300,0.01
301,0.01
302,0.01
303,0.01
304,0.01
305,0.01
306,0.01
307,0.011
308,0.011
309,0.011
310,0.012
311,0.012
312,0.012
313,0.013
314,0.013
315,0.013
316,0.014
317,0.014
318,0.015
319,0.015
320,0.015
321,0.016
322,0.016
323,0.016
324,0.016
325,0.017
326,0.017
327,0.017
328,0.016
329,0.016
330,0.016
331,0.015
332,0.015
333,0.014
334,0.014
335,0.013
336,0.012
337,0.012
338,0.011
339,0.011
340,0.01
341,0.01
342,0.009
343,0.009
344,0.009
345,0.008
346,0.008
347,0.008
348,0.007
349,0.007
350,0.007
351,0.007
352,0.006
353,0.006
354,0.006
355,0.006
356,0.006
357,0.006
358,0.006
359,0.006
360,0.006
361,0.006
362,0.006
363,0.006
364,0.006
365,0.005
366,0.005
367,0.005
368,0.005
369,0.005
370,0.005
371,0.005
372,0.005
373,0.004
374,0.004
375,0.004
376,0.004
377,0.004
378,0.004
379,0.004
380,0.004
381,0.004
382,0.004
383,0.004
384,0.004
385,0.004
386,0.003
387,0.003
388,0.003
389,0.003
390,0.003
391,0.003
392,0.003
393,0.003
394,0.003
395,0.003
396,0.003
397,0.003
398,0.003
399,0.003
400,0.003
401,0.003
402,0.003
403,0.003
404,0.003
405,0.003
406,0.003
407,0.003
408,0.003
409,0.003
410,0.003
411,0.004
412,0.004
413,0.004
414,0.004
415,0.004
416,0.004
417,0.004
418,0.004
419,0.004
420,0.004
421,0.004
422,0.004
423,0.004
424,0.004
425,0.004
426,0.004
427,0.004
428,0.004
429,0.004
430,0.004
431,0.004
432,0.004
433,0.004
434,0.004
435,0.004
436,0.004
437,0.004
438,0.004
439,0.004
440,0.004
441,0.004
442,0.004
443,0.004
444,0.004
445,0.004
446,0.005
447,0.005
448,0.005
449,0.005
450,0.005
451,0.005
452,0.005
453,0.005
454,0.005
455,0.005
456,0.005
457,0.005
458,0.005
459,0.005
460,0.006
461,0.006
462,0.006
463,0.006
464,0.006
465,0.006
466,0.006
467,0.006
468,0.006
469,0.006
470,0.006
471,0.007
472,0.007
473,0.007
474,0.007
475,0.007
476,0.007
477,0.007
478,0.007
479,0.008
480,0.008
481,0.008
482,0.008
483,0.008
484,0.008
485,0.008
486,0.009
487,0.009
488,0.009
489,0.009
490,0.009
491,0.009
492,0.01
493,0.01
494,0.01
495,0.01
496,0.01
497,0.01
498,0.011
499,0.011
500,0.011
501,0.011
502,0.011
503,0.011
504,0.012
505,0.012
506,0.012
507,0.012
508,0.012
509,0.012
510,0.012
511,0.013
512,0.013
513,0.013
514,0.013
515,0.013
516,0.013
517,0.013
518,0.014
519,0.014
520,0.014
521,0.014
522,0.014
523,0.014
524,0.014
525,0.015
526,0.015
527,0.015
528,0.015
529,0.015
530,0.015
531,0.016
532,0.016
533,0.016
534,0.016
535,0.016
536,0.016
537,0.017
538,0.017
539,0.017
540,0.017
541,0.017
542,0.018
543,0.018
544,0.018
545,0.019
546,0.019
547,0.019
548,0.02
549,0.02
550,0.02
551,0.021
552,0.021
553,0.022
554,0.022
555,0.023
556,0.023
557,0.024
558,0.025
559,0.025
560,0.026
561,0.027
562,0.027
563,0.028
564,0.029
565,0.03
566,0.031
567,0.031
568,0.032
569,0.033
570,0.034
571,0.035
572,0.036
573,0.036
574,0.037
575,0.038
576,0.039
577,0.04
578,0.041
579,0.042
580,0.043
581,0.044
582,0.045
583,0.046
584,0.047
585,0.048
586,0.049
587,0.05
588,0.051
589,0.052
590,0.053
591,0.054
592,0.055
593,0.056
594,0.057
595,0.059
596,0.06
597,0.061
598,0.062
599,0.063
600,0.064
601,0.065
602,0.067
603,0.068
604,0.069
605,0.071
606,0.072
607,0.074
608,0.075
609,0.077
610,0.079
611,0.08
612,0.082
613,0.084
614,0.085
615,0.087
616,0.088
617,0.09
618,0.091
619,0.092
620,0.094
621,0.095
622,0.096
623,0.097
624,0.098
625,0.098
626,0.099
627,0.099
628,0.1
629,0.1
630,0.1
631,0.1
632,0.1
633,0.1
634,0.099
635,0.098
636,0.098
637,0.097
638,0.096
639,0.094
640,0.093
641,0.091
642,0.09
643,0.088
644,0.086
645,0.083
646,0.081
647,0.078
648,0.075
649,0.072
650,0.069
651,0.066
652,0.063
653,0.06
654,0.057
655,0.053
656,0.05
657,0.046
658,0.043
659,0.04
660,0.037
661,0.034
662,0.031
663,0.028
664,0.026
665,0.023
666,0.021
667,0.019
668,0.017
669,0.015
670,0.013
671,0.012
672,0.01
673,0.009
674,0.008
675,0.007
676,0.006
677,0.006
678,0.005
679,0.005
680,0.004
681,0.004
682,0.003
683,0.003
684,0.003
685,0.002
686,0.002
687,0.002
688,0.002
689,0.001
690,0.001
691,0.001
692,0.001
693,0.001
694,0.001
695,0.001
696,0.001
697,0.001
698,0.001
699,0.001
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
