Wavelength (nm),Absorbance (AU)
300,0.069
301,0.068
302,0.068
303,0.068
304,0.068
305,0.07
306,0.071
307,0.072
308,0.075
309,0.076
310,0.079
311,0.081
312,0.083
313,0.085
314,0.088
315,0.091
316,0.093
317,0.096
318,0.099
319,0.101
320,0.105
321,0.106
322,0.108
323,0.111
324,0.112
325,0.113
326,0.113
327,0.113
328,0.112
329,0.11
330,0.107
331,0.104
332,0.1
333,0.096
334,0.092
335,0.088
336,0.084
337,0.08
338,0.076
339,0.072
340,0.069
341,0.066
342,0.063
343,0.061
344,0.058
345,0.056
346,0.054
347,0.052
348,0.05
349,0.048
350,0.047
351,0.045
352,0.044
353,0.043
354,0.042
355,0.041
356,0.041
357,0.04
358,0.04
359,0.04
360,0.039
361,0.039
362,0.038
363,0.038
364,0.038
365,0.037
366,0.037
367,0.036
368,0.035
369,0.034
370,0.033
371,0.032
372,0.031
373,0.031
374,0.03
375,0.029
376,0.029
377,0.028
378,0.027
379,0.027
380,0.026
381,0.026
382,0.025
383,0.025
384,0.024
385,0.024
386,0.023
387,0.023
388,0.022
389,0.022
390,0.021
391,0.021
392,0.021
393,0.02
394,0.02
395,0.02
396,0.02
397,0.02
398,0.02
399,0.02
400,0.02
401,0.021
402,0.021
403,0.021
404,0.021
405,0.022
406,0.022
407,0.022
408,0.023
409,0.023
410,0.024
411,0.024
412,0.025
413,0.025
414,0.026
415,0.026
416,0.026
417,0.027
418,0.027
419,0.028
420,0.028
421,0.028
422,0.029
423,0.029
424,0.029
425,0.029
426,0.029
427,0.029
428,0.029
429,0.029
430,0.029
431,0.029
432,0.029
433,0.029
434,0.029
435,0.029
436,0.029
437,0.029
438,0.029
439,0.029
440,0.029
441,0.029
442,0.029
443,0.029
444,0.03
445,0.03
446,0.031
447,0.031
448,0.032
449,0.032
450,0.033
451,0.033
452,0.034
453,0.034
454,0.035
455,0.035
456,0.036
457,0.036
458,0.037
459,0.037
460,0.038
461,0.038
462,0.039
463,0.04
464,0.04
465,0.041
466,0.041
467,0.042
468,0.042
469,0.043
470,0.044
471,0.045
472,0.045
473,0.046
474,0.047
475,0.048
476,0.049
477,0.05
478,0.051
479,0.052
480,0.053
481,0.053
482,0.055
483,0.056
484,0.057
485,0.058
486,0.059
487,0.06
488,0.061
489,0.062
490,0.063
491,0.064
492,0.066
493,0.067
494,0.068
495,0.069
496,0.07
497,0.071
498,0.072
499,0.073
500,0.074
501,0.075
502,0.076
503,0.077
504,0.079
505,0.079
506,0.081
507,0.081
508,0.083
509,0.083
510,0.084
511,0.085
512,0.086
513,0.087
514,0.088
515,0.089
516,0.09
517,0.091
518,0.092
519,0.093
520,0.094
521,0.095
522,0.096
523,0.097
524,0.098
525,0.099
526,0.1
527,0.101
528,0.103
529,0.103
530,0.105
531,0.106
532,0.107
533,0.108
534,0.109
535,0.11
536,0.112
537,0.113
538,0.114
539,0.116
540,0.117
541,0.119
542,0.121
543,0.122
544,0.124
545,0.126
546,0.129
547,0.131
548,0.134
549,0.136
550,0.139
551,0.142
552,0.145
553,0.148
554,0.152
555,0.156
556,0.159
557,0.164
558,0.168
559,0.172
560,0.177
561,0.182
562,0.187
563,0.192
564,0.197
565,0.202
566,0.208
567,0.213
568,0.219
569,0.225
570,0.231
571,0.236
572,0.242
573,0.248
574,0.255
575,0.261
576,0.267
577,0.273
578,0.28
579,0.286
580,0.293
581,0.3
582,0.306
583,0.314
584,0.321
585,0.327
586,0.334
587,0.341
588,0.349
589,0.355
590,0.363
591,0.37
592,0.377
593,0.384
594,0.391
595,0.399
596,0.406
597,0.414
598,0.422
599,0.43
600,0.438
601,0.446
602,0.455
603,0.464
604,0.473
605,0.483
606,0.493
607,0.504
608,0.514
609,0.525
610,0.536
611,0.547
612,0.558
613,0.569
614,0.581
615,0.591
616,0.601
617,0.611
618,0.62
619,0.629
620,0.638
621,0.645
622,0.652
623,0.659
624,0.664
625,0.669
626,0.674
627,0.677
628,0.679
629,0.681
630,0.681
631,0.681
632,0.681
633,0.678
634,0.675
635,0.671
636,0.666
637,0.659
638,0.652
639,0.643
640,0.633
641,0.623
642,0.611
643,0.597
644,0.583
645,0.567
646,0.55
647,0.532
648,0.513
649,0.494
650,0.473
651,0.452
652,0.43
653,0.408
654,0.385
655,0.362
656,0.34
657,0.317
658,0.294
659,0.272
660,0.251
661,0.23
662,0.21
663,0.192
664,0.174
665,0.157
666,0.141
667,0.127
668,0.113
669,0.101
670,0.09
671,0.08
672,0.071
673,0.063
674,0.056
675,0.05
676,0.044
677,0.039
678,0.035
679,0.031
680,0.028
681,0.025
682,0.022
683,0.02
684,0.018
685,0.016
686,0.014
687,0.013
688,0.011
689,0.01
690,0.009
691,0.008
692,0.007
693,0.007
694,0.006
695,0.005
696,0.005
697,0.004
698,0.004
699,0.004
700,0.003
701,0.003
702,0.003
703,0.002
704,0.002
705,0.002
706,0.002
707,0.002
708,0.002
709,0.002
710,0.001
711,0.001
712,0.001
713,0.001
714,0.001
715,0.001
716,0.001
717,0.001
718,0.001
719,0.001
720,0.001
721,0.001
722,0.001
723,0.001
724,0.001
725,0.001
726,0.001
727,0.001
728,0.001
729,0.001
730,0.001
731,0.001
732,0.001
733,0.001
734,0.001
735,0.001
736,0.001
737,0.001
738,0.001
739,0.001
740,0.001
741,0.001
742,0.001
743,0.001
744,0.001
745,0.001
746,0.001
747,0.001
748,0.001
749,0.001
750,0.001
