Wavelength (nm),10.0 ppm,5.00 ppm,1.00 ppm,unknown
300,0.101,0.050,0.010,0.069
301,0.100,0.050,0.010,0.068
302,0.100,0.050,0.010,0.068
303,0.100,0.050,0.010,0.068
304,0.100,0.050,0.010,0.068
305,0.102,0.051,0.010,0.070
306,0.104,0.052,0.010,0.071
307,0.106,0.053,0.011,0.072
308,0.109,0.055,0.011,0.075
309,0.112,0.056,0.011,0.076
310,0.116,0.058,0.012,0.079
311,0.119,0.059,0.012,0.081
312,0.122,0.061,0.012,0.083
313,0.125,0.063,0.013,0.085
314,0.129,0.065,0.013,0.088
315,0.133,0.066,0.013,0.091
316,0.137,0.068,0.014,0.093
317,0.141,0.071,0.014,0.096
318,0.145,0.073,0.015,0.099
319,0.149,0.074,0.015,0.101
320,0.153,0.077,0.015,0.105
321,0.156,0.078,0.016,0.106
322,0.158,0.079,0.016,0.108
323,0.162,0.081,0.016,0.111
324,0.164,0.082,0.016,0.112
325,0.165,0.083,0.017,0.113
326,0.167,0.083,0.017,0.113
327,0.166,0.083,0.017,0.113
328,0.165,0.082,0.016,0.112
329,0.161,0.081,0.016,0.110
330,0.157,0.079,0.016,0.107
331,0.153,0.076,0.015,0.104
332,0.147,0.074,0.015,0.100
333,0.141,0.071,0.014,0.096
334,0.135,0.068,0.014,0.092
335,0.129,0.065,0.013,0.088
336,0.123,0.062,0.012,0.084
337,0.117,0.059,0.012,0.080
338,0.112,0.056,0.011,0.076
339,0.106,0.053,0.011,0.072
340,0.101,0.051,0.010,0.069
341,0.097,0.049,0.010,0.066
342,0.093,0.046,0.009,0.063
343,0.089,0.044,0.009,0.061
344,0.085,0.043,0.009,0.058
345,0.082,0.041,0.008,0.056
346,0.079,0.040,0.008,0.054
347,0.076,0.038,0.008,0.052
348,0.073,0.037,0.007,0.050
349,0.071,0.035,0.007,0.048
350,0.069,0.034,0.007,0.047
351,0.067,0.033,0.007,0.045
352,0.065,0.032,0.006,0.044
353,0.063,0.032,0.006,0.043
354,0.062,0.031,0.006,0.042
355,0.061,0.030,0.006,0.041
356,0.060,0.030,0.006,0.041
357,0.059,0.030,0.006,0.040
358,0.059,0.029,0.006,0.040
359,0.058,0.029,0.006,0.040
360,0.057,0.029,0.006,0.039
361,0.057,0.028,0.006,0.039
362,0.057,0.028,0.006,0.038
363,0.056,0.028,0.006,0.038
364,0.056,0.028,0.006,0.038
365,0.055,0.027,0.005,0.037
366,0.054,0.027,0.005,0.037
367,0.052,0.026,0.005,0.036
368,0.052,0.026,0.005,0.035
369,0.050,0.025,0.005,0.034
370,0.049,0.024,0.005,0.033
371,0.048,0.024,0.005,0.032
372,0.046,0.023,0.005,0.031
373,0.045,0.022,0.004,0.031
374,0.044,0.022,0.004,0.030
375,0.043,0.021,0.004,0.029
376,0.042,0.021,0.004,0.029
377,0.041,0.020,0.004,0.028
378,0.040,0.020,0.004,0.027
379,0.039,0.020,0.004,0.027
380,0.038,0.019,0.004,0.026
381,0.038,0.019,0.004,0.026
382,0.037,0.019,0.004,0.025
383,0.036,0.018,0.004,0.025
384,0.036,0.018,0.004,0.024
385,0.035,0.018,0.004,0.024
386,0.034,0.017,0.003,0.023
387,0.034,0.017,0.003,0.023
388,0.033,0.016,0.003,0.022
389,0.032,0.016,0.003,0.022
390,0.031,0.016,0.003,0.021
391,0.031,0.015,0.003,0.021
392,0.030,0.015,0.003,0.021
393,0.030,0.015,0.003,0.020
394,0.030,0.015,0.003,0.020
395,0.029,0.015,0.003,0.020
396,0.029,0.015,0.003,0.020
397,0.029,0.015,0.003,0.020
398,0.029,0.015,0.003,0.020
399,0.030,0.015,0.003,0.020
400,0.030,0.015,0.003,0.020
401,0.030,0.015,0.003,0.021
402,0.031,0.015,0.003,0.021
403,0.031,0.016,0.003,0.021
404,0.031,0.016,0.003,0.021
405,0.032,0.016,0.003,0.022
406,0.032,0.016,0.003,0.022
407,0.033,0.016,0.003,0.022
408,0.033,0.017,0.003,0.023
409,0.034,0.017,0.003,0.023
410,0.035,0.017,0.003,0.024
411,0.035,0.018,0.004,0.024
412,0.036,0.018,0.004,0.025
413,0.037,0.018,0.004,0.025
414,0.037,0.019,0.004,0.026
415,0.038,0.019,0.004,0.026
416,0.039,0.019,0.004,0.026
417,0.040,0.020,0.004,0.027
418,0.040,0.020,0.004,0.027
419,0.041,0.020,0.004,0.028
420,0.041,0.021,0.004,0.028
421,0.042,0.021,0.004,0.028
422,0.042,0.021,0.004,0.029
423,0.042,0.021,0.004,0.029
424,0.043,0.021,0.004,0.029
425,0.043,0.021,0.004,0.029
426,0.043,0.022,0.004,0.029
427,0.043,0.022,0.004,0.029
428,0.043,0.022,0.004,0.029
429,0.043,0.022,0.004,0.029
430,0.043,0.022,0.004,0.029
431,0.043,0.021,0.004,0.029
432,0.043,0.021,0.004,0.029
433,0.042,0.021,0.004,0.029
434,0.042,0.021,0.004,0.029
435,0.042,0.021,0.004,0.029
436,0.042,0.021,0.004,0.029
437,0.042,0.021,0.004,0.029
438,0.042,0.021,0.004,0.029
439,0.042,0.021,0.004,0.029
440,0.042,0.021,0.004,0.029
441,0.043,0.021,0.004,0.029
442,0.043,0.022,0.004,0.029
443,0.043,0.022,0.004,0.029
444,0.044,0.022,0.004,0.030
445,0.045,0.022,0.004,0.030
446,0.045,0.023,0.005,0.031
447,0.046,0.023,0.005,0.031
448,0.047,0.023,0.005,0.032
449,0.047,0.024,0.005,0.032
450,0.048,0.024,0.005,0.033
451,0.049,0.024,0.005,0.033
452,0.049,0.025,0.005,0.034
453,0.050,0.025,0.005,0.034
454,0.051,0.025,0.005,0.035
455,0.052,0.026,0.005,0.035
456,0.053,0.026,0.005,0.036
457,0.053,0.027,0.005,0.036
458,0.054,0.027,0.005,0.037
459,0.055,0.027,0.005,0.037
460,0.056,0.028,0.006,0.038
461,0.056,0.028,0.006,0.038
462,0.057,0.029,0.006,0.039
463,0.058,0.029,0.006,0.040
464,0.059,0.029,0.006,0.040
465,0.060,0.030,0.006,0.041
466,0.060,0.030,0.006,0.041
467,0.061,0.031,0.006,0.042
468,0.062,0.031,0.006,0.042
469,0.063,0.032,0.006,0.043
470,0.064,0.032,0.006,0.044
471,0.065,0.033,0.007,0.045
472,0.067,0.033,0.007,0.045
473,0.067,0.034,0.007,0.046
474,0.069,0.035,0.007,0.047
475,0.070,0.035,0.007,0.048
476,0.072,0.036,0.007,0.049
477,0.073,0.036,0.007,0.050
478,0.074,0.037,0.007,0.051
479,0.076,0.038,0.008,0.052
480,0.077,0.039,0.008,0.053
481,0.078,0.039,0.008,0.053
482,0.080,0.040,0.008,0.055
483,0.082,0.041,0.008,0.056
484,0.083,0.042,0.008,0.057
485,0.085,0.042,0.008,0.058
486,0.087,0.043,0.009,0.059
487,0.088,0.044,0.009,0.060
488,0.090,0.045,0.009,0.061
489,0.092,0.046,0.009,0.062
490,0.093,0.047,0.009,0.063
491,0.095,0.047,0.009,0.064
492,0.096,0.048,0.010,0.066
493,0.098,0.049,0.010,0.067
