Wavelength (nm),Absorbance (AU)
190,0.735632896
191,0.211102009
192,-0.106154919
193,-0.037054062
194,-0.132337093
195,-0.316149712
196,-0.124781609
197,0.31658411
198,-0.194364071
199,-0.10037899
200,0.223274708
201,0.73856163
202,0.597766399
203,0.955951691
204,0.363164425
205,0.369945526
206,0.017238617
207,0.096576214
208,-0.080183029
209,0.293936729
210,0.602059841
211,0.700050354
212,0.580589771
213,-0.023805141
214,0.02687788
215,-0.0873456
216,-0.731144905
217,0.531147003
218,0.727488041
219,0.203564167
220,0.003035545
221,0.132947445
222,0.170837402
223,-0.164631844
224,-0.667818069
225,-0.074584961
226,0.444252491
227,-0.261533737
228,-0.199831486
229,0.241335392
230,-0.367490768
231,-0.651625156
232,0.109412193
233,-0.129832745
234,-0.220839977
235,0.2672019
236,0.078557491
237,-0.009095669
238,-0.028327942
239,0.141328335
240,-0.467586517
241,-0.207608223
242,0.573143482
243,0.312826633
244,0.397636414
245,0.274200916
246,-0.299247265
247,0.231106758
248,0.321285248
249,0.12165308
250,0.049331665
251,0.475032806
252,0.198518276
253,-0.005660534
254,-0.100925922
255,-0.050248623
256,0.201463223
257,0.372042179
258,0.328725815
259,-0.126544476
260,0.096777916
261,0.245697975
262,-0.092807293
263,-0.062747955
264,0.123538971
265,0.245820999
266,-0.051086426
267,0.040573597
268,0.137198448
269,-0.208499908
270,-0.127505302
271,0.049081802
272,0.048470497
273,0.043256283
274,0.080580235
275,-0.103354931
276,0.04969883
277,-0.104583263
278,0.092543125
279,0.262598991
280,0.041994572
281,0.042258739
282,0.020510674
283,0.009786129
284,0.011639118
285,0.042879581
286,0.044180393
287,0.049862385
288,0.051066399
289,0.052119732
290,0.052057266
291,0.051479816
292,0.05389452
293,0.058381557
294,0.056722641
295,0.060553074
296,0.061639786
297,0.062722683
298,0.064208508
299,0.065145016
300,0.066229343
301,0.068138123
302,0.06948185
303,0.07076025
304,0.072360992
305,0.073212147
306,0.073842525
307,0.074109077
308,0.074348927
309,0.074076653
310,0.073544502
311,0.072574139
312,0.071395874
313,0.070031166
314,0.068344116
315,0.066432476
316,0.063947201
317,0.06155777
318,0.058666706
319,0.05551815
320,0.05221653
321,0.048729897
322,0.044574738
323,0.041100502
324,0.03713131
325,0.033439159
326,0.030077934
327,0.027028561
328,0.024249077
329,0.021816254
330,0.019566536
331,0.017603874
332,0.016014576
333,0.014538288
334,0.013213634
335,0.01219368
336,0.011239529
337,0.010434628
338,0.009613514
339,0.009147167
340,0.008825302
341,0.008194447
342,0.00800848
343,0.007860661
344,0.007542133
345,0.007602692
346,0.007529259
347,0.007525921
348,0.007595539
349,0.007722378
350,0.007879257
351,0.00813961
352,0.00850296
353,0.008584499
354,0.008942127
355,0.009466171
356,0.009782314
357,0.010276794
358,0.010727406
359,0.011222363
360,0.011795998
361,0.012237549
362,0.012735367
363,0.013490677
364,0.01388073
365,0.014673233
366,0.015107155
367,0.0157547
368,0.016489983
369,0.017228603
370,0.017979145
371,0.018937588
372,0.01987648
373,0.020894051
374,0.022063255
375,0.023085594
376,0.024542809
377,0.025933266
378,0.027231216
379,0.028882027
380,0.03076458
381,0.031658649
382,0.033277512
383,0.034731388
384,0.0356884
385,0.036918163
386,0.038179398
387,0.039185524
388,0.039599419
389,0.040149689
390,0.041097164
391,0.041843414
392,0.04244709
393,0.042972565
394,0.04403162
395,0.04517746
396,0.046458721
397,0.047830582
398,0.04933548
399,0.051096439
400,0.053059101
401,0.055244446
402,0.057240486
403,0.05956459
404,0.061461449
405,0.062713623
406,0.064137459
407,0.064900398
408,0.065099239
409,0.065248489
410,0.064514637
411,0.063301563
412,0.061563492
413,0.059333324
414,0.057053089
415,0.054055214
416,0.051057816
417,0.047569275
418,0.044656277
419,0.041172028
420,0.037557602
421,0.034442425
422,0.031067848
423,0.028207779
424,0.025346756
425,0.022571564
426,0.020055771
427,0.017665863
428,0.015614986
429,0.01363802
430,0.011733055
431,0.010093689
432,0.008909702
433,0.007555008
434,0.006390095
435,0.005402088
436,0.00444603
437,0.003517151
438,0.003147125
439,0.002311707
440,0.001860619
441,0.001517773
442,0.001003265
443,0.000700474
444,0.000392914
445,0.000191689
446,2.19345E-05
447,-9.53674E-05
448,-0.00032568
449,-0.000479221
450,-0.000619411
451,-0.000723362
452,-0.000599384
453,-0.000522614
454,-0.000656605
455,-0.000684261
456,-0.000718594
457,-0.00056076
458,-0.00063324
459,-0.000567436
460,-0.00056839
461,-0.000645161
462,-0.000499249
463,-0.000442028
464,-0.00039053
465,-0.000524998
466,-0.000200748
467,-0.000309467
468,-0.0002141
469,-0.00022316
470,-4.76837E-05
471,-0.000197411
472,-6.1512E-05
473,-0.00010252
474,-4.76837E-05
475,0.000249386
476,0.000178814
477,0.000509262
478,0.000494003
479,0.000480652
480,0.000814915
481,0.000936508
482,0.000911713
483,0.001173019
484,0.001209736
485,0.001762867
486,0.001335621
487,0.001598835
488,0.001726627
489,0.001923084
490,0.002160072
491,0.002492905
492,0.002472401
493,0.002566814
494,0.002928734
495,0.003063679
496,0.003324986
497,0.003684998
498,0.003788471
499,0.004122734
500,0.00436306
501,0.004835129
502,0.005009651
503,0.005509377
504,0.005630016
505,0.00597477
506,0.006219864
507,0.006798744
508,0.007153034
509,0.007555485
510,0.007968426
511,0.008508205
512,0.009099007
513,0.009579659
514,0.009969711
515,0.010605812
516,0.011291504
517,0.011669636
518,0.012250423
519,0.013114452
520,0.01378727
521,0.014579296
522,0.015309811
523,0.015949249
524,0.016710281
525,0.017688274
526,0.018547058
527,0.019311428
528,0.020314217
529,0.021261215
530,0.022218227
531,0.022999763
532,0.024240971
533,0.025355816
534,0.026501656
535,0.027781487
536,0.028944016
537,0.030302048
538,0.031602383
539,0.032966137
540,0.034353256
541,0.035872459
542,0.03731966
543,0.0387187
544,0.040498257
545,0.042078018
546,0.044048786
547,0.045860767
548,0.047740459
549,0.049812317
550,0.051999569
551,0.054361343
552,0.056621075
553,0.059360027
554,0.061790466
555,0.06447506
556,0.067410469
557,0.070420265
558,0.073466301
559,0.077020168
560,0.0804286
561,0.084056377
562,0.087845802
563,0.091773033
564,0.095641136
565,0.09975338
566,0.104125977
567,0.10833168
568,0.112798691
569,0.117559433
570,0.122009277
571,0.126592159
572,0.131067753
573,0.135790825
574,0.140140057
575,0.144620419
576,0.149082184
577,0.153474808
578,0.157509327
579,0.161775112
580,0.165958405
581,0.170298576
582,0.173647881
583,0.177152634
584,0.181565285
585,0.185063839
586,0.188684464
587,0.192596912
588,0.196160793
589,0.200026989
590,0.204021931
591,0.208193302
592,0.212906837
593,0.217316628
594,0.222198009
595,0.227583885
596,0.232968807
597,0.239219666
598,0.245966911
599,0.253250599
600,0.260707378
601,0.268988609
602,0.277433872
603,0.286497116
604,0.295162678
605,0.305630207
606,0.316812515
607,0.329039574
608,0.342041969
609,0.35606432
610,0.370871544
611,0.385710716
612,0.400919914
613,0.416874409
614,0.43309021
615,0.449166775
616,0.465624809
617,0.48206234
618,0.49788332
619,0.514208317
620,0.529260159
621,0.54357338
622,0.557454586
623,0.570110798
624,0.580932617
625,0.590386391
626,0.59845829
627,0.604943275
628,0.609115124
629,0.611358643
630,0.611454964
631,0.608860493
632,0.604133606
633,0.597183704
634,0.58799839
635,0.575931072
636,0.562305927
637,0.546123505
638,0.52825737
639,0.509644985
640,0.490950584
641,0.470601559
642,0.449204922
643,0.426953793
644,0.40471077
645,0.382678986
646,0.360161781
647,0.337629795
648,0.315758228
649,0.294231415
650,0.273837566
651,0.253536224
652,0.234644413
653,0.216829777
654,0.199617863
655,0.181534767
656,0.167619705
657,0.160220623
658,0.142633438
659,0.129832268
660,0.118458748
661,0.107738495
662,0.09804821
663,0.08921051
664,0.080990314
665,0.073575497
666,0.066625595
667,0.060301781
668,0.054815769
669,0.049366951
670,0.044751167
671,0.040458202
672,0.036546707
673,0.03283453
674,0.029656887
675,0.026890278
676,0.02417326
677,0.021751881
678,0.019631386
679,0.017560482
680,0.015695572
681,0.014109612
682,0.012644291
683,0.011199474
684,0.01003933
685,0.009047985
686,0.008086681
687,0.007048607
688,0.006233215
689,0.005450249
690,0.004827023
691,0.004144192
692,0.00350523
693,0.003160954
694,0.002767086
695,0.002215385
696,0.001852989
697,0.00147295
698,0.001213551
699,0.000943661
700,0.000625134
701,0.000421524
702,0.000268459
703,7.9155E-05
704,-0.00022459
705,-0.000418186
706,-0.000497818
707,-0.00060606
708,-0.000766754
709,-0.000935078
710,-0.001005173
711,-0.001023293
712,-0.001142979
713,-0.001317024
714,-0.001281261
715,-0.001300335
716,-0.001496315
717,-0.001559258
718,-0.001555443
719,-0.001632214
720,-0.001684666
721,-0.00168705
722,-0.001852512
723,-0.001834393
724,-0.001826286
725,-0.001927376
726,-0.001861572
727,-0.001857281
728,-0.00199604
729,-0.001950741
730,-0.001903534
731,-0.00199461
732,-0.002013683
733,-0.001933098
734,-0.002017498
735,-0.001997948
736,-0.002031326
737,-0.002022266
738,-0.002113342
739,-0.002130032
740,-0.002058029
741,-0.002082825
742,-0.002128601
743,-0.002039433
744,-0.002150059
745,-0.002122402
746,-0.002099514
747,-0.002236843
748,-0.002189159
749,-0.002180576
750,-0.002175331
751,-0.002158165
752,-0.002235889
753,-0.002175808
754,-0.002205849
755,-0.002192497
756,-0.002168655
757,-0.002067566
758,-0.002148151
759,-0.002245426
760,-0.002223969
761,-0.002242088
762,-0.002225399
763,-0.002241611
764,-0.002263546
765,-0.002209663
766,-0.002245426
767,-0.002176762
768,-0.002308846
769,-0.002332687
770,-0.002216816
771,-0.002292633
772,-0.002196789
773,-0.002240658
774,-0.002322197
775,-0.00222683
776,-0.002325058
777,-0.002369404
778,-0.002261639
779,-0.002291679
780,-0.00217104
781,-0.002297401
782,-0.002267838
783,-0.002231121
784,-0.002266407
785,-0.002342224
786,-0.002325058
787,-0.002211571
788,-0.002388954
789,-0.002213478
790,-0.00232935
791,-0.00225687
792,-0.002292156
793,-0.002326488
794,-0.002234936
795,-0.002218723
796,-0.002235413
797,-0.002235413
798,-0.002362251
799,-0.002209187
800,-0.002290726
801,-0.002319336
802,-0.002194405
803,-0.002315998
804,-0.00239563
805,-0.002314091
806,-0.002304554
807,-0.00223875
808,-0.002364159
809,-0.002296925
810,-0.002379417
811,-0.002418041
812,-0.002282619
813,-0.002301216
814,-0.002277374
815,-0.00235939
816,-0.00229311
817,-0.002233505
818,-0.002310753
819,-0.002212524
820,-0.002129078
821,-0.002311707
822,-0.002315998
823,-0.002376556
824,-0.002371788
825,-0.002338409
826,-0.002351284
827,-0.002347469
828,-0.002253532
829,-0.002280712
830,-0.002331734
831,-0.002291679
832,-0.002232075
833,-0.002288818
834,-0.002196789
835,-0.002268791
836,-0.002337456
837,-0.002332687
838,-0.002315521
839,-0.002414703
840,-0.002306938
841,-0.002269745
842,-0.002198219
843,-0.002183437
844,-0.002271652
845,-0.002356052
846,-0.002382278
847,-0.002244473
848,-0.002308846
849,-0.002369404
850,-0.002368927
851,-0.00227499
852,-0.002449036
853,-0.002290249
854,-0.002229691
855,-0.002305508
856,-0.002288818
857,-0.00228405
858,-0.002236843
859,-0.002453327
860,-0.002280712
861,-0.002389908
862,-0.00233078
863,-0.002386093
864,-0.002239704
865,-0.002408981
866,-0.002388
867,-0.002430916
868,-0.002340794
869,-0.002400875
870,-0.002280235
871,-0.002377987
872,-0.002480507
873,-0.002416134
874,-0.002353668
875,-0.002236843
876,-0.002375603
877,-0.002404213
878,-0.002389908
879,-0.002349854
880,-0.002295017
881,-0.00251627
882,-0.00232172
883,-0.002239227
884,-0.00244379
885,-0.002580643
886,-0.002306938
887,-0.002512932
888,-0.002453804
889,-0.002393723
890,-0.002304554
891,-0.002423286
892,-0.002275944
893,-0.002398014
894,-0.002441883
895,-0.002413273
896,-0.002335548
897,-0.002502441
898,-0.0024333
899,-0.002372742
900,-0.002355576
901,-0.002505302
902,-0.0024333
903,-0.00235033
904,-0.002447605
905,-0.002492428
906,-0.002470016
907,-0.002487183
908,-0.00250864
909,-0.002446651
910,-0.002372742
911,-0.00248909
912,-0.002409935
913,-0.002337456
914,-0.002492905
915,-0.002482891
916,-0.002450466
917,-0.00245285
918,-0.002331734
919,-0.002441406
920,-0.002269268
921,-0.002262592
922,-0.00241375
923,-0.002513409
924,-0.002462387
925,-0.002477646
926,-0.002348423
927,-0.002361298
928,-0.002346039
929,-0.00228405
930,-0.00230217
931,-0.002333164
932,-0.002112389
933,-0.002289772
934,-0.002133846
935,-0.002123833
936,-0.00224638
937,-0.002122402
938,-0.002104759
939,-0.00219059
940,-0.001979351
941,-0.00221777
942,-0.002060413
943,-0.002078533
944,-0.002130985
945,-0.002083302
946,-0.002118111
947,-0.002008915
948,-0.002049446
949,-0.001922131
950,-0.001770973
951,-0.001868725
952,-0.001691341
953,-0.001805782
954,-0.001600266
955,-0.001617432
956,-0.001746178
957,-0.00161171
958,-0.001374245
959,-0.001321793
960,-0.001675606
961,-0.001288891
962,-0.001357555
963,-0.001569271
964,-0.001489162
965,-0.001473904
966,-0.001105785
967,-0.001368999
968,-0.001609325
969,-0.00174284
970,-0.001707077
971,-0.001751423
972,-0.001595974
973,-0.001485348
974,-0.001849174
975,-0.001738071
976,-0.001835346
977,-0.002061844
978,-0.001752377
979,-0.00201416
980,-0.002000809
981,-0.001783848
982,-0.001568317
983,-0.00215435
984,-0.002388477
985,-0.001945496
986,-0.002038479
987,-0.002176762
988,-0.002379417
989,-0.002377987
990,-0.002385616
991,-0.002373695
992,-0.001836777
993,-0.002511501
994,-0.002726555
995,-0.002347469
996,-0.002849579
997,-0.002167702
998,-0.002035618
999,-0.002147675
1000,-0.002823353
1001,-0.002546787
1002,-0.002352238
1003,-0.002324581
1004,-0.002352238
1005,-0.002306938
1006,-0.002679348
1007,-0.002772808
1008,-0.002779484
1009,-0.003039837
1010,-0.002764225
1011,-0.00293684
1012,-0.003062248
1013,-0.002905846
1014,-0.002778053
1015,-0.001860142
1016,-0.003651142
1017,-0.002767563
1018,-0.003074169
1019,-0.002317429
1020,-0.002601624
1021,-0.002811432
1022,-0.002132893
1023,-0.00286293
1024,-0.003229141
1025,-0.004262924
1026,-0.003432274
1027,-0.003119469
1028,-0.002632141
1029,-0.003819942
1030,-0.003228188
1031,-0.003324986
1032,-0.002442837
1033,-0.002513409
1034,-0.004318237
1035,-0.002534866
1036,-0.003217697
1037,-0.002950191
1038,-0.003138065
1039,-0.003833771
1040,-0.003274441
1041,-0.00310564
1042,-0.00439167
1043,-0.003997803
1044,-0.003155708
1045,-0.001953602
1046,-0.002976894
1047,-0.003302574
1048,-0.002691746
1049,-0.002759933
1050,-0.001299381
1051,-0.00150919
1052,-0.002624989
1053,-0.003804207
1054,-0.003083229
1055,-0.005117416
1056,-0.002516747
1057,-0.004012585
1058,-0.001190186
1059,-0.003165245
1060,-0.001871109
1061,-0.003538609
1062,-0.005998135
1063,-0.002402782
1064,-0.004578114
1065,0.000114918
1066,-0.006340027
1067,-0.001738071
1068,-0.000879765
1069,-0.001302719
1070,-0.003491402
1071,-0.001207352
1072,-0.006867886
1073,-0.001370907
1074,-0.006316185
1075,-0.002597332
1076,-0.008461952
1077,-0.00158453
1078,-0.004071712
1079,-0.004276752
1080,-0.004818439
1081,-0.002420902
1082,-0.007931709
1083,-0.00042057
1084,-0.003945351
1085,-0.001451015
1086,-0.006233692
1087,-0.000402927
1088,-0.007372856
1089,-0.005089283
1090,-0.001833439
1091,0.000221252
1092,-0.002637386
1093,-0.005811691
1094,-0.003333569
1095,-0.003618717
1096,-0.005725384
1097,-0.002637386
1098,-0.001911163
1099,0.000334263
1100,-0.006856918
