Wavelength (nm),Absorbance (AU)
190,-0.797539711
191,-0.266506195
192,0.009917736
193,0.334931374
194,0.494159698
195,0.095777512
196,-0.030294895
197,0.037933826
198,-0.255717754
199,-0.18282938
200,0.020256519
201,0.212968826
202,0.091992855
203,0.068006039
204,0.24532795
205,0.638114929
206,-0.350610733
207,-0.29348278
208,-0.711949348
209,0.355377197
210,0.397939682
211,0.482922077
212,0.848248005
213,0.513264179
214,0.455530643
215,0.651294231
216,-0.670250893
217,0.704236984
218,0.41242075
219,0.413908005
220,-0.046934605
221,0.165251255
222,0.317018986
223,-0.353076458
224,-0.508012295
225,-0.276742458
226,-0.729248047
227,0.071082115
228,-0.036791325
229,0.223107815
230,0.511022091
231,0.079645157
232,-0.032444477
233,-0.527543545
234,-0.454529285
235,-0.385751247
236,-0.198344707
237,-0.026457787
238,0.570126057
239,0.500229836
240,0.23762989
241,0.044313431
242,0.041499615
243,-0.745604992
244,-0.432760239
245,-0.192974091
246,-0.063733101
247,-0.103444099
248,-0.017620564
249,0.065319061
250,-0.42410183
251,-0.605594158
252,-0.200416088
253,-0.081997871
254,0.302696705
255,0.100658894
256,0.351682663
257,0.090644836
258,-0.150588512
259,-0.091291428
260,-0.112616062
261,-0.152701378
262,0.008233547
263,-0.03360033
264,0.054199696
265,0.058253288
266,-0.041495323
267,0.201901913
268,0.088875294
269,0.076809883
270,-0.051590919
271,-0.077271938
272,0.024032116
273,0.071372032
274,0.154470921
275,0.022079468
276,0.099050045
277,0.031661987
278,0.0066576
279,-0.10007906
280,0.092831612
281,0.046530724
282,0.073383808
283,0.005259037
284,-0.019057274
285,0.018483162
286,-0.006076336
287,0.002907753
288,-0.000587463
289,0.002560616
290,-0.000211716
291,0.001328945
292,0.001826763
293,-0.000121117
294,-0.000117779
295,0.000708103
296,0.000395298
297,0.00047636
298,0.000583172
299,0.000477314
300,0.000471592
301,0.000597954
302,0.000353813
303,0.000642776
304,0.000434875
305,0.000181675
306,0.000284672
307,0.000226974
308,0.000257969
309,0.000360489
310,0.000202179
311,0.000102043
312,0.000211716
313,0.000143051
314,0.000104427
315,-3.62396E-05
316,0.000123978
317,0.000291824
318,0.000284195
319,0.000117302
320,0.000214577
321,0.000245094
322,0.000123978
323,0.000256062
324,0.000254154
325,0.00035429
326,0.000309467
327,0.000400543
328,0.000351429
329,0.000193596
330,0.000116348
331,0.000174522
332,0.00024271
333,0.000185013
334,0.000210285
335,0.000274181
336,0.000400066
337,0.00032711
338,0.000432014
339,0.000451565
340,0.000375271
341,0.000361443
342,0.000519276
