Wavelength (nm),Absorbance (AU)
190,0.793393135
191,0.782814026
192,0.281414032
193,-0.377407551
194,0.378264427
195,-0.317082882
196,-0.263231277
197,0.222223759
198,-0.457198143
199,-0.382191658
200,-0.218492031
201,0.159319401
202,-0.037003517
203,0.839341164
204,0.872427464
205,-0.006450176
206,-0.030552864
207,0.381977558
208,0.405249596
209,0.299363613
210,0.602059841
211,0.695437431
212,0.285245895
213,0.179150581
214,0.115429401
215,-0.331111431
216,-0.272289753
217,0.279999733
218,0.708844185
219,0.03467083
220,0.301990986
221,0.264993668
222,0.333457947
223,-0.404883385
224,-0.201245785
225,0.070480347
226,0.2267313
227,0.321122646
228,0.251048088
229,0.144944191
230,-0.266376972
231,-0.327398777
232,0.17672348
233,-0.066272259
234,0.196671009
235,0.472626686
236,0.453468323
237,0.145037174
238,0.092760563
239,0.337712288
240,0.061086178
241,0.141792774
242,0.496284008
243,0.944092751
244,0.501589775
245,-0.152422905
246,-0.295798302
247,0.33919239
248,0.338142872
249,0.039716244
250,0.429636478
251,-0.12245369
252,0.122063637
253,-0.486526012
254,0.062601566
255,0.457273483
256,0.089287281
257,0.442002773
258,0.230887413
259,0.373754501
260,0.41412878
261,0.678019524
262,0.151334286
263,0.247805595
264,-0.054656029
265,0.077917576
266,0.190526962
267,0.412581921
268,0.404299736
269,-0.102249146
270,-0.077535629
271,0.352477551
272,0.318785667
273,0.124961376
274,0.163824081
275,0.114431381
276,0.325565815
277,0.097059727
278,0.159368038
279,0.302781105
280,0.103292465
281,0.358053684
282,0.214932442
283,0.25918293
284,0.2247715
285,0.255272388
286,0.23900938
287,0.23450613
288,0.224298
289,0.225152493
290,0.223140717
291,0.235002041
292,0.243579865
293,0.246903419
294,0.229706287
295,0.218194485
296,0.208381176
297,0.204348087
298,0.202856064
299,0.202952385
300,0.203701973
301,0.205989361
302,0.207752228
303,0.209718704
304,0.211037159
305,0.21231842
306,0.212779522
307,0.212816238
308,0.212738514
309,0.212309837
310,0.210264206
311,0.208171368
312,0.20549202
313,0.202192783
314,0.198123932
315,0.19344759
316,0.187828541
317,0.182386398
318,0.17585516
319,0.168892384
320,0.161419392
321,0.153543472
322,0.144863605
323,0.136886597
324,0.128469467
325,0.120411873
326,0.113048077
327,0.106133938
328,0.099647999
329,0.094105721
330,0.089074612
331,0.084456921
332,0.080357552
333,0.076786995
334,0.073400974
335,0.070696831
336,0.068232536
337,0.065973282
338,0.064139843
339,0.062601566
340,0.061101437
341,0.059746265
342,0.058922291
343,0.058054447
